;

1; États-Unis;19 390,60;
-; Union européenne;17 308,86[1];
2; Chine;12 014,61;
3; Japon;4 872,14;
4; Allemagne;3 684,82;
5; Royaume-Uni;2 624,53;
6; Inde;2 611,01;
7; France;2 583,56;
8; Brésil;2 054,97;
9; Italie;1 937,89;
10; Canada;1 652,41;
11; Corée du Sud;1 538,03;
12; Russie;1 527,47;
13; Australie;1 379,55;
14; Espagne;1 313,95;
15; Mexique;1 149,24;
16; Indonésie;1 015,41;
17; Turquie;849,48;
18; Pays-Bas;825,75;
19; Arabie saoudite;683,83;
20; Suisse;678,58;
21; Argentine;637,72;
22; Taïwan;579,30;
23; Suède;538,58;
24; Pologne;524,89;
25; Belgique;494,73;
26; Thaïlande;455,38;
27; Iran;431,92;
28; Autriche;416,85;
29; Norvège;396,46;
30; Émirats arabes unis;377,44;
31; Nigeria;376,28;
32; Israël;350,61;
33; Afrique du Sud;349,30;
34; Hong Kong;341,66;
35; Irlande;333,99;
36; Danemark;324,48;
37; Singapour;323,90;
38; Malaisie;314,50;
39; Philippines;313,42;
40; Colombie;309,20;
41; Pakistan;303,99;
42; Chili;277,04;
43; Bangladesh;261,37;
44; Finlande;253,24;
45; Égypte;237,07;
46; Viêt Nam;220,41;
47; Portugal;218,06;
48; Pérou;215,22;
49; République tchèque;213,19;
50; Roumanie;211,32;
51; Venezuela;210,09;
52; Nouvelle-Zélande;201,49;
53; Grèce;200,69;
54; Irak;197,70;
55; Algérie;178,29;
56; Qatar;166,33;
57; Kazakhstan;160,84;
58; Hongrie;152,28;
59; Angola;124,21;
60; Koweït;120,35;
61; Maroc;109,82;
62; Ukraine;109,32;
63; Équateur;102,31;
64; Porto Rico;98,81;
65; Slovaquie;95,94;
66; Sri Lanka;87,59;
67; Éthiopie;80,87;
68; Kenya;79,51;
69; Guatemala;75,66;
70; République dominicaine;75,02;
71; Oman;74,27;
72; Birmanie;66,54;
73; Luxembourg;62,39;
74; Panama;61,84;
75; Syrie;60,04 (2010);
76; Uruguay;58,42;
77; Soudan;58,24;
78; Costa Rica;58,06;
79; Bulgarie;56,94;
80; Croatie;54,52;
81; Biélorussie;54,44;
82; Tanzanie;51,73;
83; Liban;51,46;
84; Macao;49,80;
85; Slovénie;48,87;
86; Ouzbékistan;47,88;
87; Lituanie;47,26;
88; Ghana;47,03;
89; Serbie;41,47;
90; République démocratique du Congo;41,44;
91; Azerbaïdjan;40,67;
92; Jordanie;40,49;
93; Côte d'Ivoire;40,36;
94; Tunisie;40,28;
95; Turkménistan;37,93;
96; Bolivie;37,12;
97; Bahreïn;34,90;
98; Cameroun;34,01;
99; Libye;31,33;
100; Lettonie;30,32;
101; Paraguay;29,62;
102; Salvador;28,02;
103; Ouganda;26,35;
104; Estonie;25,97;
105; Zambie;25,50;
106; Népal;24,47;
107; Islande;23,91;
108; Papouasie-Nouvelle-Guinée;23,62;
109; Honduras;22,98;
110; Cambodge;22,25;
111; Trinité-et-Tobago;21,62;
112; Chypre;21,31;
113; Afghanistan;20,89;
114; Bosnie-Herzégovine;18,06;
115; Zimbabwe;17,49;
116; Botswana;17,17;
117; Laos;16,98;
118; Yémen;16,51;
119; Sénégal;16,46;
120; Mali;15,32;
121; Gabon;15,21;
122; Géorgie;15,14;
123; Jamaïque;14,36;
124; Nicaragua;13,73;
125; Albanie;13,18;
126; Brunei;12,74;
127; Namibie;12,69;
128; Mozambique;12,68;
129; Burkina Faso;12,57;
130; Malte;12,54;
131; Maurice;12,43;
132; Bahamas;11,64;
133; Arménie;11,55;
134; Madagascar;11,46;
135; République de Macédoine;11,37;
136; Mongolie;11,14;
137; Guinée équatoriale;10,73;
138; Tchad;9,87;
139; Guinée;9,72;
140; Bénin;9,24;
141; Rwanda;9,14;
142; Haïti;8,61;
143; République du Congo;8,51;
144; Niger;8,25;
145; Moldavie;8,09;
146; Somalie;7,38;
147; Tadjikistan;7,28;
148; Kosovo;7,24;
149; Kirghizistan;7,16;
150; Malawi;6,21;
151; Érythrée;5,81;
152; Mauritanie;5,12;
