Product;Creator;Platform;First public release;Latest stable version;Software license;
Xomega.Net for Visual Studio[1];Xomega.Net;Windows;2010;7.7.4 / 2018-08-08;Proprietary;
Acceleo;Obeo;cross-platform (Java / Eclipse);2006;3.5.0 / 2014-06-10;Eclipse Public;
Accelerator;Surround Technologies;Windows, Web, Mobile (C# / .NET);2007;6.2;Proprietary;
actifsource;actifsource GmbH;cross-platform (Java / Eclipse);;4.6.3 / 2011-08-09;Proprietary;
Apeel PHP Code Generator Pro;City Business Logic;Windows;2001;11.03b / 2011-09-04;Proprietary;
AtomWeaver;Isomeris;Windows;2010;1.3.1 / 2012-02-20;Proprietary;
Catapult[2];Polyrific[3];Windows, Web, Mobile (C# / .NET);2013;4.0;Proprietary;
Celerio;Jaxio[4];cross-platform (Java);2015;4.0.2 / 2015-11-16;Apache License 2.0;
Click2Code;onlinewebtech;windows;2013;1.0 / 2013-09-20;Proprietary;
Code4Green-A Free Code Generation tool;Code4Green[5];SharePoint, C#, VB.Net, Java, ASP.Net, HTML, SQL Database;2009;5.0;Proprietary;
Code-g flexible pattern based code generator;Abstractmeta;Java;;0.30 / 2012-05-20;Apache License 2.0;
CodeBhagat;CodeBhagat LLC;Windows (C# / .NET);2014;1.0 / 2014;Proprietary;
CodeCharge Studio;Yes Software;PHP, ASP, ASP.NET, Java;2014;0.5.1 / 2014-07-02;Proprietary;
CodeFluent Entities;SoftFluent;Windows;2005;840 - 2016;Proprietary;
CodeGenerator360;;Windows (Online Tool);2011;;Proprietary;
Code generation plugin for Astah UML Community;José Carreno;cross-platform;2014;1.3.0_GA / 2014-05-08;Free;
Code On Time;Code On Time LLC;Windows (c# / .NET);;;Proprietary and Subscription;
CodeSmith Generator;CodeSmith Tools;Windows;2004;7.1.0 / 2015-08-10;Proprietary;
CodeStencil;Zera Systems;Windows;2018;1.0;Proprietary;
Cog;Ned Batchelder;cross-platform (Python);;2.1;MIT;
C++ Middleware Writer[6];Ebenezer Enterprises;cross-platform;2002;1.14;Free;
DMS Software Reengineering Toolkit;Semantic Designs;Windows;2001;2.0;Proprietary;
DRAKON;Stepan Mitkin;cross-platform (Tcl/Tk);2011;1.27 / 2016-03-10;Free;
EntiPro;EntiCraft;Windows;;;Proprietary;
EazyCode;Datacraft;Windows;2004;7.1 / 2014-09-08;Proprietary;
Flowchart to Code;Athek;Windows;2013;1.0 / 2013-01-10;Proprietary;
GenerateXY;DotXY;Windows;;5.1;Proprietary;
generjee[7];Alexander Derksen;cross-platform (Java);2015;1.1;Proprietary;
GeneXus;GeneXus;Cross Platform (multiple);1991-2018;v16;Proprietary;
Genshi (templating language);Edgewall Software;cross-platform (Python);2006-08-03;0.5.1 / 2008-07-09;;
GSL Universal Code Generator;iMatrix;cross-platform;;Jan 30, 2015;GPLv3+;
Iron Speed Designer;Iron Speed, Inc.;Windows;2001;9.2.0 / 2013-12-18;Proprietary;
J To Go[8];Alexander Derksen;cross-platform (Java);2017;0.0.1;Apache License 2.0;
JCodeBox;;cross-platform (Java);;;Proprietary;
Jigy Generator;GetJigy;Eclipse & NetBeans;2014;1.0.1 / 2014-10-17;Proprietary;
Jinja (Template engine);Pocoo team;cross-platform (Python);;2.1.1;BSD;
JPA Modeler;Gaurav Gupta;cross-platform (Java);2014;1.7 / 2016-06-07;Apache License 2.0;
Kid (templating language);Ryan Tomayko;cross-platform (Python);;0.9.6 / 2006-12-20;;
kiss! C#, VB.NET and SQL Script Generator;Cove Bay Software Limited;Windows;2013;4.0.0.0 / 2015-05-05;Proprietary;
LayerCake Generator .NET [9];Delphin Habierre;Windows (C# / .NET);2013;3.7.1 / 2015-09-06;Free / OpenSource;
Mako;Michael Bayer;cross-platform (Python);;0.2.3 / 2008-05-12;MIT;
M-Power;mrc;cross-platform (Java);2004;;Proprietary;
Microsoft Visual Studio LightSwitch;Microsoft;Windows;2011;2011-07-26;Proprietary;
MinuteProject (Velocity, DB, WSDL);Florian Adler;cross-platform (Java);2004;0.8.3 / 2013-06-05;Apache License 2.0, GPL;
MOLGENIS;Morris Swertz[10];cross-platform (Java);2004;3.3;LGPLv3;
NoORM;Ulf Pietruschka;cross-platform (Java);2013;1.0.0 / 2013-11-19;Apache License 2.0;
OpenMDX;;cross-platform (Java);2004-01-28;2.4 / 2009-03-26;BSD;
OutSystems Platform;OutSystems;cross-platform (.NET, Java);2001;10.0 / 2016-10-04[11];Proprietary;
Application Builder;projecz.com;PHP;2014;1.0 / 2014-03-20;Proprietary;
PHPRunner;Xlinesoft;Windows;2003;5.3 / 2010-10-15;Proprietary;
Radarc Online;Icinetic;Android, iOS, Windows (C#/XAML, Java, Objective C);2012;1.2.0 / 2014-11-04;Proprietary;
Reegenerator;Kodeo Limited;Windows (C#, VB.NET);2010;2.0.5 / 2014-01-26;Proprietary;
ribosome;Martin Sustrik;cross-platform (Ruby, JavaScript or Python);2014;1.15 / 2015-07-08;MIT;
T4;Microsoft;Windows;2005;2010;Proprietary;
Telosys [12];OW2;cross-platform (Java : CLI and Eclipse Plugin);2011;3.0.0 / 2018-04-10;LGPLv3;
Umple;University of Ottawa;cross-platform (Java / Eclipse);2010;1.23.0 / 2015-12-21;MIT;
Velocity apache;Apache Software Foundation;cross-platform (Java);;1.6.2 / 2009-03-19;Apache License 2.0;
X2X;Triple-S GmbH;Windows;2005;X2X-2015;Proprietary;
XACT X4MR;Applied Conversion Technologies Inc;Virtual DOS;1994;3 / 1997-08-01;Proprietary;
Yii-gii;Yii community;Yii (PHP);2013-12-1;2.0.15 / 2018.03.20;New BSD License;
ZumCoder MDD/MDA/ Template Based;Agen Consultoria – Adilson de ALmeida Pedro;Web – Online;;1.0;Proprietary;
