Name;Platform;License;Builders: Windows;Builders: Java;Builders: other;Notification;Integration, IDEs;Integration, other;
Abstruse CI;Cross-Platform, Self-Hosted;Proprietary, MIT;No;Ant, Maven, Gradle, Android;C, C++, Go, Groovy, Java, Node.js, Perl, PHP, Python, Ruby;No;No;GitHub, Bitbucket, Gitlab, Gogs;
AnthillPro;Cross-platform;Proprietary;MSBuild, NAnt, Visual Studio;Ant, Maven 1-2-3;Shell script, batch script, cross-platform command-line, Groovy, Make, RTC Jazz, TFS Build, Custom Script Interpreter;Email, XMPP, RSS, Systray;Eclipse, Visual Studio;Many;
Apache Continuum;JDK, web container;Apache 2.0;Unknown;Maven 1-2-3;Shell script[2];Mail, XMPP and Google Talk, MSN, IRC, report deployment with wagon;Unknown;Unknown;
Apache Gump;Python;Apache 2.0;Unknown;Ant, Maven 1;Unknown;Email;Unknown;Unknown;
AppVeyor;Hosted;Proprietary;Visual Studio, MSBuild, Psake;No;Custom Script, PowerShell;Email, HipChat, Slack, Catlight;No;GitHub, Bitbucket, Kiln, Windows Azure;
Bamboo;Web container;Proprietary;MSBuild,[3] NAnt,[4] Visual Studio[5];Ant,[6] Maven 1-2-3[7];Custom script, command-line tool, Bash, Xcode,[8] Phing,[9] Grunt, Grails[10];XMPP, Google Talk, Email, RSS, Remote API, HipChat;IntelliJ IDEA, Eclipse, Visual Studio;FishEye, Jira, Clover, Bitbucket, GitHub;
Buddy;Cross-platform;Proprietary;No;Ant, Maven, Gradle;Elixir, Go, Haskell, Node.js, PHP, Python, Ruby, .NET Core;Desktop, Email, Slack, SMS;No;Amazon Web Services, Bitbucket, GitHub, GitLab, Google Cloud Services, Heroku, Modulus;
Buildbot;Python;GPL;Command-line;Command-line;Command-line;Email, Web, GUI, IRC;Unknown;Unknown;
BuildMaster;Cross-platform;Proprietary;Yes;Yes;Cross-platform command-line;Email, custom;No;Many;
CABIE;LAMP;GPL2;Unknown;Unknown;Unknown;Web;Unknown;Unknown;
CircleCI;Hosted;Proprietary;No;Maven, Gradle[11];Yes[12];Email, Web[13];No;GitHub, Bitbucket, Heroku;
CruiseControl;Cross-platform;BSD-style;NAnt, Rake, Xcode;Phing, Apache Ant, Maven;catch-all 'exec';Email, CCTray;Eclipse;Unknown;
CruiseControl.NET;Cross-platform;BSD-style;MSBuild, NAnt, Visual Studio;Unknown;Command-line;Email, CCTray, RSS;Unknown;Unknown;
Drone;Cross-platform;Apache 2.0;No;Ant, Maven, Gradle[14];Docker[15], Java, Node.js, Python, Go, Elixir, Scala[16];WeChat, Matrix, Discord, Email, GTalk, Telegram, Facebook, Line, Gitter, HipChat, Slack[17];No;GitHub[18], Bitbucket, Gitlab, Gitea, Gogs, Coding;
GitLab;Cross-Platform, Self-Hosted;Proprietary, MIT;Yes[19];Maven[20], Gradle[21];SSH, Shell, VirtualBox, Parallels,Docker, Kubernetes)[22];{{Email, Web, Slack and others[23]}};WebIDE[24];Many;
