Format;Filename extension;Created by;Introduced in;Based on;Compression;Integrity check;Recovery record;Encryption supported;Unicode filenames;Modification date resolution;Pre-processing;
Archive (ar);.a;CSRG;?;Original;No;No;No;No;No;1 s;?;
cpio;.cpio;Bell Labs;1983 Unix System V;?;No;Partial, select formats only;No;No;No;1 s;No;
Shell Archive (shar and makeself);.shar, .run;?;1994 4.4BSD;Original;No;Yes, commonly MD5;Partial;Partial;Partial;arbitrary (typically 1 s);No;
Tape Archive (tar);.tar;Bell Labs;1975 Version 6 Unix;?;No;Partial, metadata only. Full integrity providable by filters such as gzip.;No;No;Optional1;1 s;No;
Extended TAR format (pax);.tar;OpenGroup;2001;Sun proposal + TAR;No;metadata;No;No;Yes;arbitrary (typically 1 ns);No;
BagIt;–;The Library of Congress;2007;file system;No;Yes;No;No;Yes;No;?;
7z;.7z;Igor Pavlov;2000;LZMA, LZMA2, Bzip2, PPMd, DEFLATE;Yes;Yes, CRC32;No;Yes, AES-256;Yes;100 ns[1];Yes;
ACE;.ace;Marcel Lemke;?;?;Yes;Yes;Yes;Yes, Blowfish;Yes;?;?;
AFA;.afa;Vicente Sánchez-Alarcos;2009;Original;Yes;Yes;Yes;Yes, AES and CAST;Yes;?;?;
ARC;.arc;Thom Henderson (SEA);1985;?;Yes;CRC16;No;weak XOR only;No;2s;?;
ARJ;.arj;Robert Jung;1991;AR001 and AR002;Yes;Yes;Yes;weak XOR with initial constant;No;?;?;
B1;.b1;Catalina Group Ltd;2011;LZMA;Yes;Yes;No;Yes, AES;Yes;?;?;
Cabinet;.cab;Microsoft;1992 Windows 3.1;DEFLATE;Yes;Optional PKCS7 Authenticode signature;No;Optional (with SDK);Yes;2 s;?;
Compact File Set;.cfs;Joe Lowe (Pismo Technic Inc.);2008;ZIP/LZMA;Yes;Yes;?;Yes;Yes;?;?;
Compact Pro;.cpt;Bill Goodman;1990 (as "Compactor");Original;Yes;Yes;No;Yes;?;?;?;
Disk Archive (DAR);.dar;Denis Corbin;2002;Original;Yes;Yes;Yes2;Yes;Yes;1 µs;Yes;
DGCA;.dgc;Shin-ichi Tsuruta;2001;GCA;Yes;Yes;Yes;Yes;Yes;?;?;
FreeArc;.arc;Bulat Ziganshin;2006;LZMA, PPMd, TTA;Yes;Yes;Yes;Yes, AES, Blowfish, Twofish and Serpent;Yes;?;?;
LHA (also LZH);.lzh, .lha;Haruyasu Yoshizaki;1988;Frozen;Yes;Only on recent LHA releases;No;No;No;1–2 s;?;
LZX;.lzx;Jonathan Forbes and Tomi Poutanen;1995;LZ77;Yes;Only on recent LZX releases;?;?;?;?;?;
Sparc;.arc;David Pilling;1989;?;Yes;?;?;?;?;?;?;
WinMount format;.mou;?;2007;?;Yes;Yes;Yes;Yes;Yes;?;?;
Macintosh Disk Image;.dmg;Apple Computer;2001 Mac OS X;Original;Yes;Yes;?;Yes;?;?;?;
Partition Image (PartImage);.partimg;François Dupoux and Franck Ladurelle;2000;?;Yes;?;?;?;?;?;?;
PAQ Family (Several formats)4;.paq#*, .lpaq#*;Matt Mahoney;2002–2006;Original;Yes;?;?;?;?;?;?;
PEA;.pea;Giorgio Tani;2006;Original, Deflate based compression;Yes;Yes Adler32, CRC32, CRC64, MD5, SHA1, RIPEMD-160, SHA256, SHA512, Whirlpool;No;Yes Authenticated Encryption, AES128 and AES256 in EAX mode;Yes system dependent;Yes arbitrary;?;
PIM;.pim;Ilia Muraviev;2004–2008;Original;Yes;Yes;No;No;Yes;No;?;
Quadruple D;.qda;Taku Hayase (aka sandman);1997;?;Yes;?;?;?;?;?;?;
RAR;.rar;Eugene Roshal;1993;Original;Yes;Yes, CRC32, BLAKE2;Yes, Reed–Solomon;Yes, AES-256 for RAR 5.0 archives;Yes, UTF-8;2 s, 1 s, 6.5536 ms, 25.6 µs or 100 ns3;Dropped;
RK;.rk;M Software, Ltd.;2004;Original;Yes;Yes;No;Yes, AES, Square, Twofish;Yes;1 s;?;
NuFX;.shk;Andy Nicholas;1989;Original;Yes;CRC16;No;No;No;1 s;?;
StuffIt (also SIT);.sit;Raymond Lau;1987;?;Yes;?;?;Yes;?;?;?;
StuffIt X (also SITx);.sitx;Aladdin/Allume Systems;2002;?;Yes;?;Optional;Yes, RC4,Blowfish, AES,DES;Yes;?;?;
UltraCompressor II;.uc .uc0 .uc2 .ucn .ur2 .ue2;Nico de Vries;1992–1996;LZ77 and Huffman coding;Yes;Yes;Yes;Yes, triple DES;?;?;?;
Windows Image;.wim;Microsoft;2006;Original;Yes;Yes;No;Partial5;Yes;100 ns;?;
ZIP (also PKZIP);.zip;Phil Katz;1989;DEFLATE;Yes;Yes;No;Yes, AES;Yes;1–2 s, depending on version;?;
ZPAQ;.zpaq;Matt Mahoney;2009;PAQ;Yes;Yes, SHA-1;No;Yes, AES-256;Yes;?;?;
