Encryption;Developer;First released;Licensing;Maintained?;
Aloaha Crypt Disk;Aloaha;2008;Open source[citation needed];Yes;
ArchiCrypt Live;Softwaredevelopment Remus ArchiCrypt;1998;Proprietary;Yes;
BestCrypt;Jetico;1993[1];Proprietary;Yes;
BitArmor DataControl;BitArmor Systems Inc.;2008-05;Proprietary;Yes;
BitLocker;Microsoft;2006;Proprietary;Yes;
Bloombase Keyparc;Bloombase;2007;Proprietary;No[2];
Boxcryptor;Secomba GmbH;2011;Proprietary;Yes;
CGD;Roland C. Dowdeswell;2002-10-04[3];BSD;Yes;
CenterTools DriveLock;CenterTools;2008;Proprietary;Yes;
Check Point Full Disk Encryption;Check Point Software Technologies Ltd;1999[4][5][6];Proprietary;Yes;
CipherShed;CipherShed Project;2014[7];TrueCrypt License Version 3.0[8];No;
CrossCrypt;Steven Scherrer;2004-02-10[9];GPL;No;
CryFS;Sebastian Messmer;2015;LGPLv3;Yes;
Cryhod;Prim'X Technologies;2010;Proprietary;Yes;
Cryptainer;Cypherix Software;1999;Proprietary;Yes;
CryptArchiver;WinEncrypt;?;Proprietary;Yes;
Cryptoloop;?;2003-07-02[10];GPL;No;
Cryptomator;Skymatic UG (haftungsbeschränkt);2016-03-09;MIT / X Consortium License;Yes;
CryptoPro Secure Disk Enterprise;cpsd it-services GmbH;2010;Proprietary;Yes;
CryptoPro Secure Disk for BitLocker;cpsd it-services GmbH;2012;Proprietary;Yes;
CryptSync;Stefan Küng;2012;Gpl v2;Yes;
Discryptor;Cosect Ltd.;2008;Proprietary;No;
DiskCryptor;ntldr;2007;GPL;Yes;
DISK Protect;Becrypt Ltd;2001;Proprietary;Yes;
Cryptsetup / Dmsetup;Christophe Saout;2004-03-11[11];GPL;Yes;
Dm-crypt / LUKS;Clemens Fruhwirth (LUKS);2005-02-05[12];GPL;Yes;
DriveCrypt;SecurStar GmbH;2001;Proprietary;Yes[13];
DriveSentry GoAnywhere 2;DriveSentry;2008;Proprietary;No;
E4M;Paul Le Roux;1998-12-18[14];Open source;No;
e-Capsule Private Safe;EISST Ltd.;2005;Proprietary;Yes;
eCryptfs;Dustin Kirkland, Tyler Hicks, (formerly Mike Halcrow);2005[15];GPL;Yes;
EgoSecure HDD Encryption;EgoSecure GmbH;2006;Proprietary;Yes;
EncFS;Valient Gough;2003[16];LGPLv3;Yes;
EncryptStick;ENC Security Systems;2009;Proprietary;Yes;
FileVault;Apple Inc.;2003-10-24;Proprietary;Yes;
FileVault 2;Apple Inc.;2011-07-20;Proprietary;Yes;
FinalCrypt;Ron de Jong;2017-11-16;Creative Commons;Yes;
FREE CompuSec;CE-Infosys;2002;Proprietary;Yes;
FreeOTFE;Sarah Dean;2004-10-10[17];Open source;No;
GBDE;Poul-Henning Kamp;2002-10-19[18];BSD;No;
GELI;Pawel Jakub Dawidek;2005-04-11[19];BSD;Yes;
GnuPG;Werner Koch;1999-09-07[20];GPL;Yes;
gocryptfs;Jakob Unterwurzacher;2015-10-07[21];MIT / X Consortium License;Yes;
Knox;AgileBits;2010;Proprietary;Yes;
KryptOS;The MorphOS Development Team;2010;Proprietary;Yes;
LibreCrypt;tdk;2014-06-19[22];Open source;No;
Loop-AES;Jari Ruusu;2001-04-11;GPL;Yes;
McAfee Drive Encryption (SafeBoot);McAfee, Inc.;2007[23];Proprietary;Yes;
n-Crypt Pro;n-Trance Security Ltd;2005;Proprietary;Yes;
PGPDisk;PGP Corporation (acquired by Symantec in 2010);1998-09-01[24];Proprietary;Yes;
Private Disk;Dekart;1993[25];Proprietary;Yes;
ProxyCrypt;v77;2013;Open source;Yes;
R-Crypto;R-Tools Technology Inc;2008;Proprietary;Yes;
SafeGuard Easy;Sophos (Utimaco);1993[26];Proprietary;Yes;
SafeGuard Enterprise;Sophos (Utimaco);2007[27];Proprietary;Yes;
SafeGuard PrivateDisk;Sophos (Utimaco)[28];2000;Proprietary;Yes;
SafeHouse Professional;PC Dynamics, Inc.;1992;Proprietary;Yes;
Scramdisk;Shaun Hollingworth;1997-07-01;Open source;No;
Scramdisk 4 Linux;Hans-Ulrich Juettner;2005-08-06[29];GPL;No;
SecuBox;Aiko Solutions;2007-02-19;Proprietary;Yes;
SECUDE Secure Notebook;SECUDE;2003;Proprietary;Yes;
SecureDoc;WinMagic Inc.;1997;Proprietary;Yes;
Sentry 2020;SoftWinter;1998[30];Proprietary;No;
Softraid / RAID C;OpenBSD;2007-11-01[31];BSD;Yes;
SpyProof!;Information Security Corp.;2002;Proprietary;Yes;
Svnd / Vnconfig;OpenBSD;2000-12-01[32];BSD;Yes;
Symantec Endpoint Encryption;Symantec Corporation;2008;Proprietary;Yes;
Tcplay;Alex Hornung;2012-01-28[33];BSD;Yes;
Trend Micro Endpoint Encryption (Mobile Armor);Trend Micro[34];2004 or earlier[35];Proprietary;Yes;
TrueCrypt;TrueCrypt Foundation;2004-02-02[36];TrueCrypt License 3.1[37];No;
USBCrypt;WinAbility Software Corp.;2010;Proprietary;Yes;
VeraCrypt;IDRIX;2013-06-22[38];Apache License 2.0[39] TrueCrypt License Version 3.0 (legacy code only);Yes;
CyberSafe Top Secret;CyberSoft;2013;Proprietary;Yes;
Name;Developer;First released;Licensing;Maintained?;
