Title;Status;Graphics;Setting;Subscription Model;Initial release date;Discontinued date;Notes;
The 4th Coming;;2D (isometric);Fantasy;Buy-to-play;1999;;Now known as T4C v2;
9Dragons;;3D;Historical fantasy (China), martial arts;Free-to-play;2007;;;
Ace Online;;3D;Science fiction;Free-to-play;2006;;;
AdventureQuest Worlds;;2D;Medieval fantasy;Freemium;2008;;Browser-based;
The Aetherlight: Chronicles of the Resistance;;3D;Steampunk;Buy-to-play;2016;;;
Age of Conan: Hyborian Adventures;;3D;Fantasy;Free-to-play;2008;;This game features a combo based combat system.;
Age of Wulin;;3D;Martial Arts, Wuxia (fantasy);Freemium;2013;;;
AIKA Online;;3D;Medieval fantasy;Free-to-play;2009;;;
Aion: The Tower of Eternity;;3D;Fantasy;Free-to-play;2008;;;
Albion Online;;3D;Medieval fantasy;Buy-to-play with optional subscription model;2017;;;
Allods Online;;3D;Fantasy;Freemium;2010;;;
Anarchy Online;;3D;Science fiction;Freemium;2001;;;
Angel Love Online;;2D;Fantasy;Freemium;2006;;Downloadable client (Windows only). Multiplatform: PC, PlayStation 3;
ArcheAge;;3D;Fantasy;Freemium;2013;;Open-sandbox player built world, large-scale crafting interactions (building own ship to sail with, etc);
Ashen Empires;;2D (isometric);Fantasy;Freemium;2002;;Housing, Guilds, 3 Expansions, Downloadable client (Windows only);
Asheron's Call;;3D;Fantasy;Pay-to-play;1999;2017-01-31[1];Has player housing;
Asheron's Call 2;;3D;Fantasy;Pay-to-play;2002;2005-12-30, 2017-01-31[2];;
Atlantica Online;;3D;Fantasy;Free-to-play;2008;;Turn-based strategy;
Aura Kingdom;;3D;Fantasy;Free-to-play;2014;;;
Battlestar Galactica Online;;3D;Science fiction;Free-to-play;2011;;Browser-based, Battlestar Galactica license;
Black Desert Online;;3D;Medieval fantasy;Freemium (Asia), Buy-to-play (EU/NA);2015;;Active, open-sandbox player built world - Manual aim action combat;
Blade & Soul;;3D;Fantasy, martial arts;Freemium;2012;;Manual aim action combat (within melee/short ranged combat);
Cabal Online;;3D;Fantasy;Free-to-play;2005;;;
Camelot Unchained;Under Development;3D;Fantasy, Mythology (Arthurian)(Celtic)(Norse);Pay-to-play;;;;
Champions Online;;3D;Superheroes;Freemium;2009;;;
City of Heroes;;3D;Superheroes;Freemium;2004-04-27;2012-11-30;Formerly pay-to-play;
City of Villains;;3D;Superheroes;Freemium;2005-10-31;2012-11-30;;
Clan Lord;;2D;Fantasy;Pay for account; free-to-play;1998;;Downloadable client for Windows & Mac;
Clone Wars Adventures;;3D;Sci-fi;Free-to-play;2010-09-15;2014-03-31;;
Crowns of Power;;3D;Fantasy;Free-to-play;2008;;;
Dark Age of Camelot;;3D;Mythology (Arthurian);Pay-to-play;2001;;;
Dark Ages;;2D;Mythology (Celtic);Pay for account; free-to-play;1999;;;
Dark and Light;;3D;Fantasy;Pay-to-play;2006;2008;;
Darkeden;;2D;Horror;Freemium;2002;2013;;
Darkfall;Closed;3D;Fantasy;Pay-to-play;2009;2012-11-15;Indpenednet development continues as Darkfall: New Dawn and Rise of Agon.;
Darkfall Unholy Wars;;3D;Medieval fantasy;Pay-to-play;2013;2016-05-28;;
DarkSpace;Active;3D;Science fiction;Free-to-play;2001;;Open source;
DC Universe Online;;3D;Superheroes;Freemium;2011;;Base game is free-to-play with restrictions;
Dead Frontier;;3D;Horror;Freemium;2008;;Pay for extras, Browser-based;
Defiance;;3D;Post-apocalyptic;Free-to-play;2013;;Tie-in to the Syfy show of the same name;
Digimon Masters;;3D;Fantasy;Freemium;2011;;;
Dofus;;2D (isometric);Fantasy;Freemium;2004;;Downloadable client (Windows, Mac, Linux) Tactical combat;
Dragon Ball Online;;3D;Fantasy;Free-to-play;2010;;Downloadable client (Windows, Mac, Linux) Tactical combat;
Dragon Nest;;3D;Fantasy;Free-to-play;2010;;Manual aim action combat;
Dragon Oath;;3D;Mythology (Chinese);Free-to-play;2007;;Based on the novel Demi-Gods and Semi-Devils by Jin Yong;
Dragon Quest X;;3D;Fantasy;Pay-to-play;2012;;Multiplatform: Wii, Wii U;
Dragonica;Varies;3D;Fantasy;Freemium;2009;Varies;Servers in most regions were closed in 2010 or 2011, but US servers remain active under the name Dragon Saga;
Dragon's Prophet;;3D;Fantasy;Free-to-play;2013;2015 in the US, still running in Europe;Capture, train and ride dragons, fight with them;
Drakensang Online;;3D;Fantasy;Freemium;2012;;Browser-based;
Dungeons & Dragons Online;;3D;Fantasy;Freemium;2006;;D&D 3.5 Edition ruleset;
Dynasty Warriors Online;;3D;Historical fantasy (China), martial arts;Free-to-play;2006;;Hack and slash;
Earth and Beyond;;3D;Science fiction;Pay-to-play;2002-09-24;2004-09-22;Space vehicle piloting, trading, leveling;
Echo of Soul;;3D;Fantasy;Free-to-play;2013;;;
The Elder Scrolls Online;;3D;Medieval fantasy;Buy-to-play with optional subscription model;2014;;Manual aim action combat. Formerly a subscription based, but changed to buy-to-play on March 17, 2015.;
Elsword;;2D (isometric);Fantasy;Free-to-play;2007;;Potential sequel to GC;
Emil Chronicle Online;;3D;Fantasy;Freemium;2005;2010;;
Empire of Sports;;3D;Modern sports;Free-to-play;2008;April 2016;Sports-based;
Empire & State;;2D;Science fiction;Free-to-play;2011;;Browser-based political strategy MMORPG;
Entropia Universe;;3D;Science fiction;Free-to-play;2003;;;
Eternal Lands;;3D;Fantasy;Freemium;2003;;Downloadable client (Windows, Mac, Linux);
EVE Online;;3D;Science fiction;Freemium;2003;;Space vehicle piloting, trading, and business management;
EverQuest;;3D;Fantasy;Freemium;1999;;Formerly pay-to-play;
EverQuest II;;3D;Fantasy;Freemium;2004;;Sequel to EverQuest;
EverQuest Next;Cancelled;3D;Fantasy;;;;Active, open world, Multiplatform: PC, PlayStation 4. Cancelled as of 2016;
Face of Mankind;;3D;Science fiction;Freemium;2009;;;
Fallen Earth;;3D;Post-apocalyptic;Freemium;2009;;;
Fantage;;2D;Fantasy;Freemium;2008;2018-06-30;Browser-based;
Fantasy Earth Zero;;3D;Fantasy;Free-to-play;2006;2013;50vs50 PvP-oriented gameplay;
Fantasy Westward Journey;;2D;Fantasy (Chinese);Free-to-play;2004;;Inspired by Journey to the West;
Fiesta Online;;3D;Fantasy;Free-to-play;2007;;;
Final Fantasy XI;;3D;Fantasy;Pay-to-play;2002;;Multiplatform: PC, PlayStation 2, Xbox 360;
Final Fantasy XIV: A Realm Reborn;;3D;Fantasy;Pay-to-play;2013;;Relaunch of Final Fantasy XIV. Now known as Final Fantasy: Stormblood with latest expansion. Multiplatform: PC, PlayStation 3, PlayStation 4;
Firefall;;3D;Science fiction;Free-to-play;2014;2017-07-07;First-person/third-person shooter;
Flyff;;3D;Fantasy;Freemium;2005;;;
Fragoria;;3D;Fantasy;Freemium;2011;;Browser-based;
Free Realms;;3D;Fantasy;Free-to-play;2009-04-28;2014-03-31;;
Gekkeiju Online;;3D;Medieval fantasy;Free-to-play;2003;;Anime-based. New version in 2010 with ""Occulus Rift"" support;
GodsWar Online;;3D;Mythology (Greek);Free-to-play;2009;;;
