Client;Multi-server;UTF-8;Proxy server;irc:// URI scheme;Automatic updates;Scripting language;
Bersirc;Yes;No;?;?;?;N/A;
BitchX;Yes;No;?;?;?;Enhanced IrcII script;
ChatZilla;Yes;Yes;Yes;Yes;Yes;JavaScript;
Colloquy;Yes;Yes;?;Yes;Yes[Note 1];AppleScript, Cocoa, F-Script, JavaScript, Python;
degesch;Yes;Yes;Yes;N/A;N/A;Lua;
DMDirc;Yes;Partial;?;Yes;Yes;Custom Actions system, Java plugins;
ERC;Yes;Yes;Yes[Note 2];?;Yes[Note 3];Emacs Lisp;
HexChat;Yes;Yes;Yes;Yes;Yes;Perl, Python, Tcl, Lua[Note 4], Javascript, C, C++, and via D-Bus.;
HydraIRC;Yes;Yes;?;?;Yes;No;
IceChat;Yes;Yes;No;?;Yes;VBScript;
ircII;Yes;Yes[Note 5];?;?;?;IrcII script;
IRCjr;No;No;No;No;No;N/A;
Ircle;Yes;No;?;?;?;AppleScript;
Irssi;Yes;Yes;Yes;No;No;Perl;
jIRCii;Yes;Yes;Yes;?;No;Sleep;
KiwiIRC;Yes;Yes;Yes;Yes;N/A;Javascript, Node.js;
Konversation;Yes;Yes;Yes;Yes;?;Shell script, Ruby, Python, Perl, Java, C++, C#, JavaScript[Note 6];
KVIrc;Yes;Yes;Yes;Yes;No;KVS (custom), Perl, Python, C++;
LeafChat;Yes;Yes;?;N/A;Yes;Java;
LimeChat;Yes;Yes;?;?;?;N/A;
Linkinus;Yes;Yes;Yes;Yes;Yes;AppleScript, Cocoa;
Mibbit;Yes;Yes;?;Yes;N/A;N/A;
mIRC;Yes;Yes;Yes;Yes;Yes[Note 7];mIRC script;
Nettalk;Yes;Yes;SOCKS;Yes;Yes;VBScript, custom;
Opera;Yes;Yes;?;Yes;Yes;N/A;
PIRCH;Yes;No;?;?;No;Yes;
PJIRC;Yes;Yes;?;?;No;Partial, JavaScript;
Quassel;Yes;Yes;Yes;?;No;No;
qwebirc;No;Yes;No;Yes;Yes;No;
rcirc;Yes;Yes;?;?;No;Emacs Lisp;
Smuxi;Yes;Yes;Yes;?;?;Yes (language agnostic);
Snak;Yes;Yes;?;?;?;AppleScript, IrcII script;
Visual IRC;Yes;No;?;?;?;Versus;
WeeChat;Yes;Yes;Yes;Yes;?;C, Perl, Python, Ruby, Lua, Tcl, Scheme (Guile);
XChat;Yes;Yes;Yes;Yes;No;Perl, Python, Tcl, Ruby, C++, ECMAScript, Scheme (Guile);
Client;Multi-server;UTF-8;Proxy server;irc:// URI scheme;Automatic updates;Scripting language;
