Feature;NMT;GSM;IS-95 (CDMA one);IS-2000 (CDMA 2000);UMTS (3GSM);LTE;
Technology;FDMA;TDMA and FDMA;CDMA;CDMA;W-CDMA;OFDMA;
Generation;1G;2G;2G;3G;3G;4G;
Encoding;Analog;Digital;Digital;Digital;Digital;Digital;
Year of First Use;1981;1991;1995;2000 / 2002;2001;2009;
Roaming;Nordics and several other European countries;Worldwide, all countries except Japan and South Korea;Limited;Limited;Worldwide;Limited;
Handset interoperability;None;SIM card;None;RUIM (rarely used);SIM card;SIM card;
Common Interference;None;Some electronics, e.g. amplifiers;None;None;None;None;
Signal quality/coverage area;Good coverage due to low frequencies;Good coverage indoors on 850/900 MHz. Repeaters possible. 35 km hard limit.;Unlimited cell size, low transmitter power permits large cells;Unlimited cell size, low transmitter power permits large cells;Smaller cells and lower indoors coverage on 2100 MHz; equivalent coverage indoors and superior range to GSM on 850/900 MHz.;;
Frequency utilization/Call density;Very low density;0.2 MHz = 8 timeslots. Each timeslot can hold up to 2 calls (4 calls with VAMOS) through interleaving.;Lower than CDMA-2000?;1.228  MHz = 3Mbit/s;5 MHz = 2 Mbit/s. 42Mbit/s for HSPA+. Each call uses 1.8-12 kbit/s depending on chosen quality and audio complexity.;20 MHz;
Handoff;Hard;Hard;Soft;Soft;Soft;Hard;
Voice and Data at the same time;No;Yes GPRS Class A;No;No EVDO / Yes SVDO[2];Yes[3];No (data only) Voice possible through VoLTE or fallback to 2G/3G;
