IDE;Developer;Latest stable release version;Latest stable release date;Platform;Written in;Widget toolkit;License;Python2x support;Python3x support;Debugger;GUI builder;Integrated toolchain;Profiler;Code coverage;Autocomplete;Static program analysis;GUI based design;Class browser;Code refactoring;Version control system support;Web framework support;
Anjuta;Naba Kumar;3.22;2016-09-18;Unix-like;C;GTK+;GPL;Unknown;Unknown;Yes;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;
eric;Detlev Offenbach;18.11;2018-11-01;Linux, Microsoft Windows, macOS;Python;PyQt;GPLv3 "or later";Yes, until version 4.5.25 and since version 5.5.0[39];Yes, since version 5.0.0[40];Yes, for Python 2 & 3;Yes: Qt Creator;Unknown;Yes;Yes;Yes;Multiple integrated checkers and Pylint via plug-in;Yes;Yes;Yes;Subversion and Mercurial (core plug-ins), git (optional plug-in);Django as optional plug-in;
Geany;Team;1.30;2017-03-05;Windows, Linux, macOS, FreeBSD, AIX, OpenBSD, Solaris, other Unix;C;GTK+;GPL;Unknown;Unknown;No;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;
IDLE;Guido van Rossum et al.;3.6;2016-12-23;Cross-platform;Python;Tkinter;PSFL;Yes;Yes;Yes;Unknown;Unknown;No;No;Yes;No;Unknown;Yes;Unknown;No;Unknown;
Komodo IDE;ActiveState;10.2;2017-02-21;Cross-platform;Unknown;Mozilla platform;Proprietary;Yes;Yes;Yes;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Bazaar, CVS, Git, Mercurial, Perforce, SVN;Unknown;
KDevelop;KDE KDevelop Team;5.0.4;2017-03-04;Cross-platform;C, C++;Qt;GPL;Unknown;Yes;Yes;Unknown;Unknown;Unknown;Unknown;Yes;Unknown;Unknown;Yes;Yes;Bazaar, CVS, Git, Mercurial, Perforce, SVN;Unknown;
MonoDevelop;Novell and the Mono community;6.1.2.44;2016-11-11;Windows, Linux, macOS, FreeBSD, OpenBSD, Solaris;C#;Gtk#;LGPL;Unknown;Unknown;Yes;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;
Ninja-IDE;Team;2.3;2013-07-07;Cross-platform;Python;PyQt;GPL;Yes (Python 2.7);No;Yes (with wdebugger plugin);Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;
PIDA;Team;0.6.2;2010-08-04;Cross-platform;Python;PyGTK;GPL;Unknown;Unknown;Yes (integrates with external debuggers);Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;
PyCharm;JetBrains;2017.1;2017-03-24[41];Windows, Linux, macOS;Java;Swing;Open core: Full version under Apache License 2.0;Yes;Yes;Yes;Unknown;Unknown;Yes (full version only);Yes (full version only);Yes;Yes PEP 8 and others;Yes;Yes;Yes;Yes;Yes;
