OLAP Server;# cubes;# measures;# dimensions;# dimensions in cube;# hierarchies in dimension;# levels in hierarchy;# dimension members;
Apache Kylin;Unrestricted;Unrestricted;Unrestricted;Unrestricted;Unrestricted;Unrestricted;Unrestricted;
Druid;Unrestricted[a];Unrestricted;Unrestricted;Unrestricted;Unrestricted;Unrestricted;Unrestricted;
Essbase[34];?;?;?;255;255;?;20,000,000 (ASO), 1,000,000 (BSO);
IBM Cognos TM1;Unrestricted[a];Unrestricted;Unrestricted[a];256;Unrestricted[a];Unrestricted;Unrestricted;
icCube;2,147,483,647;2,147,483,647;2,147,483,647;2,147,483,647;2,147,483,647;2,147,483,647;2,147,483,647;
Infor BI OLAP Server;?;10,000,000;?;30;?;?;10,000,000;
Jedox OLAP Server;2 32 {\displaystyle 2^{32}} (32 bits);2 32 {\displaystyle 2^{32}};2 32 {\displaystyle 2^{32}} (32 bits);250;2 32 {\displaystyle 2^{32}};2 32 {\displaystyle 2^{32}};2 32 {\displaystyle 2^{32}};
Kyligence;Unrestricted;Unrestricted;Unrestricted;Unrestricted;Unrestricted;Unrestricted;Unrestricted;
Kyvos BI on Big Data;1;Unrestricted;Unrestricted;Unrestricted;Unrestricted;Unrestricted;Unrestricted;
Microsoft Analysis Services[35];2,147,483,647;2,147,483,647;2,147,483,647;2,147,483,647 (max. number of dimensions in a database);2,147,483,647;2,147,483,647;2,147,483,647 (xOLAP) Unrestricted (In-memory);
MicroStrategy Intelligence Server;Unrestricted[a];Unrestricted[a];Unrestricted[a];?;Unrestricted[a];Unrestricted[a];Unrestricted[a];
SAS OLAP Server[36];Unrestricted[a];1024;128;?;128;19;4,294,967,296;
