Implementation;Block cipher with mode of operation;Stream cipher;None;
AES GCM [118];AES CCM [119];AES CBC;Camellia GCM [120];Camellia CBC [121];ARIA GCM [122];ARIA CBC [122];SEED CBC [123];3DES EDE CBC (insecure)[124];GOST 28147-89 CNT (proposed) [85][n 1];ChaCha20-Poly1305 [125];Null (insecure) [n 2];
BearSSL;Yes;Yes;Yes;No;No;No;No;No;Yes;No;Yes;Not implemented;
Botan;Yes;Yes;Yes;Yes;Yes;No;No;Disabled by default;Disabled by default;No;Yes[126];Not implemented;
BoringSSL;Yes;No;Yes;No;No;No;No;No;Yes;No;Yes;;
CryptoComply;Yes;Yes;Yes;No;Yes;No;No;Yes;Disabled by default;Yes;Yes;Disabled by default;
cryptlib;Yes;No;Yes;No;No;No;No;No;Yes;No;No;Not implemented;
GnuTLS;Yes;Yes[39];Yes;Yes;Yes;No;No;No;Disabled by default[127];No;Yes[128];Disabled by default;
JSSE;Yes;No;Yes;No;No;No;No;No;Disabled by default[129];No[86];No;Disabled by default;
LibreSSL;Yes[43];No;Yes;No;Yes[87];No;No;No[43];Yes;Yes[87];Yes[43];Disabled by default;
MatrixSSL;Yes;No;Yes;No;No;No;No;Yes;Disabled by default;No;Yes[130];Disabled by default;
mbed TLS;Yes;Yes [131];Yes;Yes;Yes;Yes[132];Yes[132];No;Yes;No;Yes[133];Disabled by default at compile time;
NSS;Yes[134];No;Yes;No[135][n 3];Yes[136];No;No;Yes[137];Yes;No[89][90];Yes[138];Disabled by default;
OpenSSL;Yes[139];Disabled by default[52];Yes;No;Disabled by default[52];No;No;Disabled by default[52];Disabled by default[52];Yes[91];Yes[52];Disabled by default;
RomSTL;Yes;Yes;Yes;No;No;No;No;No;No;No;No;No;
RSA BSAFE Micro-Edition Suite;Yes;Yes;Yes;No;No;No;Yes;Yes;Lowest priority;No;No;Disabled by default;
RSA BSAFE SSL-J;Yes;Yes;Yes;No;No;No;No;No;Disabled by default;No;No;Disabled by default;
rustls;Yes;No;No;No;No;No;No;No;No;No;Yes;No;
SChannel XP/2003;No;No;2003 only[140];No;No;No;No;No;Yes;No[92];No;Disabled by default;
SChannel Vista/2008, 2008R2, 2012;No;No;Yes;No;No;No;No;No;Yes;No[92];No;Disabled by default;
SChannel 7, 8, 8.1/2012R2;Yes except ECDHE_RSA [94][95];No;Yes;No;No;No;No;No;Yes;No[92];No;Disabled by default;
Schannel 10[141];Yes;No;Yes;No;No;No;No;No;Yes;No[92];No;Disabled by default;
Secure Transport OS X 10.6 - 10.10;No;No;Yes;No;No;No;No;No;Yes;No;No;Disabled by default;
Secure Transport OS X 10.11;Yes;No;Yes;No;No;No;No;No;Yes;No;No;Disabled by default;
wolfSSL;Yes;Yes;Yes;No;Yes;No;No;No;Yes;No;Yes;Disabled by default;
Erlang/OTP SSL application;Yes;No;Yes;No;No;No;No;No;Disabled by default;No;Experimental;Disable by defaultl;
Implementation;Block cipher with mode of operation;Stream cipher;None;
AES GCM [118];AES CCM [119];AES CBC;Camellia GCM [120];Camellia CBC [121];ARIA GCM [122];ARIA CBC [122];SEED CBC [123];3DES EDE CBC (insecure)[124];GOST 28147-89 CNT (proposed) [85][n 1];ChaCha20-Poly1305 [125];Null (insecure) [n 2];
