Client;Play While Downloading;PowerShare[2];Dynamic Upload;SUQWT[3];SubChunk Transfer;Drop Sources;Push small files;ZZ ratio[4];AntiLeech;IPFilter;Slot Control;
aMule;Yes;Yes[5];UBT;No;No;Yes;No;No;No[N 5];Yes;Yes;
eMule;Official;No;No;USS;No;No;No;No;No;No;Yes;No;
Osp;Yes;No;USS;No;No;No;No;No;No;Yes;No;
AnalyZZUL;No;Yes;USS;Yes;No;No;No;fixed 1:3 Ratio;Client Analyzer;Yes;ZZ Slot Focus;
beba;No;Release Priority;USS;Yes;No;Yes;No;No;Client Analyzer;Yes;Slot Focus, Upload Slot Control;
Magic Angel;No;Yes;SUC, USS;Yes;No;No;Yes;Yes;ARGOS;Yes;SlotFocus, trickleSlots;
Mephisto;No;PS & PowerRelease;NAFC;Yes;No;Yes;Yes;optional: 1:3 ratio or source limits or enforced with chooseable ratio or dynamic by friendslot;DLP;Yes;Slotfocus;
MorphXT;No;PowerShare & Release Priority;SUC, USS;Yes;No;No;Yes;optional: dynamic 1:3 Ratio;Stringlist, Stricter protocol checks;Yes;SlotFocus, trickleSlots;
NeoMule;No;PowerShare & Release Priority;USS, NAFC, NeoBC [N 6];Yes;Yes;Yes (including IpBlock);custom;optional 1:4 Ratio;ARGOS (including DLP support);Yes;SlotFocus, trickleSlots, Badwolf, manuel;
ScarAngel;No;PS & PowerRelease;NAFC;Yes;No;Yes;Yes;optional: 1:3 ratio or source limits or enforced with chooseable ratio;DLP;Yes;Xtreme Upload System;
SharkX;No;Power Release;No;Yes;No;Yes;Only incomplete;taz dynamic ratio;Client Analyzer;Yes;Slot Focus;
Sivka;No;Release priority;USS;No;No;Yes (incl. List);Yes;No;No;Yes;Yes;
Spike2;No;Yes;USS;No;No;Yes (incl. List);No;No;Stringlist + Client Analyzer;Yes;Slotfocus, Min/Max. Slots;
StulleMule;No;Yes;SUC, USS;Yes;No;Yes (incl. List);Yes;dynamic 1:3 Ratio or enforced choosable ratio;DLP methods;Yes;USC, Slotfocus;
Xtreme;No;PowerRelease;NAFC;No;No;Yes;Yes;optional: 1:3 ratio or source limits;DLP;Yes;Xtreme Upload System;
X-Ray;No;Yes;USS;Yes;No;List+Variable Blocktime;No;No;Argos (with own DLP);Yes;Slotspeed;
ZZUL;No;Yes;USS;No;No;No;No;fixed 1:3 Ratio;No;Yes;SlotFocus;
ZZUL BastarD;No;PowerShare, SuperRelease;USS;Yes;No;No;Yes;fixed 1:3 Ratio;Stringlist + Client Analyzer for Armadillo;Yes;SlotFocus;
eMule Plus;No;Release priority, JumpStart;No;No;No;No;Yes;1:3 < 4KB/s, 1:4 < 10KB/s;Yes;Yes;trickleSlots;
Lphant;No;?;No;?;Basic Support for Crumbs;?;?;No;No;Yes;?;
MLDonkey;No;Folder reserved slot + release file slot;Yes;No (No queue);No;Uses a very low priority list instead;Similar Feature;About 1:4 below 10KB/s;No;Yes;Yes (user selects number of slots);
Shareaza;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Reward uploaders;Yes;Yes;
xMule;No;No;No;No;No;No;No;No;No;Yes;No;
Client;Play While Downloading;PowerShare;Dynamic Upload;SUQWT;SubChunk Transfer;Drop Sources;Push Small files;ZZ Ratio;AntiLeech;IPFilter;Slot Control;
