Name;Creator;First release date;Latest stable version;Latest release date;License;Language;Web application framework;CMS extension;
Apache OFBiz;Apache Software Foundation;2007;16.11.05[1];2018-10-02;Apache;Java;Apache OFBiz;integrated, and 3rd party extensions;
Batavi;Batavi;?;1.3[2];2013-11-28;GPL;PHP;;;
Bigcommerce;Bigcommerce Inc;?;Continuous/SaaS;Continuous/SaaS;Proprietary;PHP;;;
Drupal Commerce;Drupal Commerce;2011-08-23;2.6[3];2018-04-06;GPL;PHP;;Drupal;
KonaKart;DS Data Systems UK Ltd;?;8.8.1.0[4];2018-02-13;GNU LGPL;Java;;;
LemonStand;Limewheel Creative Inc.;?;1.5.52;2011-06-03;Proprietary;PHP;;;
Magento;Varien;2007-08-13;2.2.4[5];2018-05-02;OSL 3.0;PHP;Zend Framework;;
Miva Merchant;Miva, Inc.;?;9;2014-11-17;Proprietary;MIVA Script;;;
nopCommerce;Nop Solutions Ltd;2008-10-23;3.90[6];2017-03-14;GPL;C#;ASP.NET MVC;;
OpenCart;OpenCart Ltd.;1999-05-11;2.3.0.2[7];2016-08-01;GPL;PHP;;;
osCommerce;osCommerce;2000-03;2.3.4[8];2014-06-05;GNU GPL;PHP;;;
pimcore;pimcore GmbH;2010;5.1.1[9];2017-03-22;BSD;PHP;Symfony[10];pimcore;
PrestaShop;PrestaShop SA;2007-08-15;1.7.[11];2017-04-20;OSL 3.0;PHP;Model-View-Controller;;
ProStores (discontinued);ProStores Inc.;?;10.3;2011-05-17;Proprietary;PHP;;;
Sana Commerce;Sana Commerce;?;SC v 9.0 [12];2015-02-15;Proprietary;C#;ASP.NET WebForms and ASP.NET MVC;;
Shopify;Shopify;2006[13];Continuous/SAAS[14];Continuous/SAAS;Proprietary;Ruby;Ruby on Rails;;
Spree Commerce;Sean Schofield;2007;3.3.1[15];2017-09-15;BSD;Ruby;Ruby on Rails;;
Storehippo;Hippo Innovations P Ltd;2014;Continuous/SAAS;Continuous/SAAS;Proprietary;Node.js;MEAN (software bundle);;
SupaDupa;SupaDupa;?;Continuous/SAAS;Continuous/SAAS;Proprietary;Ruby;Ruby on Rails;;
uCoz;uCoz Media;?;Continuous/SAAS;Continuous/SAAS;Proprietary;Perl;;;
Virto Commerce;Virto Commerce Development Team;2011-02-02;2.13.14;2017-08-08;OSL 3.0 + advertising clause;C#;;;
VirtueMart;Max Milbers and Team;?;3.2.2[16];2017-05-17;GPL;PHP;;Mambo or Joomla!;
WooCommerce;WooThemes;2011[17];3.4.4[18];2018-07-25;GPL;PHP;;WordPress;
Zen Cart;Zen Ventures;2003-06[19];1.5.5f[20];2017-12-31[±];GPL;PHP;;;
;Creator;First release date;Latest stable version;Latest release date;License;Language;Web application framework;CMS extension;
