Client;Windows;macOS;Linux;BSD;Unix;AmigaOS;ChromeOS;
AbsoluteTelnet;Yes;No;No;No;No;No;No;
ALFTP;Yes;No;No;No;No;No;No;
Beyond Compare;Yes;Yes;Yes;No;No;No;No;
Classic FTP;Yes;Yes;No;No;No;No;No;
Codeanywhere (webbased);Yes;Yes;Yes;Yes;Yes;Yes;No;
Commander One;No;Yes;No;No;No;No;No;
CoreFTP;Yes;No;No;No;No;No;No;
CrossFTP;Yes;Yes;Yes;Yes;Yes;Yes;No;
cURL (CL);Yes;Yes;Yes;Yes;Yes;Yes;No;
CuteFTP;Yes;Yes;No;No;No;No;No;
Cyberduck;Yes;Yes;No;No;No;No;No;
Directory Opus;Yes;No;No;No;No;Yes;No;
ExpanDrive;Yes;Yes;No;No;No;No;No;
FAR Manager;Yes;No;No;No;No;No;No;
Fetch;No;Yes;No;No;No;No;No;
FileZilla;Yes;Yes;Yes;Yes;Yes;No;No;
FireFTP;Yes;Yes;Yes;Yes;Yes;No;No;
FlashFXP;Yes;No;No;No;No;No;No;
Fling FTP;Yes;No;No;No;No;No;No;
ForkLift;No;Yes;No;No;No;No;No;
Client;Windows;Mac OS X;Linux;BSD;Unix;AmigaOS;ChromeOS;
FTP Client;No;Yes;No;No;No;No;No;
FTP Commander;Yes;No;No;No;No;No;No;
FTP Explorer;Yes;No;No;No;No;No;No;
FTP Voyager;Yes;No;No;No;No;No;No;
Fugu;No;Yes;No;No;No;No;No;
gFTP;No;Yes;Yes;Yes;Yes;No;No;
Interarchy;No;Yes;No;No;No;No;No;
LeechFTP;Yes;No;No;No;No;No;No;
lftp (CL);Yes (cygwin);Yes;Yes;Yes;Yes;No;No;
Macfusion;No;Yes;No;No;No;No;No;
mimiFTP;Yes;No;No;No;No;No;No;
Monsta FTP;Yes;Yes;Yes;Yes;Yes;Yes;No;
Mosaic;Yes;Yes;No;No;Yes;Yes;No;
NcFTP (CL);Yes;Yes;Yes;Yes;Yes;Yes;No;
net2ftp (web-based);Yes;Yes;Yes;Yes;Yes;Yes;No;
pbFtpClient;Yes;No;No;No;No;Yes;No;
PSFTP (PuTTY) (CL);Yes;No;Yes;Yes;Yes;No;No;
RaiDrive;Yes;No;No;No;No;No;No;
Robo-FTP;Yes;No;No;No;No;No;No;
Secure FTP;Yes;Yes;Yes;Yes;Yes;Yes;No;
SmartFTP;Yes;No;No;No;No;No;No;
Steed;Yes;No;No;No;No;No;No;
Sysax FTP Automation;Yes;No;No;No;No;No;No;
Total Commander;Yes;No;No;No;No;No;No;
Transmit;No;Yes;No;No;No;No;No;
WebDrive;Yes;Yes;No;No;No;No;No;
WinSCP;Yes;No;No;No;No;No;No;
WISE-FTP;Yes;No;No;No;No;No;No;
WS_FTP;Yes;No;No;No;No;No;No;
Xftp;Yes;No;No;No;No;No;No;
Yummy FTP;No;Yes;No;No;No;No;No;
sFTP Client;Yes;Yes;Yes;Yes;Yes;No;Yes;
Desktop.Tech;Yes;No;No;No;No;No;No;
Client;Windows;Mac OS X;Linux;BSD;Unix;AmigaOS;ChromeOS;
