Grammatical form;Ido;English;Esperanto;
Singular noun;-o (libro);book;-o (libro);
Plural noun;-i (libri);books;-oj (libroj);
Adjective;-a (varma);warm;-a (varma);
Adverb;-e (varme);warmly;-e (varme);
Present tense infinitive;-ar (irar);to be going;to go;-anti (iranti);-i (iri);
Past tense infinitive;-ir (irir);to have gone;-inti (irinti);
Future tense infinitive;-or (iror);to be going to go;-onti (ironti);
Present;-as (iras);go, goes;-as (iras);
Past;-is (iris);went;-is (iris);
Future;-os (iros);will go;-os (iros);
Imperative;-ez (irez);go!;-u (iru);
Conditional;-us (irus);would go;-us (irus);
