Server;Windows;Linux;macOS;BSD;Solaris;eComStation;OpenVMS;AIX;IBM i;z/OS;HP-UX;
AOLserver;No;Yes;Yes;Yes;Yes;No;No;Unknown;No;Unknown;Unknown;
Apache HTTP Server;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;
Apache Tomcat;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;
Boa;Unknown;Yes;No;Yes;Unknown;No;No;Unknown;No;Unknown;Unknown;
Caddy;Yes;Yes;Yes;Yes;Yes;No;No;Unknown;Unknown;Unknown;Unknown;
Caucho Resin Server;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;
Caudium[15];No;Yes;Yes;Yes;Yes;No;No;Yes;No;Unknown;Unknown;
Cherokee HTTP Server;No[16];Yes;Yes;Yes;Yes;No;No;Unknown;No;Unknown;Unknown;
HFS;Yes;No;No;No;No;No;No;No;No;No;No;
Hiawatha;with Cygwin[17];Yes[17];Yes[17];Yes[17];Yes[17];No;No;No;No;No;No;
IBM HTTP Server;Yes;Yes;No;No;Yes;No;No;Yes;Yes;Yes;Yes;
Internet Information Services;Yes;No;No;No;No;No;No;No;No;No;No;
Jetty (Java);Yes;Yes;Yes;Yes;Yes;Yes;No;Unknown;No;Yes;Unknown;
Jexus;No;Yes;No;Yes;Unknown;No;No;No;No;No;No;
lighttpd;Yes (Cygwin);Yes;Yes;Yes;Yes;No;No;Yes;No;No;Yes;
LiteSpeed Web Server;No;Yes;Yes;Yes;Yes;No;No;Unknown;No;Unknown;Unknown;
Mongoose;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;No;Yes;
Monkey HTTP Server;No;Yes;Yes;No;No;No;No;No;No;No;No;
NaviServer;Yes;Yes;Yes;Yes;Yes;Unknown;Unknown;Yes;No;Unknown;Unknown;
NCSA HTTPd;Unknown;Yes;No;Yes;Yes;Yes;No;Unknown;No;Unknown;Yes;
nginx;Yes;Yes;Yes;Yes;Yes;No;No;Yes;No;No;Yes;
OpenLink Virtuoso;Yes;Yes;Yes;Yes;Yes;No;No;Yes;No;No;Yes;
OpenLiteSpeed;No;Yes;Yes;Yes;Yes;No;No;Unknown;No;Unknown;Unknown;
Oracle HTTP Server;Yes;Yes;No;Unknown;Yes;No;No;Yes;No;Unknown;Unknown;
Oracle iPlanet Web Server;Yes;Yes;No;No;Yes;No;No;Yes;No;No;Yes;
thttpd;Yes (Cygwin);Yes;Yes;Yes;Yes;No;No;Unknown;No;Unknown;Unknown;
TUX web server;No;Yes;No;No;No;No;No;No;No;No;No;
Wakanda Server;Yes;Yes (via libbsd);Yes;Yes;Unknown;No;No;No;No;No;No;
Xitami;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Unknown;Yes;
Yaws;Yes;Yes;Yes;Yes;Yes;No;No;Yes;No;Unknown;Unknown;
