Esperanto;IPA;Novial;
A, a;[a];A, a;
B, b;[b];B, b;
C, c;[ts];Ts, ts; S, s;
?, ?;[t?];Ch, ch; Sh, sh;
D, d;[d];D, d;
E, e;[e] or [?];E, e;
F, f;[f];F, f;
G, g;[?];G, g;
?, ?;[d?];J, j;
H, h;[h];H, h;
?, ?;[x];K, k;
I, i;[i];I, i;
J, j;[j];Y, y;
?, ?;[?];J, j;
K, k;[k];K, k;
L, l;[l];L, l;
M, m;[m];M, m;
N, n;[n];N, n;
O, o;[o] or [?];O, o;
P, p;[p];P, p;
Kv kv;[kv];Qu, qu;
R, r;[r];R, r;
S, s;[s];S, s; Z, z;
?, ?;[?];Sh, sh; Ch, ch;
T, t;[t];T, t;
U, u;[u];U, u;
?, ?;[u?];U, u (after a vowel);
V, v;[v];V, v; W, w;
Ks, ks; kz;[ks], [?z];X, x;
Z, z;[z];Z, z; S, s;
