;Imports;Exports;
3D;3D game;CAD and GIS;Web and mobile[io 1];3D;3D game;3D renderers;CAD and GIS;Web and mobile[io 1];
3ds Max;FBX, 3DS, PRJ, ABC, AI, DAE, HTR, OBJ, SHP, SKP, STL, TRC, VRML;Openflight FLT;DEM, XML, DDF, DWG, DXF, IGE, IGS, IGES, IPT, WIRE, IAM, LS, VW, LP, SAT, Catia V4/V5, JT, ProE, RVT, PRT, SolidWorks[io 2], STEP, WIRE;;FBX, 3DS, AI, ASE, DAE, HTR, OBJ, STL;Openflight FLT;;ATR, BLK, DF, DWG, DXF, IGS, LAY, LP, SAT, VW;M3G, VRML97;
AC3D;3DS, AC3D, COLLADA, Lightwave, Massive, Milkshape Ascii, OBJ, OFF, Pointfield, Points, STL (ascii), Terragen, Triangle, Vector;Quake BSP, Quake MD2, Renderware, SMF;DXF, LDraw (Lego), SOF Airfoil;VRML 1.0[10];3DS, 3D Studio ASE, AC3D, Dive, DVS, DXF, COLLADA, Lightwave, Massive, Milkshape Ascii, OBJ, STL (ascii), Triangle;DirectX, Ogre, Quake MD2, Quake Map, SMF, Unreal Tournament;POV-Ray, Renderman;Inventor, LDraw (Lego);VRML 1.0, VRML 2.0, X3D[10];
Blender;3DS, FBX, AC3D, COLLADA, OBJ, DEC Object File Format, Lightwave LWO, MD2, Motion Capture, Nendo, PLY, Radiosity, Raw Triangle, Softimage, STL, TrueSpace, VideoScape;DirectX;DXF, Pro Engineer,;VRML, VRML97, X3D Extensible 3D;3DS, AC3D, COLLADA, FBX, Adobe After Effects JSX, DXF, OBJ, DEC Object File Format, Lightwave LWO, MD2, Motion Capture, Nendo, PLY, Radiosity, Raw Triangle, Softimage, STL, TrueSpace, VideoScape, xfig export;DirectX;;Pro Enginee;VRML, VRML97, X3D Extensible 3D;
Electric Image Animation System;3DS, FBX, OBJ, LWO, MDD;;DXF;;3DS, OBJ, LWO;;;DXF;;
Cinema 4D;FBX, OBJ, 3DS, QD3D, STL, DEM, LWO/LWS;;DXF;VRML 1, VRML 2;FBX, OBJ, 3DS, QD3D, STL, W3D;;;DXF;VRML 1, VRML 2;
Clara.io;FBX, OBJ, Collada, MD2, MD3, MD5, 3DS, STL, LWO, GEO, IRR, PLY, POV, SHP, XGL, ZGL, AC, BLEND, BVH, CSM, LWS;X;DXF;VRML, Three.js;FBX, OBJ, Collada, STL;;;;Three.js, Babylon.js;
Cobalt;3DS, AI, ASCII Text;;ACIS SAT, CATIA v4, CCAD, CGM, CO (native), Drawing board, DWG/DXF, Facet, Grid Surface, IGS (IGES), Parasolid XT, Pro/E, Rhino 3DM, Spline, STP (STEP);VRML;AI, ASCII Text, RAW Triangle;;;ACIS SAT, CATIA v4, CGM, CO (native), Drawing board, DWG/DXF, Facet, Grid Surface, IGS (IGES),Parasolid XT, PDF, Pro/E, STP (STEP);Shockwave 3D, VRML;
Houdini;?;;;;?;;;;;
IClone;FBX, OBJ, BVH, SKP (via 3DXChange);;;;FBX, OBJ, BVH (via 3DXChange);;;;;
Lightwave 3D;3DS, COLLADA, FBX, OBJ, LWO, FBX, MD2, VideoScape;;DXF;VRML, VRML97;3DS, COLLADA, FBX, OBJ, LWO, MD2;;;DXF;VRML, VRML97;
MakeHuman;N/A;;;;COLLADA, FBX Export, MD5, MHX, OBJ, STL;Ogre3D;;;;
Maya;Maya Ascii, Maya Binary, MEL, FBX, OBJ, STL;Openflight FLT;DXF, IGES, StudioTools Wire;VRML2;Maya Ascii, Maya Binary, Mel, FBX, OBJ, GE2, RTG;OpenFlight FLT;Mental Ray, RIB;DXF, IGES, StudioTools Wire, Open Inventor2;VRML2;
