Name;Creator-maintainer;Based on;Standardized?;Specification;Binary?;Human-readable?;Supports references?e;Schema-IDL?;Standard APIs;Supports Zero-copy operations;
Apache Arrow;Apache Software Foundation;N/A;No;Apache Arrow™;Yes;No;No;Yes (built-in);Java, Python, C++, JavaScript;Yes;
Apache Avro;Apache Software Foundation;N/A;No;Apache Avro™ 1.8.1 Specification;Yes;No;N/A;Yes (built-in);N/A;N/A;
Apache Parquet;Apache Software Foundation;N/A;No;Apache Parquet[1];Yes;No;No;N/A;Java, Python;No;
Argdata;Nuxi, the Netherlands;YAML;Yes;Argdata binary encoding;Yes;No;No;No;No;Yes;
ASN.1;ISO, IEC, ITU-T;N/A;Yes;ISO/IEC 8824; X.680 series of ITU-T Recommendations;Yes (BER, DER, PER, OER, or custom via ECN);Yes (XER, JER, GSER, or custom via ECN);Partialf;Yes (built-in);N/A;N/A;
Bale;Murray;N/A;No;Bale Specification;Yes;No;No;Yes;;N/A;
Bencode;Bram Cohen (creator) BitTorrent, Inc. (maintainer);N/A;Yes;Part of BitTorrent protocol specification;Partially (numbers and delimiters are ASCII);No;No;No;No;N/A;
Binn;Bernardo Ramos;N/A;Yes;Binn Specification;Yes;No;No;No;No;Yes;
Bond;Microsoft;N/A;No;Bond IDL Specification;Yes;Yes (JSON, XML);No;Yes;Yes (C++, C#, Java, Python);N/A;
BSON;MongoDB;JSON;Yes;BSON Specification;Yes;No;No;No;No;N/A;
Candle Markup;Henry Luo;XML, JSON, JavaFX;Yes;Candle Markup Reference;No;Yes;Yes (XPointer, XPath);Yes (Candle Pattern Reference);Yes (XQuery, XPath);N/A;
Cap’n Proto;Kenton Varda;N/A;No;Cap'n Proto Encoding Spec;Yes;Partialh;Yes;Yes;No;Yes;
CBOR;Carsten Bormann, P. Hoffman;JSON (loosely);Yes;RFC 7049;Yes;No;Yes through tagging;Yes (CDDL);No;Yes;
Colfer;Pascal de Kloe;N/A;No;Specification Wiki;Yes;No;No;Yes;No;Yes;
Comma-separated values (CSV);RFC author: Yakov Shafranovich;N/A;Partial (myriad informal variants used);RFC 4180 (among others);No;Yes;No;No;No;No;
Common Data Representation (CDR);Object Management Group;N/A;Yes;General Inter-ORB Protocol;Yes;No;Yes;Yes;ADA, C, C++, Java, Cobol, Lisp, Python, Ruby, Smalltalk;N/A;
D-Bus Message Protocol;freedesktop.org;N/A;Yes;D-Bus Specification;Yes;No;No;Partial (Signature strings);Yes (see D-Bus);N/A;
edn;Rich Hickey;N/A;No;Extensible Data Notation;No;Yes;No;No;No;N/A;
Efficient XML Interchange (EXI);W3C;XML, Efficient XML;Yes;Efficient XML Interchange (EXI) Format 1.0;Yes;Yes (XML);Yes (XPointer, XPath);Yes (XML Schema);Yes (DOM, SAX, StAX, XQuery, XPath);N/A;
ER7;Health_Level_7;N/A;Yes;Health_Level_7#Version_2_messaging[2];Partially - Schema available;Yes;Yes;Yes;HAPI[1];No;
Fast Binary Encoding;Ivan Shynkarenka;N/A;No;Fast Binary Encoding (FBE) specification;Yes;Partiali;No;Yes (built-in);C++, C#, Go, Java, JavaScript, Kotlin, Python, Ruby;Yes;
Feather;Wes McKinney and Hadley Wickham;Template:Apache Arrow;No;[3];Yes;No;No;N/A;Python, R;Yes;
FlatBuffers;Google;N/A;No;flatbuffers github page Specification;Yes;Yes (Apache Arrow);Partial (internal to the buffer);Yes [4];C++, Java, C#, Go, Python, Rust, JavaScript, PHP, C, Dart, Lua, TypeScript;Yes;
