;Trident;Tasman;Gecko;WebKit;KHTML;Presto;
Interface Range;
startContainer;DOM2;No;?;1.0;Yes;?;1.0;
startOffset;?;?;
endContainer;?;?;
endOffset;?;?;
collapsed;?;?;
commonAncestorContainer;?;?;
setStart();?;?;
setEnd();?;?;
setStartBefore();?;?;
setStartAfter();?;?;
setEndBefore();?;?;
setEndAfter();?;?;
collapse();?;?;
selectNode();?;?;
selectNodeContents();?;?;
compareBoundaryPoints();?;?;
deleteContents();?;?;
extractContents();?;?;
cloneContents();?;?;
insertNode();?;?;
surroundContents();?;?;
cloneRange();?;?;
toString();?;?;
detach();?;?;
Interface DocumentRange;
createRange();DOM2;No;?;1.0;No;?;1.0;
Exception RangeException;
code;DOM2;No;?;1.0;Yes;?;1.0;
