Rank;Nation;GDP (in millions $USD);
; World[2];73,170,986;
1; United States;17,947,000;
9999999; European Union[n 1][2];16,220,370;
2; China;11,007,721;
3; Japan;4,123,258;
4; Germany;3,357,614;
5; United Kingdom;2,849,345;
6; France;2,421,560;
7; India;2,090,706;
8; Italy;1,815,757;
9; Brazil;1,772,589;
10; Canada;1,552,386;
11; South Korea;1,376,868;
12; Russia;1,324,734;
13; Australia;1,322,827;
14; Spain;1,321,915;
15; Mexico;1,144,334;
16; Indonesia;858,953;
17; Netherlands;738,419;
18; Turkey;733,642;
19;  Switzerland;664,603;
20; Saudi Arabia;653,219;
21; Argentina;585,623;
22; Taiwan;523,581;
23; Sweden;492,618;
24; Nigeria;490,207;
25; Poland;474,893;
26; Belgium;454,687;
27; Thailand;395,288;
28; Norway;389,482;
29; Iran;387,611;
30; Austria;374,124;
31; United Arab Emirates;345,483;
32; Egypt;330,765;
33; South Africa;312,957;
; Hong Kong;309,931;
34; Malaysia;296,219;
35; Israel;296,073;
36; Denmark;294,951;
37; Colombia;293,243;
38; Singapore;292,734;
39; Philippines;291,965;
40; Pakistan;269,971;
41; Chile;240,222;
42; Venezuela;239,572;
43; Ireland;238,031;
44; Finland;229,671;
45; Bangladesh;205,715;
46; Portugal;199,077;
47; Greece;195,320;
48; Peru;192,141;
49; Vietnam;191,454;
50; Qatar;185,395;
51; Czech Republic;181,858;
52; Romania;177,315;
53; Kazakhstan;173,212;
54; Algeria;172,278;
55; New Zealand;172,248;
56; Iraq;169,460;
57; Kuwait;120,682;
58; Hungary;120,636;
59; Morocco;103,142;
60; Angola;102,979;
61; Ecuador;98,828;
62; Ukraine;90,524;
63; Slovak Republic;86,629;
64; Sudan;83,612;
65; Sri Lanka;82,095;
66; Syria[n 2];77,460;
67; Dominican Republic;67,492;
68; Myanmar;66,983;
69; Uzbekistan;65,683;
70; Guatemala;63,911;
71; Ethiopia;61,629;
72; Kenya;61,405;
73; Oman;58,491;
74; Luxembourg;57,423;
75; Belarus;54,609;
76; Azerbaijan;54,048;
77; Uruguay;53,794;
78; Costa Rica;52,898;
79; Panama;52,132;
80; Lebanon;51,168;
81; Bulgaria;48,957;
82; Croatia;48,850;
; Macao;46,178;
83; Tanzania;44,904;
84; Tunisia;43,581;
85; Slovenia;42,768;
86; Lithuania;41,267;
87; Democratic Republic of the Congo;38,873;
88; Libya;38,300;
89; Jordan;37,620;
90; Yemen;36,852;
91; Serbia;36,513;
92; Ghana;36,039;
93; Turkmenistan;35,680;
94; Bolivia;33,210;
95; Côte d'Ivoire;31,172;
96; Bahrain;30,411;
97; Cameroon;28,478;
98; Paraguay;28,077;
99; Latvia;27,048;
100; El Salvador;25,766;
101; Uganda;24,740;
102; Trinidad and Tobago;24,553;
103; Estonia;22,704;
104; Zambia;21,889;
105;   Nepal;21,356;
106; Honduras;20,295;
107; Cyprus;19,330;
108; Afghanistan;19,204;
109; Cambodia;18,155;
110; Iceland;16,718;
111; Papua New Guinea;16,090;
112; Bosnia and Herzegovina;15,794;
113; Mozambique;14,965;
114; Gabon;14,350;
115; Zimbabwe;14,269;
116; Georgia;14,007;
117; Jamaica;13,924;
118; Senegal;13,665;
119; Mali;13,066;
120; Botswana;12,860;
121; Namibia;12,832;
122; Laos;12,503;
123; Nicaragua;12,222;
124; Brunei Darussalam;11,786;
125; Mongolia;11,735;
126; Mauritius;11,608;
127; Albania;11,543;
128; Burkina Faso;11,009;
129; Chad;10,894;
130; Armenia;10,571;
131; Macedonia;9,922;
132; Malta;9,801;
133; Madagascar;9,737;
134; Equatorial Guinea;9,403;
135; Republic of Congo;8,878;
136; Bahamas;8,705;
137; Haiti;8,618;
138; Benin;8,471;
139; Rwanda;8,267;
140; Tajikistan;7,816;
141; Niger;7,151;
142; Guinea;6,696;
143; Kyrgyz Republic;6,650;
144; Malawi;6,416;
145; Moldova;6,414;
146; Kosovo;6,355;
147; Suriname;5,192;
148; Fiji;4,782;
149; Mauritania;4,752;
150; Eritrea;4,666;
151; Barbados;4,412;
152; Sierra Leone;4,167;
153; Togo;4,165;
154; Montenegro;4,039;
155; Swaziland;4,028;
156; Guyana;3,164;
157; Maldives;3,130;
158; Burundi;2,881;
159; South Sudan;2,627;
160; Timor-Leste;2,620;
161; Bhutan;2,214;
162; Liberia;2,035;
163; Lesotho;2,032;
164; Belize;1,763;
165; Djibouti;1,727;
166; Central African Republic;1,605;
167; Cabo Verde;1,595;
168; San Marino;1,566;
169; St. Lucia;1,416;
170; Seychelles;1,375;
171; Antigua and Barbuda;1,287;
172; Solomon Islands;1,147;
173; Guinea-Bissau;1,057;
174; Grenada;954;
175; St. Kitts and Nevis;896;
176; The Gambia;893;
177; Samoa;838;
178; Vanuatu;765;
179; St. Vincent and the Grenadines;757;
180; Comoros;589;
181; Dominica;497;
182; Tonga;414;
183; São Tomé and Príncipe;318;
184; Micronesia;318;
185; Palau;287;
186; Marshall Islands;183;
187; Kiribati;162;
188; Tuvalu;33;
