IPA;a;ap;at;ak;a?;ã;?;?k;??;?;o;e;?;i;i?n;i??;
Pe?h-?e-j?;a;ap;at;ak;ah;a?;o?;ok;o?;o;o;e;e?;i;ian;eng;
Revised TLPA;a;ap;at;ak;ah;aN;oo;ok;ooN;o;o;e;eN;i;ian;ing;
TLPA;a;ap;at;ak;ah;ann;oo;ok;oonn;o;o;e;enn;i;ian;ing;
BP;a;ap;at;ak;ah;na;oo;ok;noo;o;o;e;ne;i;ian;ing;
MLT;a;ab/ap;ad/at;ag/ak;aq/ah;va;o;og/ok;vo;ø;ø;e;ve;i;ien;eng;
DT;a;?p/ap;?t/at;?k/ak;?h/ah;ann/a?;o;ok;onn/o?;or;or;e;enn/e?;i;ian/en;ing;
Taiwanese kana;??;???;??;??;??;??;??;??;??;??;??;??;??;??;???;???;
Extended bopomofo;?;??;??;??;??;?;?;??;?;?;?;?;?;?;??;??;
Tâi-lô;a;ap;at;ak;ah;ann;oo;ok;onn;o;o;e;enn;i;ian;ing;
Example (traditional Chinese);? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;;? ?;? ?;? ?;;? ?;? ?;? ?;
Example (simplified Chinese);? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;;? ?;? ?;? ?;;? ?;? ?;? ?;
