;Source code provided;Ajax use;Digital downloads;eBay listing integration;eBay order import;Multiple skins;Point of sale order management;Subscriptions;Taxation;Template engine;
Apache OFBiz;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;
Bigcommerce;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;
Drupal Commerce;Yes;Yes;Yes;No;No;Yes;Yes;Yes;Yes;Yes;
LemonStand;Yes;Yes;Yes;No;No;Yes;Yes;Yes;Yes;Yes;
nopCommerce;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;
Magento;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;
pimcore;Yes;Yes;Yes;No;No;N/A;Yes;Yes;Yes;N/A;
OpenCart;Yes;Yes;Yes;Add-on;Add-on;Yes;No;Yes;Yes;Yes;
osCommerce;Yes;Yes;Yes;?;?;N/A;Yes;Yes;Yes;N/A;
PrestaShop;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;
Sana Commerce;Yes;Yes;Yes;No;No;Yes;Yes;Yes;Yes;Yes;
Shopify;No;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;
SupaDupa;No;Yes;No;No;No;Yes;Yes;No;Yes;Yes;
Virto Commerce;Yes;Yes;Yes;No;No;Yes;Yes;Yes;Yes;Yes;
WooCommerce;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;
Zen Cart;Yes;Yes;Yes;No;No;Yes;No;Yes;Yes;Yes;
;Source code provided;Ajax use;Digital downloads;eBay listing integration;eBay order import;Multiple skins;Point of sale order management;Subscriptions;Taxation;Template engine;
