;HTML;CHM;RTF;PDF;LaTeX;PostScript;man pages;DocBook;XML;ePub;
Ddoc;Yes;Yes[e];No;Yes[e];Yes[e];Yes[e];Yes[e];No;Yes[e];
Document! X;Yes;Yes;No;No;No;No;No;No;No;
Doxygen;Yes;Yes;Yes;Indirectly[f];Yes;Indirectly[f];Yes;Yes;Yes;No;
Epydoc;Yes;No;No;Yes;Indirectly[g];Indirectly[g];No;No;No;
Haddock;Yes;Yes;No;No;No;No;No;Partial;No;
HeaderDoc;Yes;No;No;No;No;No;Yes;No;Yes;
Imagix 4D;Yes;No;Yes;No;No;No;No;No;No;
Javadoc;Yes;Indirectly[h];Indirectly[h];Indirectly[h];Indirectly[h];Indirectly[h];Indirectly[h];Indirectly[h];Indirectly[h];
JSDoc;Yes;No;No;No;No;No;No;No;No;
JsDoc Toolkit;Yes;No;No;No;No;No;No;No;Yes+JSON;
Natural Docs;Yes;No;No;No;No;No;No;No;No;
NDoc;Yes;Yes;No;No;No;No;No;No;No;
phpDocumentor;Yes;Yes;No;Yes;No;No;No;Yes;Yes;
pydoc;Yes;No;No;No;No;No;No;No;No;No;
RDoc;Yes;Yes[i];No;No;No;No;Indirectly[j];No;Yes[i];
ROBODoc;Yes;Indirectly;Yes;Indirectly[g];Yes;Indirectly[g];Yes;Yes;No;
Sandcastle;Yes;Yes;No;No;No;No;No;No;No;
Sphinx;;;;;Yes;Yes;Indirectly[k];Yes;Yes;Yes;
Visual Expert;Yes;No;No;No;No;No;No;No;No;
VSdocman;Yes;Yes;No;Yes;No;No;No;No;Yes;
YARD;Yes;No;No;No;No;No;No;No;No;
;HTML;CHM;RTF;PDF;LaTeX;PostScript;man pages;DocBook;XML;ePub;
