Name;COLOR;VT100;TLS;NAWS[17];EOR[18];ECHO[19];MCCP;MXP;MSP;MMCP;256 colors;Unicode;
Atlantis;Yes;No;Yes;Yes;Yes;No;Yes;No;No;No;Yes;Yes;
Axmud;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;
BeipMU;Yes;No;Yes;No;No;No;No;No;No;No;Yes;Yes;
BioMUD;Yes;Yes;No;Yes;Yes;Yes;No;No;No;No;Yes;No;
BlowTorch;Yes;No;No;No;No;No;No;No;No;No;Yes;No;
CMUD;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;No;
GGMUD;Yes;No;No;No;No;Yes;Yes;No;No;No;No;No;
GMUD;Yes;No;No;No;No;No;No;No;No;No;No;No;
Gnome-Mud;Yes;No;No;No;No;No;No;No;No;No;Yes;No;
JamochaMUD;Yes;No;Yes;No;No;No;Partial;No;No;No;No;No;
KBtin;Yes;No;Yes;Yes;Yes;Yes;Yes;No;No;No;Yes;Yes;
KildClient;Yes;No;Yes;Yes;No;Yes;Yes;No;No;Yes;Yes;Yes;
KMuddy;Yes;No;No;No;No;Yes;Yes;Yes;Yes;No;No;No;
Lyntin;Yes;No;No;No;No;No;No;No;No;No;Yes;No;
mcl;Yes;No;No;No;No;No;Yes;No;No;Yes;Yes;No;
muby;Yes;No;No;No;No;No;No;No;No;No;Yes;No;
Mudlet;Yes;No;No;Yes;Yes;No;Yes;Yes;No;No;Yes;Yes;
MudMagic;Yes;No;No;Yes;Yes;Yes;Yes;Yes;Yes;No;No;No;
MUDRammer;Yes;No;Yes;Yes;No;Yes;Yes;No;Yes;No;Yes;Yes;
MUSHclient;Yes;No;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;
Portal;Yes;No;No;No;No;No;No;No;No;No;No;No;
Potato;Yes;No;Yes;Yes;Yes;No;No;No;No;No;Yes;Yes;
Powwow;Yes;Yes;No;Yes;No;Yes;No;No;No;No;Yes;No;
Pueblo/UE;Yes;No;No;No;No;Yes;Yes;Yes;No;No;No;No;
SimpleMU;Yes;No;No;No;No;No;Yes;No;Yes;No;No;No;
Soiled;Yes;Yes;No;Yes;Yes;Yes;No;No;No;No;Yes;No;
TinTin++;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;Yes;Yes;Yes;
TinyFugue;Yes;No;Yes;Yes;Yes;Yes;Yes;No;No;No;Yes;No;
Tortilla;Yes;No;No;Yes;Yes;Yes;Yes;No;No;No;Yes;Yes;
Trebuchet;Yes;No;Yes;Yes;Yes;Yes;No;No;No;No;No;No;
Wintin.Net;Yes;Yes;No;Yes;No;Yes;Yes;Yes;No;Yes;Yes;No;
zMUD;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;
