Software Name;Developer;First public release;Predecessor;Latest Stable version / (Date);Operating system;Price in USD;License;Microsoft Office (.doc, .xls) support;Microsoft Office Open XML support;OpenDocument support;Portable Document Format support;
Ability Office;Ability Plus Software;1995;—;6.00;Windows;49.99 - 59.99;Proprietary;Yes;Yes;Planned for a future version;Export;
Apache OpenOffice;Apache Software Foundation;2012 May;OpenOffice.org, StarOffice;4.1.6 (November 18, 2018; 31 days ago (2018-11-18)) [±];Windows, macOS, Linux, BSD, Unix, Solaris/Illumos;Free;Apache License 2.0;Yes;Import-only;Native format;Export and Import with free plugin;
Breadbox Office;Breadbox Computer Company;1990;—;4.1.3.0;DOS, Windows;99.95;Proprietary;No;No;No;No;
Calligra Suite;KDE;2011;KOffice;3.1.0 (1 February 2018; 10 months ago (2018-02-01)[1]) [±];Windows, macOS, Linux, BSD, Solaris/Illumos;Free;GNU LGPL and GNU GPL;Import;Import;Native format;Export[2];
Feng Office Community Edition;Feng Office;2007;—;1.6.1;Fully online;Free;GNU AGPL;No;No;No;No;
GobeProductive;Gobe Software;1998;—;3.04 / 2.01;Windows, BeOS;49.95;Proprietary;Yes;No;No;No;
G Suite (formerly Google Apps for Work);Google;2006;Writely;2014;Fully online;60.00 per account per year (free trial 30 days); free for some versions (education, non-profit);Proprietary;Yes;Yes;Yes;Yes;
Google Docs;Google;2006;Writely;2014;Fully online;Free;Proprietary;Yes;Yes[3];Yes;Yes;
IBM Lotus Symphony;IBM;2007;IBM Workplace (based on OpenOffice.org);3.0.1;Windows, Linux, macOS;Free;Proprietary;Yes;Import[4];Native format;Export;
iWork;Apple Inc.;2005;AppleWorks[5];Pages 6.0 / Numbers 4.0 / Keynote 7.0 (2016);macOS;19.99 per application through Mac App Store or free on a new Mac;Proprietary;Yes;Import;No;Export;
LibreOffice;The Document Foundation formerly Sun Microsystems and Go-oo;2010 September;OpenOffice.org, Go-oo StarOffice;"Fresh" version: 6.1.4 (18 December 2018; 1 day ago (2018-12-18)[6]) "Still" version: 6.0.7 (5 November 2018; 44 days ago (2018-11-05)[7]) [±];Windows, macOS, Linux, BSD, Unix, Solaris/Illumos;Free;GNU LGPL;Yes;Yes;Native format;Yes;
Lotus SmartSuite;IBM;1992 [8];—;9.8;Windows, OS/2;313.00;Proprietary;Yes;No;No;No;
MarinerPak;Mariner Software;1996;—;10.0;Classic Mac OS, Mac OS X;79.95;Proprietary;Import;No;No;No;
Microsoft Office;Microsoft;1990 (Macintosh), 1992 (Windows);Microsoft Word Microsoft Excel Microsoft PowerPoint;2016 (16.0) (Windows), 2016 (15.4.0) (macOS);Windows, macOS;89.95 - 679.95;Proprietary;Yes;Yes[9];Windows and Office 365 versions only;Yes;
Microsoft Works (Discontinued in 2009);Microsoft;1986;—;Discontinued;Windows, Macintosh;Discontinued;Proprietary;Yes;Yes;No;No;
MobiSystems OfficeSuite;MobiSystems;2004;—;Android version: 9.4.12687[10] iOS version: 5.9.10[11] Windows version: 2.20.12301.0[12];Android, iOS, Windows[13];Free version with ads and limited support; €29.99/year for all platforms;Proprietary;Yes;Yes;Yes;Yes;
NeoOffice;Planamesa Software;2005-06-02;based on OpenOffice.org re-coded for macOS;3.2;macOS;$10/yr, $29.99 Mac App Store (free old versions);GNU GPL;Yes;Yes;Yes;Import with free plugin;
ShareOffice;ShareMethods;2007 May;—;—;Fully online;10,000.00+ / year;Proprietary;Yes;No;Yes;No;
StarOffice a.k.a. Oracle Open Office;Sun Microsystems for 10 years, Oracle for 1 year;1995;StarWriter;9.0;Windows, macOS, Linux, BSD, Unix, Solaris/Illumos;34.95;Proprietary;Yes;With free plugins;Native format;Import with free plugin;
SoftMaker Office;SoftMaker;1987 (for DOS), 1994 (for Windows)[14];—;2016 (Windows: 19 May 2015; 3 years ago (2015-05-19),[15] Linux: 9 December 2015; 3 years ago (2015-12-09)[16]), Office HD for Android: 24 November 2014; 4 years ago (2014-11-24), Office Mobile for Android: 31 August 2012; 6 years ago (2012-08-31),[17] 2010 (Windows Mobile, Windows CE), 2006 (Handheld PC);Windows, Linux, Android, Windows Mobile, Windows CE, Pocket PC);Version-dependent, e.g. SM Office 2012 99.95 (19.95 Acad.); free for FreeOffice; SM Office 2016 is free for educational institutions;Proprietary;Yes;Yes;Partial, only ODT export, no Import[18];Export;
OnlyOffice;Ascensio Systems;2010;—;—;Fully online;Free for non-commercial use, 75-7,200 per year for commercial use;GNU AGPL;Yes;Yes;Yes;Yes;
TeXmacs;Joris van der Hoeven;1996?;—;2012;Windows, macOS, Linux, BSD, Unix;Free;GNU GPL;No;No;No;No;
ThinkFree Office;Haansoft;1998;—;3.5;Mac OS X v10.4, Windows, Linux, Fully online;49.95, Online Versions free;Proprietary;Yes;Yes;No[19][20];Yes;
Tiki Wiki CMS Groupware;Tiki Software Community Association;2002;—;12.2 LTS, 9.8 LTS and 6.14 LTS;Fully online;Free;GNU LGPL;search;search;search;Export and search;
WordPerfect Office;Corel;1991;WordPerfect (1982);X9 (May 23, 2018; 6 months ago (2018-05-23)) [±];Windows;69.99 - 399.99;Proprietary;Yes;Yes;Yes;Some versions;
WPS Office (Kingsoft Office);Kingsoft;1988;—;10.2 2018;Windows, Linux, Android, iOS;$79.99 perpetual license; $29.99 annual subscription; free with ads;Proprietary;Yes;Yes;With free add-in[21][22];Export in all versions; Import with subscription only;
Zoho Office Suite;Zoho Corp.;2005;—;;Fully online;Up to 96 per user per year, depending on feature set;Proprietary;Yes;Yes;Yes;Yes;
Software Name;Developer;First public release;Predecessor;Latest Stable version / (Date);Operating system;Price in USD;License;Microsoft Office (.doc, .xls...) support;Microsoft Office Open XML support;OpenDocument Support;Portable Document Format support;
