Name;Creator;Host CPU;Guest CPU;Host OS;Guest OS;License;
bhyve;FreeBSD;x86-64;x86, x86-64;FreeBSD, Illumos;FreeBSD, FreeNAS, pfSense, OpenBSD, Linux, Windows, Illumos[1];BSD;
Bochs;Kevin J. Lawton;Any;x86, x86-64;Windows, Linux, FreeBSD, Unix/X11, Mac OS 9, macOS, BeOS, MorphOS, OS/2[2][3];Windows, Linux, DOS, BSD, OS/2, Haiku;LGPL;
Containers, or Zones;Sun Microsystems;x86, x86-64, SPARC (portable: not tied to hardware);Same as host;Solaris 10, Solaris 11, OpenSolaris 2009.06, illumos distributions;Solaris (8, 9, 10, 11), illumos, Linux (BrandZ);CDDL;
Cooperative Linux (coLinux);Dan Aloni, other developers;x86;Same as host;Windows 2000, XP, 2003, Vista;Linux;GPL version 2;
CHARON;Stromasys;x86, x86-64;PDP-11, VAX, Alpha, HP3000, Sparc;Windows, Linux;VMS, OpenVMS, Tru64 UNIX, MPE/iX, RSX-11, RT11, RSTS, Solaris, SunOS;Proprietary;
Denali;University of Washington;x86;x86;Denali;Ilwaco, NetBSD;Not distributed;
DOSBox;Peter Veenstra, Sjoerd with community;Any;x86;Linux, Windows, classic Mac OS, macOS, BeOS, FreeBSD, NetBSD, OpenBSD, Solaris, QNX, IRIX, MorphOS, AmigaOS, Maemo, Symbian;Internally emulated DOS shell; classic PC booter games, unofficially Windows 1.0 to 98;GPL;
DOSEMU;Community project;x86, x86-64;x86;Linux;DOS;GPL version 2;
FreeBSD Jail;FreeBSD;Any running FreeBSD;Same as host;FreeBSD;FreeBSD, Linux ABI;BSD;
GNOME Boxes;GNOME;;;Unix-like;Unix-like;LGPLv2;
GXemul;Anders Gavare;Any;ARM, MIPS, Motorola 88000, PowerPC, SuperH;Unix-like;NetBSD, OpenBSD, Linux, Ultrix, Sprite;BSD;
Hercules;Roger Bowler;Any;z/Architecture;Windows, FreeBSD, NetBSD, Linux, macOS;Linux on z Systems, z/OS, z/VM, z/VSE, OS/360, DOS/360, DOS/VS, MVS, VM/370, TSS/370;QPL;
Hyper-V (2008);Microsoft;x86-64 with Intel VT-x or AMD-V;x86-64, x86 (up to 8 physical CPUs);Windows Server 2008 (R2) w/Hyper-V role, Microsoft Hyper-V Server;Supported drivers for Windows 2000, Windows 2003, Windows 2008, Windows XP, Windows Vista, FreeBSD, Linux (SUSE 10 released, more announced);Proprietary;
Hyper-V (2012);Microsoft;x86-64 with Intel VT-x or AMD-V;x86-64, (up to 64 physical CPUs);Windows 8, 8.1, 10, and Windows Server 2012 (R2) w/Hyper-V role, Microsoft Hyper-V Server;Supported drivers for Windows NT, FreeBSD, Linux (SUSE 10, RHEL 6, CentOS 6);Proprietary. Component of various Windows editions.;
iCore Virtual Accounts;iCore Software;x86;x86;Windows XP;Windows XP;Proprietary;
INTEGRITY;Green Hills Software;ARM, x86, PowerPC;Same as host;Linux, Windows;INTEGRITY native, Linux, Android, AUTOSAR, Windows (on some platforms);Proprietary;
Integrity Virtual Machines;Hewlett-Packard;IA-64;IA-64;HP-UX;HP-UX, Windows, Linux (OpenVMS announced);Proprietary;
JPC (Virtual Machine);Oxford University;Any running the Java Virtual Machine;x86;Java Virtual Machine;DOS, Linux, Windows up to 3.0;GPL version 2;
KVM;Qumranet, now Red Hat;x86, x86-64, IA-64, with x86 virtualization, s390, PowerPC,[4] ARM [5];Same as host;Linux, FreeBSD, illumos;FreeBSD, Linux, Solaris, Windows, Plan 9;GPL version 2;
Linux-VServer;Community project;x86, x86-64, IA-64, Alpha, PowerPC 64, PA-RISC 64, SPARC64, ARM, S/390, SH/66, MIPS;Compatible;Linux;Linux variants;GPL version 2;
LynxSecure;LynuxWorks;x86;x86;No host OS;LynxOS, Linux, Windows;Proprietary;
LXC;Community project, Canonical Ltd.;x86, x86-64, IA-64, PowerPC 64, SPARC64, Itanium, ARM;Same as host;Linux;Linux variants;GPL version 2;
OKL4 Microvisor;Open Kernel Labs, acquired by General Dynamics Corporation;ARM, x86, MIPS;ARM (v5, v6, v7; paravirtualization), ARMv7VE (hardware virtualization);No Host OS;Various OSes and RTOSes including Linux, Android, QNX;Proprietary;
OpenVZ;Community project, supported by SWsoft, now Parallels, Inc.;x86, x86-64, IA-64, PowerPC 64, SPARC64;Same as host;Linux;Linux variants;GPL;
Oracle VM Server for x86;Oracle Corporation;x86, x86-64;x86, x86-64;No host OS;Microsoft Windows, Oracle Linux, Red Hat Enterprise Linux, Solaris;GPLv2, Oracle VM Server; Manager is proprietary;
OVPsim;OVP;x86;OR1K, MIPS32, ARC600/700, ARM; and public API which enables users to write custom processor models, RISC, CISC, DSP, VLIW all possible;Microsoft Windows, Linux;Depends on target machine, for example includes MIPS Malta that runs Linux or SMP-Linux; and includes public API which enables users to write custom peripheral and system models;Proprietary, Apache 2.0 for models;
Parallels Desktop for Mac;Parallels, Inc.;x86;x86, x86-64;macOS;DOS, Windows, Linux, macOS, FreeBSD, OS/2, eComStation, Solaris, Haiku;Proprietary;
Parallels Workstation (discontinued 2013);Parallels, Inc.;x86;x86;Windows, Linux;Windows, Linux, FreeBSD, OS/2, eComStation, DOS, Solaris, Haiku;Proprietary;
PearPC;Sebastian Biallas;x86, x86-64, PowerPC;PowerPC;Windows, Linux, OS X, FreeBSD, NetBSD;Mac OS X, Darwin, Linux;GPL;
PikeOS;SYSGO AG;PowerPC, x86, ARM, MIPS, SPARC, SuperH;Same as host;No host OS, Linux or Windows as dev. hosts;PikeOS native, Linux, POSIX, AUTOSAR, Android, RTEMS, OSEK, ARINC 653 APEX, ITRON;Proprietary;
Proxmox VE;Proxmox;x86-64;x86, x86-64;Debian Based;Windows, Linux, Linux variants, Solaris, FreeBSD, OSx86 (as FreeBSD), virtual appliances, Netware, OS/2, SCO, BeOS, Haiku, Darwin;AGPLv3;
Oracle VM Server for SPARC (LDoms);Oracle Corporation;UltraSPARC T1, UltraSPARC T2, UltraSPARC T2+, SPARC T3, SPARC T4;Compatible;Solaris 10, Solaris 11;Oracle support: Solaris; unsupported: Linux, FreeBSD;Proprietary;
PowerVM;IBM;POWER4, POWER5, POWER6, POWER7, POWER8;POWER4/5/6/7/8, x86 (PowerVM-Lx86);PowerVM Firmware;Linux PowerPC, x86; AIX, IBM i;Proprietary;
QEMU;Fabrice Bellard, other developers;x86, x86-64, IA-64, PowerPC, SPARC 32/64, ARM, S/390, MIPS;x86, x86-64, Alpha, ARM, CRIS, LM32, M68k, MicroBlaze, MIPS, OpenRisc32, PowerPC, S/390, SH4, SPARC 32/64, Unicore32, Xtensa;Windows, Linux, macOS, Solaris, FreeBSD, OpenBSD, BeOS;Changes regularly[6];GPL/LGPL;
QEMU w/ kqemu module;Fabrice Bellard;x86, x86-64;Same as host;Linux, FreeBSD, OpenBSD, Solaris, Windows;Changes regularly[6];GPL/LGPL;
QEMU w/ qvm86 module;Paul Brook;x86;x86;Linux, NetBSD, Windows;Changes regularly;GPL;
QuickTransit;Transitive Corp.;x86, x86-64, IA-64, POWER;MIPS, PowerPC, SPARC, x86;Linux, OS X, Solaris;Linux, OS X, Irix, Solaris;Proprietary;
RTS Hypervisor;Real-Time Systems GmbH;x86, x86-64;x86, x86-64;No host OS;Windows, Linux, Windows Embedded, QNX, RTOS-32, VxWorks, OS-9, T-Kernel;Proprietary;
ScaleMP vSMP Foundation;ScaleMP;x86, x86-64;Same as host;No host OS;Linux;Proprietary;
SIMH;Bob Supnik, The Computer History Simulation Project;Alpha, ARM, HPPA, x86, IA-64, x86-64, M68K, MIPS, MIPSel, POWER, s390, SPARC;Data General Nova, Eclipse; Digital Equipment Corporation PDP-1, PDP-4, PDP-7, PDP-8, PDP-9, PDP-10, PDP-11, PDP-15, VAX; GRI Corporation GRI-909; IBM 1401, 1620, 1130, 7090/7094, System/3; Interdata (Perkin-Elmer) 16b/32b systems; Hewlett-Packard 2114, 2115, 2116, 2100, 21MX; Honeywell H316/H516; MITS Altair 8800 with 8080 and Z80; Royal McBee LGP-30, LGP-21; Scientific Data Systems SDS 940;BSD, Linux, Solaris, VMS, Windows;Depends on target machine, includes NetBSD/VAX, OpenBSD/VAX, VAX/VMS, Unix v6, Unix v7, TOPS-10, TOPS-20, ITS;BSD-like, unique;
Simics;Wind River;x86, x86-64;8051, 68000, ARM (v4, v5, v6, v7), MIPS32, MIPS64, Cavium cnMIPS, Broadcom XLR MIPS, Freescale Power Architecture 32-bit and 64-bit (e300, e500, e600, e5500, e6500), IBM Power Architecture (POWER, PPC44x, PPC46x, 47x), SPARC v8 (LEON), SPARC v9 (UltraSparc), x86 (from 80286 to Sandy Bridge), x86-64 (from Pentium4 to Sandy Bridge), TI TMS320C64xx, Renesas H8, Renesas SH;Windows 32-bit and 64-bit, Linux 32-bit and 64-bit;Depends on target machine, typically runs unmodified software stacks from the corresponding real target, including VxWorks, VxWorks 653, OSE, QNX, Linux, Solaris, Windows, FreeBSD, RTEMS, TinyOS, Wind River Hypervisor, VMware ESX, and others;Proprietary;
Sun xVM Server;Sun Microsystems;x86-64, SPARC;Same as host;No host OS;Windows XP, 2003 Server (x86-64 only), Linux, Solaris;GPL version 3;
SVISTA 2004;Serenity Systems International;x86;x86;Windows, OS/2, Linux;Windows, Linux, OS/2, BSD;Proprietary;
