DVR;Tuner Sharing;Hard Disk Pooling;Shared Media Database;Home Automation;Media Extenders;Placeshifting/Spaceshifting;Two-way Remote Control;Second Screen;
Beyond TV;Yes;Yes;No;No;Yes;Yes;No;Unknown;
EyeTV;Unknown;Unknown;Yes;Unknown;Unknown;Yes;Unknown;Unknown;
GB-PVR;Yes;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;
Kodi (formerly XBMC);Yes;Yes;Yes;Yes4;Yes;Unknown;Yes3;Unknown;
MediaPortal;Yes;Yes;Yes;Yes;Yes;Yes;Yes4;Unknown;
MediaPhoenix/ShowShifter;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;
MythTV;Yes;Yes;Yes;Yes3;Yes;Yes;Yes;Unknown;
SageTV;Yes;Yes;Unknown;Unknown;Yes;Yes;Unknown;Unknown;
Arcsoft TotalMedia Theatre;Yes;Yes;Yes;No;Yes;Yes;No;Unknown;
Windows Media Center;Yes6;Yes7;Yes;Yes2;Yes;Yes5;Yes2;Unknown;
VBox@TV;Yes;Unknown;Yes;Unknown;Unknown;Yes;Yes;Unknown;
