Client;Toolkits or SDKs;File transfer;Editing sent messages;Proxy server;Graphical emoticons;Unicode (UTF-8);Built-in games;Themes, skins;Plugin system;Third party add-ons;Scripting;Message logging;Voice messaging;Voice mail;Webcam;Offline;Cloud backup;Remote desktop assistance;Whiteboard;RTL texting;
Adium;Cocoa;Yes;?;?;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;No;Yes;No;Yes;;?;?;
AIM;W32/Cocoa;Yes;?;Yes/No[a];Yes;Yes;No;Yes/No[a];Yes/No[a];Yes/No[a];No;Yes;Yes/No[a];No;Yes/No[a];Yes/No[a];;No;No;
aMSN;Tcl/Tk;Yes;?;http, socks5, msn gateway;Yes;Yes;Partial;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;;No;No;
Ayttm;GTK2;No;?;http, socks4/5;Yes;Yes;No;No;Yes;No;Yes;Yes;No;No;Partial;Partial;;No;No;
BitlBee;N/A;Yes;?;Yes;No;Yes;No;N/A;Yes;No;No;N/A;?;?;No;Yes;;?;?;
Bombus;Java ME;Yes;?;Yes;Yes;Yes;No;Yes;Yes;Yes;No;Yes;No;No;No;Yes;;No;?;
Centericq;ncurses;Partial;?;?;No;?;No;Yes;Yes;?;Yes;Yes;No;No;No;Yes;;?;?;
climm;line based;Yes;?;?;N/A;Yes;No;Yes;No;No;Yes;Yes;N/A;N/A;N/A;Yes;;No;?;
Coccinella;Tcl/Tk;Yes;?;http, socks4/5;Yes;Yes;Yes;Yes;Yes;?;No;Yes;Yes;No;No;Yes;;Yes;?;
Discord;Yes;Yes;Yes;No;Yes;Yes;No;Yes;Yes;Yes;No;Yes;Yes;TTS;Yes;Partial;No;No;No;Plug-in[96];
eBuddy;No;Partial;?;?;Yes;Yes;No;No;No;No;No;Yes;No;No;Yes;Yes;;No;?;
Empathy;GTK3;Yes;?;?;Yes;Yes;No;Yes;?;?;No;Yes;Yes;Yes;Yes;Yes;;Yes;?;
Facebook Messenger;?;Yes;No;?;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;;No;Yes;
Fire;Cocoa;Yes;?;?;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;?;?;?;?;;?;?;
Gadu-Gadu;Qt;Yes;?;?;Yes;Yes;No;?;No;Yes;No;Yes;Yes;?;?;Yes;;No;?;
Gajim;GTK2;Yes;?;http;Yes;Yes;No;Yes;Yes;No;No;Yes;Yes;?;Yes;Yes;;No;Yes;
Google Talk;W32;Yes;No;?;Partial;Yes;No;Yes;No;Yes;No;Yes;Yes;No;Third party plugin;Yes;;No;Yes;
IBM Lotus Sametime;Yes;Yes;?;?;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;available;Yes;Yes;;Yes;?;
ICQ;W32;Yes;?;?;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;;No;Yes;
IMVU;?;No;?;?;Yes;Yes;Partial;Yes;No;Partial[b];No;Yes;No;?;No;Yes;;?;?;
Jitsi;Java;Yes;?;Yes;Yes;Yes;No;?;Yes;?;?;Yes;Yes;Yes;Yes;Yes;;?;?;
