Software;HTML;LaTeX[25];RTF;Plain text;RSS;Other;
Aigaion;Yes;No;Yes;Yes;?;No;
Bebop;Yes;No;No;No;Yes;unAPI;
BibBase;Yes;No;No;No;Yes;No;
BibDesk;Yes;Yes;Yes;Yes;Yes;Atom, DOC, PDF, XML,;
Biblioscape;Yes;No;Yes;Yes;No;No;
BibSonomy;Yes;No;Yes;Yes;Yes;OpenOffice-CSV;
Bibus;Yes;No;No;No;No;No;
Bookends;Yes;No;Yes;Yes;No;clipboard;
Citavi;Yes;Yes[26];Yes;Yes;No;clipboard, DOC, ODT, PDF, HTML;
CiteULike;Yes;No;Yes;Yes;Yes;PDF;
colwiz;Yes;Yes;Yes;No;No;PDF;
EndNote;Yes;No;Yes;Yes;No;clipboard, XML;
F1000Workspace;Yes;No;Yes;Yes;No;PDF;
JabRef;Yes;Yes;Yes;Yes;No;clipboard;
KBibTeX;Yes;No;Yes;No;No;PDF, PS;
Mendeley;Yes;Yes[27];Yes;Yes;Yes;clipboard, embeddable HTML widget, RSS;
Paperpile;?;?;?;?;?;?;
Papers;Yes;?;Yes;Yes;?;PDF;
Pybliographer;Yes;?;No;Yes;No;No;
ReadCube;Yes;No;No;No;No;PDF;
refbase;Yes;Yes;Yes;Yes;Yes;Markdown, PDF, unAPI;
RefDB;Yes;?;Yes;Yes;No;DocBook, TEI;
Reference Manager;Yes;No;Yes;Yes;No;clipboard;
Referencer;?;?;?;?;?;?;
RefWorks;Yes;No;Yes;Yes;No;DOC, ODT;
SciRef;No;No;Yes;Yes;No;Doc, others;
Sente;Yes;No;Yes;Yes;No;clipboard;
Wikindx;Yes;No;Yes;No;Yes;Multiple via BibUtils plug-in;
WizFolio;Yes;No;Yes;Yes;No;clipboard, DOC;
Zotero;Yes;Possible via plugin[28];Yes;Possible via plugins[29];Yes;clipboard;
