Framework;Internet Explorer;Mozilla Firefox;Safari;Opera;Chrome;
AngularJS (1.3);8+ (9+);4+;5+;11+;30+;
Dojo;6+;3+[166];4[166];10.50+[166];3[166];
Ember.js;6+;3+;4+;10.6+;14+;
Enyo;8+[167];>4[167];>5[167];;>10[167];
Ext JS;6+;3.6+;4+;11+;10+[168];
Google Web Toolkit;8+;1+;5+;9+;1+;
jQuery;6+[169];2+[169];3+[169];9+[169];1+[169];
jQWidgets;7+[170];2+[170];3+[170];9+[170];1+[170];
MooTools;6+;2+;3+;9+;1+;
Prototype & script. aculo.us[9];6+;1.5+;2.0.4+;9.25+;1+ (starting with 1.6.1RC3);
qooxdoo;6+;2+;3+;9+;2+;
SmartClient and SmartGWT;6+;1+;3+;9+;1+;
SproutCore;6+;3+;4+;9+;1+;
Wakanda;9+;4+;5+;;11+;
ZK;6+;2.0+;3+;9+;2+;
Webix;8+[171];3+[171];4+[171];9+[171];1+[171];
