Company;Software;On-demand scan;On-access scan;Firewall;AntiSpam;Web protection;Privacy Advisor;AntiTheft;Call/SMS Filtering;Backup;Parental Control;Support;AV Comparatives;AV Test[10];License;Price;First release;Country of origin;Notes;
AhnLab;AhnLab Mobile Security;Yes;Yes;No;Yes;No;No;Yes;No;No;No;No;Yes;Yes;Proprietary;?;2010;South Korea;;
Avast;Avast Mobile Security;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Proprietary;Free;2011;Czech Republic;;
Avast;Avast Premier Mobile Security;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Proprietary;Non-free;2013;Czech Republic;;
AVG Technologies (Grisoft);AVG AntiVirus FREE for Android;Yes;Yes;No;No;No;No;Yes;Yes;No;No;No;No;Yes;Proprietary;Free;2010;Czech Republic;;
Avira Operations;Avira Free Android Security;Yes;Yes;No;Yes;No;No;Yes;Yes;No;Yes;Yes;No;Yes;Proprietary;Free;2004;Germany;;
Bitdefender;Bitdefender Mobile Security;Yes;Yes;No;No;Yes;Yes;Yes;No;No;No;No;Yes;Yes;Proprietary;Freemium;2011;Romania;;
Cheetah Mobile;Security Master;Yes;Yes;No;No;No;No;Yes;Yes;No;No;No;No;Yes;Proprietary;Free;2012;China;Earlier it is known as CM Security[11];
Comodo Group;Comodo Mobile Security;Yes;Yes;No;No;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Proprietary;Free;2012;United States;;
Dr. Web;Dr. Web Mobile Security Suite;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Proprietary;Trialware;2010;Russia;;
ESET;ESET Mobile Security;Yes;Yes;No;Yes;Partially, only Anti-Phishing;Yes;Yes;Yes;No;No;Yes;Yes;Yes;Proprietary;Freemium[12];2011;Slovakia;;
F-Secure;F-Secure Mobile Security;Yes;Yes;No;No;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Proprietary;Non-free;2010;Finland;;
G Data Software;G Data Internet Security;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Proprietary;Non-free;2012;Germany;;
Kaspersky Lab;Kaspersky Mobile Security;Yes;Yes;No;No;Yes;No;Yes;Yes;Yes;No;Yes;Yes;Yes;Proprietary;Non-free;2011;Russia;Banned by USG;
Kaspersky Lab;Kaspersky Tablet Security;Yes;Yes;No;No;Yes;Yes;Yes;Yes;No;No;Yes;Yes;Yes;Proprietary;Non-free;2011;Russia;Banned by USG;
McAfee;McAfee Mobile Security;Yes;Yes;No;No;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Proprietary;Non-free;2011;United States;;
Qihoo 360;360 Mobilesafe;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Proprietary;Free;2009;China;;
Quick Heal;Quick Heal Total Security;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Proprietary;Free;2012;India;;
Sophos;EndUser Protection;Yes;Yes;No;No;No;Yes;Yes;No;No;No;No;Yes;Yes;Proprietary;Non-free;2011;United Kingdom;;
Sourcefire;FireAMP Mobile;Yes;Yes;No;No;No;No;No;No;No;No;Yes;No;No;Proprietary;?;2012;United States;;
Symantec;Norton Mobile Security;Yes;Yes;No;No;Yes;No;Yes;Yes;Yes;No;Yes;Yes;Yes;Proprietary;Non-free;2011;United States;;
Trend Micro;Trend Micro Mobile Security;Yes;Yes;No;No;Yes;Yes;Yes;Yes;No;No;Yes;Yes;Yes;Proprietary;Non-free;2012;Japan;;
TrustPort;TrustPort Mobile Security;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;Proprietary;Freemium;2012;Czech Republic;;
Webroot;SecureAnywhere Mobile;Yes;Yes;No;No;Yes;No;Yes;Yes;No;No;Yes;Yes;Yes;Proprietary;Freemium;2012;United States;;
Company;Software;On-demand scan;On-access scan;Firewall;AntiSpam;Web protection;Privacy Advisor;AntiTheft;Call/SMS Filtering;Backup;Parental Control;Support;AV Comparatives;AV-Test;License;Price;First release;Country of origin;Notes;
