Implementation;Secure Renegotiation [173];Server Name Indication [174];ALPN [175];Certificate Status Request [174];OpenPGP [176];Supplemental Data [177];Session Ticket [178];Keying Material Exporter [179];Maximum Fragment Length [174];Truncated HMAC [174];Encrypt-then-MAC [180];TLS Fallback SCSV [181];Extended Master Secret [182];ClientHello Padding [183];Raw Public Keys [184];
BearSSL[185];Yes;Yes;Yes;No;No;No;No;Yes;Yes;No;No;Yes;No;Yes;No;
Botan;Yes;Yes;Yes[186];No;No;No;Yes;Yes;Yes;No;Yes;Yes[187];Yes[188];No;Unknown;
CryptoComply;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;No;No;No;Yes;Yes;Yes;Unknown;
cryptlib;Yes;Yes;No;No;No;Yes;No;No;No[189];No;Yes;Yes;Yes;No;Unknown;
GnuTLS;Yes;Yes;Yes[190];Yes;Deprecated[191];Yes;Yes;Yes;Yes;No;Yes[39];Yes[192];Yes[39];Yes[193];No;
JSSE;Yes;Yes[67];Yes[67];Yes;No;No;No;No;Yes;No;No;No;Yes;No;No;
LibreSSL;Yes;Yes;Yes[194];Yes;No;No?;Yes;Yes?;No;No;No;Server side only[195];No;Yes;Unknown;
MatrixSSL;Yes;Yes;Yes[196];Yes[130];No;No;Yes;No;Yes;Yes;No;Yes[130];Yes[130];No;Unknown;
mbed TLS;Yes;Yes;Yes[197];No;No;No;Yes;No;Yes;Disabled by default[46];Yes[198];Yes[198];Yes[198];No;No;
NSS;Yes;Yes;Yes[199];Yes;No[200];No;Yes;Yes;No;No;No[201];Yes[202];Yes[203];Yes[199];Unknown;
OpenSSL;Yes;Yes;Yes[54];Yes;No;No?;Yes;Yes;Yes;No;Yes;Yes[204];Yes[205];Yes[206];Unknown;
RomSTL;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;
RSA BSAFE Micro-Edition Suite;Yes;Yes;No;Yes;No;No;Yes;No;Yes;Yes;No;No;No;No;No;
RSA BSAFE SSL-J;Yes;Yes;No;No;No;No;No;No;Yes;Yes;No;No;No;No;No;
rustls;Yes;Yes;Yes;Yes;No;No;Yes;No;No;No;No;No;Yes;No;No;
SChannel XP/2003;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;Unknown;
SChannel Vista/2008;Yes;Yes;No;No;No;Yes;No;No;No;No;No;No;Yes[207];No;Unknown;
SChannel 7/2008R2;Yes;Yes;No;Yes;No;Yes;No;No;No;No;No;No;Yes[207];No;Unknown;
SChannel 8/2012;Yes;Yes;No;Yes;No;Yes;Client side only[208];No;No;No;No;No;Yes[207];No;Unknown;
SChannel 8.1/2012R2, 10;Yes;Yes;Yes;Yes;No;Yes;Yes[208];No;No;No;No;No;Yes[207];No;Unknown;
Secure Transport;Yes;Yes;Unknown;No;No;Yes;No;No;No;No;No;No;No;No;Unknown;
wolfSSL;Yes;Yes;Yes[149];Yes;No;No;Yes;No;Yes;Yes;No;No;Yes;No;Unknown;
Erlang/OTP SSL application;Yes;Yes;Yes;No;No;No;No;No;No;No;No;Yes;No;No;Unknown;
Implementation;Secure Renegotiation;Server Name Indication;ALPN;Certificate Status Request;OpenPGP;Supplemental Data;Session Ticket;Keying Material Exporter;Maximum Fragment Length;Truncated HMAC;Encrypt-then-MAC;TLS Fallback SCSV;Extended Master Secret;ClientHello Padding;
