OLAP Server;Issue Tracking System;Forum/Blog;Roadmap;Source code;
Apache Kylin;Jira;[40];;Open;
Druid;Druid – Github Issues;[41];;Open;
Essbase;myOracle Support;[6];[7];Closed;
IBM Cognos TM1;IBM Service Request;[8];;Closed;
icCube;YouTrack;[9];;Closed;
Infor BI OLAP Server;Infor Xtreme;;Available upon request;Closed;
Jedox OLAP Server;Mantis;[10];Available upon request;Open;
Kyligence;Zendesk;[42];;Closed;
Kyvos BI on Big Data;Zendesk;;Available upon request;Open;
Microsoft Analysis Services;Connect;[11];-;Closed;
MicroStrategy Intelligence Server;MicroStrategy Resource Center;[12];-;Closed;
Mondrian OLAP server;Jira;[13];[14];Open;
Oracle Database OLAP Option;myOracle Support;[15];;Closed;
SAP NetWeaver BW;OSS;[16];[17];Closed;
SAS OLAP Server;Support;[18];;Closed;
