Client;First public Date;First public Version;First stable Date;First stable Version;Latest stable release;
Alpine;2006-11;0.8;2007 December;1.00;2017-03-17, 2.21.9 (September 19, 2017; 14 months ago (2017-09-19)) [±];
Becky! Internet Mail;1996;1;?;?;2017-08-29, 2.74 (August 29, 2017; 15 months ago (2017-08-29) [1]) [±];
Citadel;1987;?;1988;1.00;2017-01-15, 906 (January 15, 2017; 22 months ago (2017-01-15)) [±];
Claws Mail;2001-05;0.4.67;2005-01;1.0.0;2017-08-29, 3.17.1 (August 26, 2018; 3 months ago (2018-08-26)[2]) [±];
Cone;2003-05;0.50;2003-05;0.50;2016-08-03, 0.96.1 (August 19, 2017; 15 months ago (2017-08-19)) [±];
Courier;2004-06;3.5;discontinued;discontinued;2004-06, 3.5 (June 2004) [±];
Elm;1986;?;1987-03;2;2005-08-18, 2.5.8 (August 18, 2005; 13 years ago (2005-08-18)) [±];
eM Client;2007-11;1.0;2007-11;1.0;2017-07-10, 7.1.32088.0 (January 26, 2018; 10 months ago (2018-01-26)) [±];
EmailTray;2010-10;2.0;2011-03;3.11;2012-07-02, 4.0 (July 2, 2012; 6 years ago (2012-07-02)) [±];
Eudora;1988[3];?;1988[3];?;2006-10-11, 7.1 (Windows), 6.2.4 (Mac OS) (October 11, 2006; 12 years ago (2006-10-11)) [±];
Eureka Email;2002-11;1.0;2002-11;1.0;2005-03-01, 2.2 (March 1, 2005; 13 years ago (2005-03-01)) [±];
Evolution;2000-05-11;0.0;2001-12-03;1.0;2017-09-13, 3.30.2[4] (31 October 2018; 47 days ago (2018-10-31)) [±];
Forté Agent;?;?;?;?;2014-10-20, 8 (October 20, 2014; 4 years ago (2014-10-20)) [±];
Geary;2012;0.1;2012;0.1;2017-10-02, 0.12.3 (July 14, 2018; 5 months ago (2018-07-14)[5]) [±];
Gnus;1987[6];?;1988-02-01[6];2.0;2015-04-06,;
GroupWise;?;?;1986;1.0;2014-04-02, 18.1 (2018; 0 years ago (2018)) [±];
Hiri;2014-02;0.4;2016-06;1.0;2017-06-10, 1.0.11 (June 10, 2017; 17 months ago (2017-06-10)) [±];
i.Scribe / InScribe;1999;1.00;?;?;2014-08-04, 2.1.52 (July 17, 2017; 16 months ago (2017-07-17)) [±];
IBM Lotus Notes;1989;1.0;1989;1.0;2013-03-14, 9.0.1 (October 29, 2013; 5 years ago (2013-10-29)) [±];
IMP;?;?;1998;1.0;2016-09-06, 6.2.16 (September 6, 2016; 2 years ago (2016-09-06)) [±];
KMail;1998-10;Alpha;1999-02;1.0.17;2014-11-11, 4.14.3 (November 11, 2014; 4 years ago (2014-11-11)) [±][7];
Mailbird;2013-04-01;Public Beta;?;?;2016-12-07, 2.3.36 (December 7, 2016; 2 years ago (2016-12-07)) [±];
Mailpile;2011-11;Alpha;tbd 2017;1.00 RC;2017-08-13 1.0.0rc3 (May 17, 2018; 6 months ago (2018-05-17)[8]) [±];
Microsoft Entourage;?;?;?;?;2013-03-12, 2008 (12.3.6) (March 12, 2013; 5 years ago (2013-03-12)) [±];
Microsoft Office Outlook;1997;97;1997;97;2015-09-22, 16.0.4266.1003 (September 22, 2015; 3 years ago (2015-09-22)) [±];
Mozilla Thunderbird;2003-07-28;0.1;2004-12-07;1.0;2017-10-06, 60.3.3 (December 5, 2018; 12 days ago (2018-12-05)[9]) [±];
Mulberry;1996-09-20;1.0;1996-09-20;1.0;2007-02-21, 4.0.8 (February 21, 2007; 11 years ago (2007-02-21)) [±];
Mutt;1995;?;?;?;2017-09-02, 1.11.1[10] (December 1, 2018; 16 days ago (2018-12-01)) [±];
Netscape Messenger;?;?;?;?;2007-08-17, 7.2 (August 17, 2007; 11 years ago (2007-08-17)) [±];
Netscape Messenger 9;2007-11-15;9.0a1;discontinued;discontinued;2007-11-15;
nmh / MH;1979;?;?;?;2012-06-11, 1.5 (June 11, 2012; 6 years ago (2012-06-11)) [±];
Opera Mail;1996-09;2.1b1;1996-12;2.1;2016-02-16, 1.0.1044[11] (February 16, 2016; 2 years ago (2016-02-16)) [±];
Outlook Express;1996;3.0;?;?;2004-08-25, 6.0 SP2 (August 25, 2004; 14 years ago (2004-08-25)) [±];
Pegasus Mail;1990;?;1990;?;2018-06-07, 4.73 (7 June 2018; 6 months ago (2018-06-07)[12]) [±];
Pine;1992-01-15;2.00;1992-01-15;2.00;2005-09-28, 4.64 (September 28, 2005; 13 years ago (2005-09-28)) [±];
Pocomail;1999;?;?;?;2009-04-06, 4.8 build 4400 discontinued (April 6, 2009; 9 years ago (2009-04-06)) [±];
RoundCube;2006;0.1-rc1;2014-04-07;1.0.0;2017-04-28, 1.2.5;
SeaMonkey Mail & Newsgroups;2005-09-15;1.0a;2006-01-30;1.0;2017-07-31, 2.49.4 (July 27, 2018; 4 months ago (2018-07-27)[13]) [±];
SquirrelMail;1999-12;0.1;2001-01;1.0;2011-07-12, 1.4.22 (12 July 2011; 7 years ago (2011-07-12)) [±];
Sylpheed;2000-01;0.1.0;2004-12;1.0.0;2017-06-29, 3.7.0 (January 31, 2018; 10 months ago (2018-01-31)) [±];
The Bat!;1997-03;1.0 Beta;1998-03;1.00 Build 1310;2018-03-23, 8.6 (August 20, 2018; 3 months ago (2018-08-20)) [±];
Trojitá;2009-08;0.1;2012-12;0.3.90;2016-06-15, 0.7 (June 15, 2016; 2 years ago (2016-06-15)[14]) [±];
Turnpike;1996 (circa);1.0;1996 (circa);1.0;2006-05-23, 6.06 (May 23, 2006; 12 years ago (2006-05-23)) [±];
Windows Live Mail;2007-11-06;12;2007-11-06;12;2014-11-04, 2012 (v16.4.3528.0331) (November 4, 2014; 4 years ago (2014-11-04)) [±];
Windows Mail;?;?;?;?;2007-01-01,;
