Protocol;Creator;First public release date;License;Identity (not inc. alias);Asynchronous message relaying;Transport Layer Security;End-to-end encryption;Unlimited number of contacts;Bulletins to all contacts;One-to-many routing 4;Spam protection;Group, channel or conference support;Audio/VoIP support;Webcam/Video;Batch file sharing;Media synchronisation;Serverless 6 (decentralized);Protocol;
Bitmessage;Bitmessage;Jonathan Warren;2012 Nov;Open standard;Alphanumeric address;Yes;Yes;Yes;Yes;No;Yes;Yes (through proof-of-work);Yes;No;No;Yes;No;Yes;
Gadu-Gadu;Gadu-Gadu;GG Network;2000 Jul 17;Proprietary;Unique number e.g. 12345678;Yes;Yes;No;Yes;No;Centralistic;Yes 5 (simple);Yes;Yes;Yes;Yes;No;No;
IRC;IRC;Jarkko Oikarinen;1988 Aug;Open standard;Nickname!Username@hostname (or "hostmask") e.g. user!~usr@a.b.com1;Yes, but via a memo system that differs from the main system;Yes, depending on individual server support;No;No3;No;Simplistic multicast;Medium;Yes (everyone, multiple simultaneous, any size);No;No;Yes;No;No;
Echo Protocol;Echo Protocol;spot-on.sf.net / goldbug.sf.net;2013;Open standard;Key;Yes;Yes, optional;Yes;Yes;Yes;Yes;Yes;Yes;No;No;Yes;Yes;Yes;
Matrix;Matrix;Matrix.org;2014 Sep;Open standard;Matrix user ID (MXID);Yes;Yes, mandatory;Optional;Yes;No;Yes;Yes (using pluggable server-side filtering modules);Yes;Yes;Yes;Yes;Yes;No;
MSNP (Windows Live Messenger, etc.);MSNP (Windows Live Messenger, etc.);Microsoft;1999 Jul;Proprietary;Email address (Microsoft account);Yes;No;No;Only for certified robots;No;Centralistic;Yes;Yes;Yes;Yes;Yes;Yes;No;
MTProto (Telegram);Telegram Messenger LLP;2013 Aug;Open standard;Phone number (e.g. +1234567890), nickname (e.g. @example);Yes;Yes;Optional;Yes;No;Yes;Yes, contact blocking;Yes;Yes[1];No;Yes;Yes;No;MTProto (Telegram);
Mumble;Mumble;Thorvald Natvig;1999 Jul;Open standard;Username;Yes;Yes;No;Only for certified robots;No;Centralistic;Yes;Yes;Yes;No;Yes;No;No;
OSCAR (AIM, ICQ);OSCAR (AIM, ICQ);AOL;1997;Proprietary (Discontinued 15-Dec-2017)[2];Username, Email Address or UIN e.g. 12345678;Yes;Yes (Aim Pro, Aim Lite);No;No;No;Centralistic;client-based;Yes (Multiple, simultaneous);Yes;Yes;Yes;No;No;
RVP (Windows Messenger, etc.);RVP (Windows Messenger, etc.);Microsoft;1997 Mar;Proprietary (Discontinued);Windows Active Directory Login;No;No;No;?;No;Centralistic;None;No;?;?;No;No;No;
Ricochet;Ricochet;Invisible.im;2014 Mar;Open standard;Tor onion address;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;No;No;Yes;No;Yes;
Ring (based on DHT and SIP);Ring (based on DHT and SIP);Savoir-faire Linux Inc.;2015 May;Open standard;40-digit address;Yes;Yes;Yes;Yes;No;Yes;Medium;Yes;Yes;Yes;Yes;No;Yes;
Signal Protocol;Signal Protocol;Open Whisper Systems;2014 Feb[3];Open standard;Phone number (e.g. +1234567890);Yes;Yes;Yes;Yes;?;Yes;Yes, contact blocking;Yes;Yes;Yes;Yes;Yes;No;
SIP/SIMPLE;SIP/SIMPLE;IETF;2002 Dec;Open standard;user@hostname;Yes;Yes;Yes;Yes;Yes;No;Medium;?;Yes;Yes;Yes;No;Depends on implemenation;
Skype;Skype;Skype;2003 Aug;Proprietary;Username;Yes;Proprietary;No;No;No;?;?;Yes;Yes;Yes;Yes;No;No;
Steam Friends;Steam Friends;Valve Corporation;2003 Sep 12;Proprietary;SteamID/Username or Unique Number;Yes;Proprietary;?;No, although rising;Yes;?;No;Yes;Yes;No;No;No;No;
TOC2;TOC2;AOL;2005 Sep;Proprietary (Discontinued);Username or UIN e.g. 12345678;Yes;No;No;No;No;Centralistic;No;paying members only;?;?;Partial;?;No;
TOX (based on DHT);TOX (based on DHT);irungentoo (github user);2013 June;Open standard;Public & Private key;Yes;Yes;Yes;Yes;Yes;?;Yes;Yes;Yes;Yes;Yes;?;Yes;
Tuenti;Tuenti;Tuenti;2006;Proprietary;Username;Yes;Yes;No;Yes;?;Yes;Yes;Yes;Yes;Yes;Yes;?;No;
Windows Messenger service;Windows Messenger service;Microsoft;1990;Proprietary (Discontinued);NetBIOS;Yes;No;No;Yes;Yes;Yes;No;No;No;No;No;No;No;
XMPP/Jingle (Google Talk);XMPP/Jingle (Google Talk);Jeremie Miller, standardized via IETF;1999 Jan;Open standard;Jabber ID (JID) e.g. usr@a.b.c/home2;Yes;Yes;Optional, multiple implementations;Yes;Yes[4];Unicast lists[5];Several standardized types[6];Optional;Yes;Yes;Yes;Yes[7];Optional[8];
YMSG (Yahoo! Messenger);YMSG (Yahoo! Messenger);Yahoo!;1998, March 9;Proprietary;Username;Yes;No[needs update?];No;No;Yes;Centralistic;Yes;Yes;Yes;Yes;Yes;No;No;
Zephyr Notification Service;Zephyr Notification Service;MIT;1987;Open standard;Kerberos principal e.g. user@ATHENA.MIT.EDU;Yes;No;No;Yes;Yes;Yes;No;Yes;No;No;No;No;No;
SMS/MMS/EMS/Call;SMS;Friedhelm Hillebrand;1985;Proprietary;Phone number (e.g. +1234567890);Yes;No;No;About 250 contacts in SIM, unlimited from phone.;No;serial messages;Medium;No;Yes;No;No;No;?;
Protocol;Creator;First public release date;License;Identity (not inc. alias);Asynchronous message relaying;Transport Layer Security;End-to-end encryption;Unlimited number of contacts;Bulletins to all contacts;One-to-many routing 4;Spam protection;Group, channel or conference support;Audio/VoIP support;Webcam/Video;Batch file sharing;Media synchronisation;Serverless 6 (decentralized);Protocol;
