Audio player;ID3v1;ID3v2;APEv2 tag;Vorbis comment;Cue sheet;CD-Text;WAVE chunks;
AIMP;Yes;Yes;Yes;Yes;Yes;Yes;Yes;
Amarok;Yes[metadatanotes 1];Yes[metadatanotes 1][metadatanotes 2];Yes[metadatanotes 1];Yes;Yes[metadatanotes 3];?;Yes;
Audacious;Yes;Yes;Yes;Yes;Yes;Yes;?;
Audion;Yes;Yes;No;No;?;?;?;
cmus;Yes;Yes;Yes;Yes;Yes;No;?;
Cog;Yes;Yes;Yes;Yes;Yes;?;?;
foobar2000;Yes;Yes;Yes;Yes;Yes;Yes[metadatanotes 4];Yes;
iTunes;Yes;Yes;Yes;?;?;?;?;
JRiver Media Center;Yes;Yes;Yes;Yes;Yes;Yes;Yes;
JuK;Yes[metadatanotes 1];Yes[metadatanotes 1];Yes[metadatanotes 1];Yes[metadatanotes 1];?;?;?;
MediaMonkey;Yes;Yes;Yes;Yes;?;Yes;?;
MPXPLAY;Yes;Yes;Yes;Yes;?;?;?;
MusicBee;Yes;Yes;Yes;Yes;Yes;Yes;Yes;
Musicmatch Jukebox;Yes;Yes;No;?;?;Yes;?;
musikCube;Yes;Yes;Yes;?;?;?;?;
Quod Libet;Yes;Yes;Yes;Yes;No;No;Yes;
Rhapsody;Yes;Yes;No;No;?;?;?;
Rhythmbox;Yes;Yes;Yes;Yes;?;?;?;
Sonique;Yes;No;?;?;?;?;?;
XMMS;Yes;Yes;No;Yes;?;?;?;
Zinf;Yes;Yes;No;Yes;?;?;?;
Audio player;ID3v1;ID3v2;APEv2 tag;Vorbis comment;Cue sheet;CD-Text;WAVE chunks;
