Model;Launch;Code name;Fab (nm);Core clock (MHz);Memory clock (MHz);Core config1;Fillrate;Memory;
MOperations/s;MPixels/s;MTexels/s;MVertices/s;Size (MB);Bandwidth (GB/s);Bus type;Bus width (bit);
Radeon X700;March 2005;RV410 (alto);110;400;350;8:6:8:8;3200;3200;3200;600;128, 256;11.2;DDR;128;
Radeon X700 Pro;March 1, 2005;RV410 (alto);110;425;432;8:6:8:8;3400;3400;3400;637.5;128, 256;13.824;GDDR3;128;
Radeon X800 SE;Oct. 2004;R420 (loki);130;425;400;8:6:8:8;3400;6800;3400;637,5;256;25.6;GDDR3;256;
Radeon X800 GT;Dec. 6, 2005;R420 (loki);130;475;490;8:6:8:16;3800;7600;3800;712.5;256;31.36;GDDR3;256;
Radeon X800;Dec. 2004;R430;110;400;350;12:6:12:16;4800;6400;4800;600;256;22.4;GDDR3;256;
Radeon X800 GTO;Dec. 6, 2005;R420 (loki);130;400;490;12:6:12:16;4800;6400;4800;600;256;31.36;GDDR3;256;
Radeon X800 Pro;May 5, 2004;R420 (loki);130;475;450;12:6:12:16;5700;7600;5700;712.5;256;28.8;GDDR3;256;
Radeon X800 XL;Feb. 2, 2005;R430;110;400;490;16:6:16:16;6400;6400;6400;600;256;31.36;GDDR3;256;
Radeon X800 XT;May 4, 2004;R420 (loki);130;500;500;16:6:16:16;8000;8000;8000;750;256;32;GDDR3;256;
Radeon X800 XT PE;May 4, 2004;R420 (loki);130;520;560;16:6:16:16;8320;8320;8320;780;256;35.84;GDDR3;256;
Radeon X850 Pro;Feb. 28, 2005;R481;130;507;520;12:6:12:16;6084;8112;6084;760.5;256;33.28;GDDR3;256;
Radeon X850 XT;Feb. 28, 2005;R481;130;520;540;16:6:16:16;8320;8320;8320;780;256;34.56;GDDR3;256;
Radeon X850 XT PE;Feb. 28, 2005;R481;130;540;590;16:6:16:16;8640;8640;8640;810;256;37.76;GDDR3;256;
