Model;Launch;Code name;Fab (nm);Transistors (million);Die size (mm2);Bus interface;SMX count;Core config1;Clock rate;Fillrate;Memory configuration;Supported API version;Processing power (GFLOPS)9;TDP (Watts);Release Price (USD);
Base (MHz);Average Boost (MHz);Max Boost2 (MHz);Memory (MHz);Pixel (GP/s);Texture (GT/s);Size (MB);Bandwidth (GB/s);DRAM type;Bus width (bit);Vulkan;Direct3D3;OpenGL;OpenCL;Single precision;Double precision;
GeForce GT 705[35]4;March 27, 2014;GF119-300-A1;40;292;79;PCIe 2.0 ×16;1;48:8:4;810;N/A;N/A;898 (1796);3.24;6.5;512 1024;14.4;DDR3;64;n/a[20];12;4.6;1.1;155.5;19.4;29;OEM;
GeForce GT 710[36];March 27, 2014;GK208-301-A1;28;1020;79;PCIe 2.0 ×8;1;192:16:8;823;N/A;N/A;900 (1800);6.6;13.2;512;14.4;DDR3;64;1.0[20];12;4.6;1.2;316.0;13.2;;OEM;
January 26, 2016;GK208-203-B1;PCIe 2.0 ×8, PCIe ×1;1;192:16:8;954;N/A;N/A;900 (1800) 1253 (5010);7.6;15.3;1024 2048;14.4 40.0;DDR3 GDDR5;12;4.6;1.2;366;15.3;19;$35–45;
GeForce GT 720[37];March 27, 2014;GK208-201-B1;PCIe 2.0 ×8;1;192:16:8;797;N/A;N/A;900 (1800) 1253 (5010);6.4;12.8;1024 2048;14.4 40.0;DDR3 GDDR5;12;4.6;1.2;306;12.8;19;$49–59;
GeForce GT 730 [38]5,6;June 18, 2014;GK208-301-A1;2;384:16:8;902;N/A;N/A;900 (1800);7.22;14.44;1024[39] 2048 4096;14.4;DDR3;12;4.6;1.2;692.7;28.9;23;$69–79;
June 18, 2014;GK208-400-A1;2;384:16:8;902;N/A;N/A;1250 (5000);7.22;14.44;1024 2048[40];40.0;GDDR5;12;4.6;1.2;692.7;28.9;25;$69–79;
June 18, 2014;GF108;40;585;116;PCIe 2.0 ×16;2;96:16:4;700;N/A;N/A;900 (1800);2.8;11.0;1024 2048 4096;28.8;DDR3;128;n/a[20];12;4.6;1.1;268.8;33.6;49;$69–79;
GeForce GT 7407;May 29, 2014;GK107-425-A2;TSMC 28HP;1270;118;PCIe 3.0 ×16;2;384:32:16;993;N/A;N/A;891 (1782);15.9;31.8;1024 2048 4096;28.5;DDR3;128;1.0[20];12;4.6;1.2;762.6;31.8;64;$89–99;
May 29, 2014;GK107-425-A2;2;384:32:16;993;N/A;N/A;1252 (5008);15.9;31.8;1024 2048 4096;80.1;GDDR5;12;4.6;1.2;762.6;31.8;64;$89–99;
GeForce GTX 745;February 18, 2014;GM107-220-A2;1870;148;3;384:24:16;1033;Unknown;Unknown;900 (1800);16.5;24.8;1024 4096;28.8;DDR3;12;4.6;1.2;793.3;24.8;55;OEM;
GeForce GTX 750;February 18, 2014;GM107-300-A2;4;512:32:16;1020;1085;1163;1250 (5000);16.3;32.6;1024 2048;80;GDDR5;12;4.6;1.2;1044.5;32.6;55;$119;
GeForce GTX 750 Ti;February 18, 2014;GM107-400-A2;5;640:40:16;1020;1085;1200;1350 (5400);16.3;40.8;1024 2048 4096;88;GDDR5;12;4.6;1.2;1305.6;40.8;60;$149;
GeForce GTX 760 192-bit;October 17, 2013;GK104-200-KD-A2;3540;294;6;1152:96:24;824;888;889;1450 (5800);19.8;79.1;1536 3072;134.4;GDDR5;192;12;4.6;1.2;1896.2;79.0;130;OEM;
