;Inverse search[Note 4];DDE support[Note 5];Organises Projects;Menu for inserting symbols;Document comparison;Spell-checking;Multiple undo-redo;
AUCTeX;Yes;No;Partial (master file);Yes;Yes;Yes[Note 6];Yes;
  Authorea ;Yes;N/A;Yes;No;No;Yes;Yes;
Auto-Latex Equations for Google Docs;Yes;N/A;Yes;No;No;Yes;Yes;
CoCalc;Yes;N/A;No;No;No;Yes;Yes;
Gummi;Yes;N/A;Yes;No;No;Yes;Yes;
Kile;Yes;No;Yes;Yes;No;Yes;Yes;
GNOME-LaTeX;Yes;N/A;Yes;Yes;No;Yes;Yes;
LEd;Yes;?;Yes;Yes;No;Yes;Yes;
LyX;Yes;?;No;Yes;Yes;Yes;Yes;
MeWa;No;No;No;Yes;No;Yes;Yes;
Notepad++;Yes, with SumatraPDF;Yes, with a DDE client;Yes;Partial[Note 7];Yes;Yes;Yes;
Scientific WorkPlace;N/A;?;?;Yes;No;Yes;No (one level);
ShareLaTeX;Yes;No;Yes;No;Yes;Yes;Yes;
TeXmacs;Yes;Yes;No;Yes;No;Yes;Yes;
Texmaker;Yes;No;Partial (master file);Yes;No;Yes;Yes;
TeXnicCenter;Yes;Yes;Yes;Yes;No;Yes;Yes;
TeXShop;Yes;No;No;Yes[Note 8];No;Yes;Yes;
TeXstudio;Yes;Yes;Partial (master file);Yes;Yes;Yes;Yes;
TeXworks;Yes;No;No;No;No;Yes[Note 9];Yes;
Verbosus;No;No;Yes;Yes;No;No;Yes;
WinEdt;Yes;Yes;Yes;Yes;Yes;Yes;Yes;
WinShell;Yes;No;Yes;Yes;No;Yes;Yes;
Inverse search;DDE Support;Organises Projects;Menu for inserting symbols;Document comparison;Spell-checking;Multiple undo-redo;;
