Software;CRC32;MD5;SHA-1;SHA-224;SHA-256;SHA-384;SHA-512;SHA-3;Panama;RIPEMD-128;RIPEMD-160;RIPEMD-256;RIPEMD-320;Tiger;Whirlpool;Other;
AccuHash;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;
BeaverSFV;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;
CDCheck;Yes;Yes;Yes(?);Yes(?);Yes(?);Yes(?);?;No;?;?;?;?;?;?;?;MD2;
cfv;Yes;Yes;Yes;No;No;No;No;No;?;?;?;?;?;?;?;Torrent file;
Checksum Compare;No;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;No;?;
Checksums;No;Yes;Yes;No;Yes;Yes;Yes;No;No;No;No;No;No;No;No;-;
CHK;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;Yes;No;No;Yes;Yes;Adler-32, BLAKE2s, BLAKE2b, CRC64, MD4, SHA-1 (Base32), SHA-256 (Base64), SHA-512/224, SHA-512/256;
cksum;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;?;
CyoHash;Yes;Yes;Yes;No;Yes;Yes;Yes;No;No;No;No;No;No;No;No;-;
Data Digester;No;Yes;Yes;Yes;Yes;Yes;Yes;No;No;Yes;Yes;Yes;Yes;Yes;Yes;MD2, MD4, PGP;
DeepDigest;No;Yes;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;No;
DySFV;Yes;Yes;Yes;Yes;Yes;Yes;Yes;?;No;No;Yes;No;No;No;No;?;
eXpress CheckSum Calculator;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;
ExactFile;Yes;Yes;Yes;No;Yes;Yes;Yes;No;No;Yes;Yes;No;No;Yes;No;Adler-32, GOST, MD2;
FastSum;No;Yes;No;No;No;No;No;?;No;No;No;No;No;No;No;?;
FCIV;No;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;No;?;
Febooti Hash & CRC;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;Yes;Yes;Yes;Yes;Yes;Yes;MD2, MD4;
FileVerifier++;Yes;Yes;Yes;Yes;Yes;Yes;Yes;?;No;Yes;Yes;Yes;Yes;No;Yes;?;
FlashSFV;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;
FSUM;Yes;Yes;Yes;No;Yes;Yes;Yes;No;Yes;No;Yes;No;No;Yes;No;Adler-32;
FSUM Frontend;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Total 96 algorithms;
PowerShell's Get-FileHash;No;Yes;Yes;No;Yes;Yes;Yes;No;No;No;Yes;No;No;No;No;MACTripleDES;
HashCalc;Yes;Yes;Yes;No;Yes;Yes;Yes;No;Yes;No;Yes;No;No;Yes;No;MD2, MD4, Adler-32;
HashCheck Shell Extension;Yes;Yes;Yes;No;Yes;No;Yes;No;No;No;No;No;No;No;No;MD4;
HashForm;?;Yes;Yes;No;Yes;No;Yes;?;No;No;No;No;No;No;No;?;
HashShell;?;Yes;Yes;?;Yes;?;Yes;?;No;No;No;No;No;No;No;?;
ilSFV;Yes;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;No;?;
Jacksum;Yes;Yes;Yes;Yes;Yes;Yes;Yes;?;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Total 58 algorithms;
jdigest;No;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;No;?;
jHashCalc;No;Yes;Yes;No;Yes;Yes;Yes;?;No;Yes;Yes;No;No;Yes;Yes;MD4;
MD5 File Hasher;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;?;
MD5 & SHA Checksum Utility;Yes;Yes;Yes;No;Yes;Yes;Yes;No;No;No;No;No;No;No;No;?;
md5deep;No;Yes;Yes;No;Yes;No;No;No;No;No;No;No;No;Yes;Yes;?;
md5sum;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;?;
MD5summer;No;Yes;No;No;No;No;No;No;No;?;No;?;?;No;No;?;
MD5 Win Verifier;No;Yes;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;?;
MultiHasher;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;Yes;No;No;No;No;No;
QuickSFV;Yes;Yes;?;?;?;?;?;?;?;?;?;?;?;?;?;?;
PeaZip;Yes;Yes;Yes;No;Yes;No;Yes;Yes;No;No;Yes;No;No;No;Yes;Adler-32, CRC16, CRC24, CRC64, eDonkey, MD4;
RapidCRC;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;?;
RekSFV;Yes;Yes;Yes;No;Yes;No;Yes;No;No;Yes;Yes;No;No;Yes;No;MD4 and HAVAL;
RHash;Yes;Yes;Yes;No;Yes;No;Yes;Yes;No;No;Yes;No;No;Yes;Yes;MD4 and more;
SafeFileManager;?;Yes;?;?;?;?;?;?;?;?;?;?;?;?;?;?;
Sigcheck;No;Yes;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;IMP;
SFV Checker;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;
sha1sum;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;?;
sha3sum;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;Keccak, SHAKE, RawSHAKE;
SuperSFV;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;
TeraCopy;Yes;Yes;Yes;No;Yes;No;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;XxHash;
Tom's Hash Explorer;No;Yes;Yes;No;Yes;Yes;Yes;No;No;No;Yes;No;No;No;No;Entropy_(information_theory), Shannon's Entropy;
