;Coupons;Gift certificates;Membership discounts;Membership-only categories;Membership-only products;Reward points;Special offers;
Apache OFBiz;Yes;Yes;Yes;No;Yes;No;Yes;
Batavi;No;No;Yes;No;No;No;Yes;
Bigcommerce;Yes;Yes;Yes;Yes;Yes;3rd party module;Yes;
Drupal Commerce;Yes;Yes;Yes;Yes;Yes;No;Yes;
KonaKart;Yes;Yes;Yes;Yes;Yes;Yes;Yes;
LemonStand;Yes;3rd party module;Yes;Yes;Yes;No;Yes;
Magento;Yes;Yes;Yes;Yes;Yes;Yes (Enterprise Edition);Yes;
nopCommerce;Yes;Yes;Yes;Yes;Yes;Yes;Yes;
osCommerce;Add-on;Add-on;No;No;No;No;Yes;
pimcore;Yes;Yes;Yes;Yes;Yes;Yes;Yes;
PrestaShop;Yes;Yes;Yes;Yes;Yes;Yes;Yes;
Sana Commerce;Yes;No;Yes;Yes;Yes;No;Yes;
Shopify;Yes;Yes;Yes;Yes;Yes;Yes;Yes;
SupaDupa;Yes;Yes;No;No;No;No;Yes;
Virto Commerce;Yes;No;Yes;Yes;Yes;No;Yes;
WooCommerce;Yes;Yes;Yes;Yes;Yes;Yes;Yes;
Zen Cart;Yes;Yes;Yes;Add-on[31];Add-on[31];Yes[32];Yes;
;Coupons;Gift certificates;Membership discounts;Membership-only categories;Membership-only products;Reward points;Special offers;
