;Windows;macOS;Linux;BSD;Unix;DOS;Android;SaaS;
ADMB;Yes;Yes;Yes;No;No;No;No;No;
Analytica;Yes;No;No;No;No;No;No;No;
Ch;Yes;Yes;Yes;Yes;Yes;No;No;No;
Dyalog APL;Yes;Yes;Yes;No;Yes;No[9];No;No;
DADiSP;Yes;No;No;No;Yes;No;No;No;
Euler Math Toolbox;Yes;No;Yes;No;No;No;No;No;
FlexPro;Yes;No;No;No;No;No;No;No;
FreeMat;Yes;Yes;Yes;Yes;Yes;No;No;No;
GAUSS;Yes;Yes;Yes;No;Yes;No;No;No;
GNU Data Language;Yes;Yes;Yes;Yes;Yes;No;No;No;
GNU MCSim;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;
GNU Octave;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;
IGOR Pro;Yes;Yes;No;No;No;No;No;No;
Julia;Yes;Yes;Yes;Yes;No;No;No;No;
LabVIEW;Yes;Yes;Yes;No;Yes;No;No;No;
Maple;Yes;Yes;Yes;No;Yes;No;No;No;
Mathematica;Yes;Yes;Yes;Yes;Yes;No;No;Yes;
MATLAB;Yes;Yes;Yes;Yes;Yes;No;No;No;
MLAB;Yes;Yes;Yes;No;No;Yes;No;No;
Origin;Yes;No;No;No;No;No;No;No;
Perl Data Language;Yes;Yes;Yes;Yes;Yes;Yes;No;No;
R;Yes;Yes;Yes;Yes;Yes;No;No;No;
SageMath;Yes;Yes;Yes;No;Yes;No;No;Yes;
SAS;Yes;No;Yes;No;Yes;No;No;No;
SequenceL;Yes;Yes;Yes;No;No;No;No;No;
S-Lang;Yes;Yes;Yes;Yes;Yes;Yes;No;No;
Scilab;Yes;Yes;Yes;Yes;Yes;Yes;No;No;
Sysquake;Yes;Yes;Yes;No;No;No;No;No;
TK Solver;Yes;No;No;No;No;No;No;No;
The Unscrambler;Yes;No;No;No;No;No;No;No;
VisSim;Yes;Yes;Yes;No;Yes;No;No;No;
