Server;BSD;Solaris;Linux;Mac OS X;Windows;
AnswerX;Yes;Yes;Yes;No;No;
BIND;Yes;Yes;Yes;Yes;Yes[Note 1];
Microsoft DNS;No;No;No;No;Included[Note 2];
djbdns;Yes;Yes;Yes;Yes;No;
Dnsmasq;Yes;Yes;Yes;Yes;No;
Simple DNS Plus;No;No;No;No;Yes;
NSD;Yes;Yes;Yes;Yes;No;
Knot DNS;Yes;No;Yes;Yes;No;
PowerDNS;Yes;Yes [13];Yes;Beta;No;
MaraDNS;Yes;Yes [14];Yes;Yes;Partial;
pdnsd;Yes;Partial[37];Yes;Yes;No;
Nominum ANS;Yes;Yes;Yes;No;No;
Nominum Vantio;Yes;Yes;Yes;No;No;
Posadis;Yes;Yes;Yes;Yes;Yes [15];
Unbound;Yes;Yes;Yes;Yes;Yes;
Cisco Network Registrar;No;Yes;Yes;No;Yes;
dnrd;Yes;No;Yes;No;No;
gdnsd;Yes;Yes;Yes;Yes;No;
YADIFA;Yes;Yes;Yes;Yes;No;
yaku-ns;Yes;Yes;Yes;Yes;No;
DNS Blast;Yes;No;No;No;No;
Secure64 DNS Authority;No;No;Yes;No;No;
Secure64 DNS Cache;No;No;Yes;No;No;
Technitium DNS Server;No;No;Yes;Yes;Yes;
