Rank;Nation;GDP (in millions $USD);
; World[2];73,170,986;
; United States;17,947,000;
9999999; European Union[n 1][2];16,220,370;
1; China;11,007,721;
2; Japan;4,123,258;
3; Germany;3,357,614;
4; United Kingdom;2,849,345;
5; California;2,424,033;
6; France;2,421,560;
7; India;2,090,706;
8; Italy;1,815,757;
9; Brazil;1,772,589;
10; Texas;1,648,007;
11; Canada;1,552,386;
12; South Korea;1,376,868;
13; Russia;1,324,734;
14; Australia;1,223,887;
15; Spain;1,221,785;
16; Mexico;1,144,334;
17; New York;1,124,406;
18; Florida;883,735;
19; Indonesia;858,953;
20; Illinois;764,817;
21; Netherlands;738,419;
22; Turkey;733,642;
23; Pennsylvania;677,582;
24;  Switzerland;664,603;
25; Saudi Arabia;653,219;
26; Ohio;592,899;
27; Argentina;585,623;
28; New Jersey;573,947;
29; Taiwan;523,581;
30; North Carolina;503,745;
31; Georgia;496,180;
32; Sweden;492,618;
33; Nigeria;490,207;
34; Virginia;476,919;
35; Poland;474,893;
36; Massachusetts;473,606;
37; Michigan;462,252;
38; Belgium;454,687;
39; Washington;446,096;
40; Thailand;395,288;
41; Norway;389,482;
42; Iran;387,611;
43; Austria;374,124;
44; Maryland;360,969;
45; United Arab Emirates;345,483;
46; Minnesota;330,782;
47; Egypt;330,765;
48; Indiana;326,538;
49; Colorado;316,535;
50; South Africa;312,957;
51; Hong Kong;309,931;
52; Tennessee;307,125;
53; Wisconsin;296,971;
54; Malaysia;296,219;
55; Israel;296,073;
56; Arizona;295,445;
57; Denmark;294,951;
58; Colombia;293,243;
59; Singapore;292,734;
60; Philippines;291,965;
61; Missouri;287,207;
62; Pakistan;269,971;
63; Connecticut;259,661;
64; Louisiana;252,965;
65; Chile;240,222;
66; Venezuela;239,572;
67; Ireland;238,031;
68; Finland;229,671;
69; Oregon;225,661;
70; Alabama;207,303;
71; Bangladesh;205,715;
72; Portugal;199,077;
73; South Carolina;196,887;
74; Greece;195,320;
75; Kentucky;192,874;
76; Peru;192,141;
77; Vietnam;191,454;
78; Qatar;185,395;
79; Czech Republic;181,858;
80; Oklahoma;181,089;
81; Romania;177,315;
82; Kazakhstan;173,212;
83; Algeria;172,278;
84; New Zealand;172,248;
85; Iraq;169,460;
86; Iowa;168,089;
87; Utah;146,697;
88; Kansas;146,219;
89; Nevada;140,608;
90; Arkansas;122,492;
91; District of Columbia;121,798;
92; Kuwait;120,682;
93; Hungary;120,636;
94; Nebraska;112,208;
95; Mississippi;106,880;
96; Morocco;103,142;
97; Angola;102,979;
98; Ecuador;98,828;
99; New Mexico;90,810;
100; Ukraine;90,524;
101; Slovak Republic;86,629;
102; Sudan;83,612;
103; Sri Lanka;82,095;
104; Hawaii;79,595;
105; Syria[n 3];77,460;
106; New Hampshire;71,632;
107; West Virginia;71,123;
108; Dominican Republic;67,492;
109; Myanmar;66,983;
110; Delaware;66,150;
111; Uzbekistan;65,683;
112; Idaho;65,202;
113; Guatemala;63,911;
114; Ethiopia;61,629;
115; Kenya;61,405;
116; Oman;58,491;
117; Luxembourg;57,423;
118; Rhode Island;56,323;
119; Maine;55,137;
120; Belarus;54,609;
121; Alaska;54,256;
122; Azerbaijan;54,048;
123; Uruguay;53,794;
124;  North Dakota;53,686;
125; Costa Rica;52,898;
126; Panama;52,132;
127; Lebanon;51,168;
128; Bulgaria;48,957;
129; Croatia;48,850;
130; Macao;46,178;
131; Montana;45,799;
132; South Dakota;45,415;
133; Tanzania;44,904;
134; Tunisia;43,581;
135; Slovenia;42,768;
136; Lithuania;41,267;
137; Wyoming;40,170;
138; Democratic Republic of the Congo;38,873;
139; Libya;38,300;
140; Jordan;37,620;
142; Yemen;36,852;
143; Serbia;36,513;
144; Ghana;36,039;
145; Turkmenistan;35,680;
146; Bolivia;33,210;
147; Côte d'Ivoire;31,172;
148; Bahrain;30,411;
149; Vermont;29,750;
150; Cameroon;28,478;
151; Paraguay;28,077;
152; Latvia;27,048;
153; El Salvador;25,766;
154; Uganda;24,740;
155; Trinidad and Tobago;24,553;
156; Estonia;22,704;
157; Zambia;21,889;
158;   Nepal;21,356;
159; Honduras;20,295;
160; Cyprus;19,330;
161; Afghanistan;19,204;
162; Cambodia;18,155;
163; Iceland;16,718;
164; Papua New Guinea;16,090;
165; Bosnia and Herzegovina;15,794;
166; Mozambique;14,965;
167; Gabon;14,350;
168; Zimbabwe;14,269;
169; Georgia;14,007;
170; Jamaica;13,924;
171; Senegal;13,665;
172; Mali;13,066;
173; Botswana;12,860;
174; Namibia;12,832;
175; Laos;12,503;
176; Nicaragua;12,222;
177; Brunei Darussalam;11,786;
178; Mongolia;11,735;
179; Mauritius;11,608;
180; Albania;11,543;
181; Burkina Faso;11,009;
182; Chad;10,894;
183; Armenia;10,571;
184; Macedonia;9,922;
185; Malta;9,801;
186; Madagascar;9,737;
187; Equatorial Guinea;9,403;
188; Republic of Congo;8,878;
189; Bahamas;8,705;
190; Haiti;8,618;
191; Benin;8,471;
192; Rwanda;8,267;
193; Tajikistan;7,816;
194; Niger;7,151;
195; Guinea;6,696;
196; Kyrgyz Republic;6,650;
197; Malawi;6,416;
198; Moldova;6,414;
199; Kosovo;6,355;
200; Suriname;5,192;
201; Fiji;4,782;
202; Mauritania;4,752;
203; Eritrea;4,666;
204; Barbados;4,412;
205; Sierra Leone;4,167;
206; Togo;4,165;
207; Montenegro;4,039;
208; Swaziland;4,028;
209; Guyana;3,164;
210; Maldives;3,130;
211; Burundi;2,881;
212; South Sudan;2,627;
213; Timor-Leste;2,620;
214; Bhutan;2,214;
215; Liberia;2,035;
216; Lesotho;2,032;
217; Belize;1,763;
218; Djibouti;1,727;
219; Central African Republic;1,605;
220; Cabo Verde;1,595;
221; San Marino;1,566;
222; St. Lucia;1,416;
223; Seychelles;1,375;
224; Antigua and Barbuda;1,287;
225; Solomon Islands;1,147;
226; Guinea-Bissau;1,057;
227; Grenada;954;
228; St. Kitts and Nevis;896;
229; The Gambia;893;
230; Samoa;838;
231; Vanuatu;765;
232; St. Vincent and the Grenadines;757;
233; Comoros;589;
234; Dominica;497;
235; Tonga;414;
236; São Tomé and Príncipe;318;
237; Micronesia;318;
238; Palau;287;
239; Marshall Islands;183;
240; Kiribati;162;
241; Tuvalu;33;
