;Collapsible sections;Find and replace using RegEx;Intelligent error handling;Autocompletion of LaTeX commands;Parenthesis matching;Starts up to previous state[Note 10];Unicode support;RTL Support[Note 11];;
AUCTeX;Yes;Yes;Yes;Yes;Yes;Yes[Note 12];Yes;Yes;AUCTeX;
  Authorea ;No;Yes;No;No;Yes;Yes;Yes;?;  Authorea ;
Auto-Latex Equations for Google Docs;No;Yes;No;No;No;Yes;Yes;?;Auto-Latex Equations for Google Docs;
CoCalc;Yes;Yes;No;Yes;Yes;Yes;Yes;?;CoCalc;
Gummi;No;No;No;No;Yes;No;Yes;?;Gummi;
Kile;Yes[Note 13];Yes;Yes;Yes;Yes;Yes;Yes;Yes;Kile;
GNOME-LaTeX;Planned;Yes;Yes;Yes;Yes;(just same files);Yes;Yes;GNOME-LaTeX;
LEd;Yes;Yes;?;Yes;Yes;No (just same files);No;?;LEd;
LyX;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;LyX;
MeWa;No;Yes;No;No;No;No;Yes;?;MeWa;
Notepad++;Yes;Yes;No;Partial[Note 14];Yes;Yes;Yes;Yes;Notepad++;
Scientific WorkPlace;No;?;?;N/A;Yes;No;Yes;?;Scientific WorkPlace;
ShareLaTeX;Yes;Yes;Yes;Yes;Yes;Yes;Yes;?;ShareLaTeX;
TeXmacs;No;Yes;N/A;N/A;N/A;No;Yes;?;TeXmacs;
Texmaker;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Texmaker;
TeXnicCenter;since v2.0;since v2.0;Yes;Yes;Yes;Yes;since v2.0;?;TeXnicCenter;
TeXShop;No;Yes;Yes;Yes;Yes;Yes;Yes;?;TeXShop;
TeXstudio;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;TeXstudio;
TeXworks;No;Yes[Note 15];No;Yes[Note 16];Yes;No;Yes;Yes;TeXworks;
Verbosus;No;No;Yes;Yes;Yes;No;Yes;?;Verbosus;
WinEdt;Yes;Yes (modified);Yes;Yes;Yes;Yes;Yes;Yes;WinEdt;
WinShell;Yes;Yes;Yes;Yes;Yes;No (just same files);Yes;?;WinShell;
Collapsible sections;Find and replace using RegEx;Intelligent error handling;Autocompletion of LaTeX commands;Parenthesis matching;Starts up to previous state[Note 17];Unicode support;RTL Support[Note 18];;;
