NeXTSTEP;NeXT;1989;Unix;3.3;1995;Discontinued; Was bundled with hardware, then sold separately;Proprietary;Workstation;
OpenBSD;The OpenBSD Project;1995;NetBSD 1.0;6.4;2018, October 18;Free;ISC;Server, NAS, workstation, embedded;
OpenIndiana;Many, based on software developed by Sun Microsystems and many others;2010;OpenSolaris;;2017, May 3[3];Free;CDDL;Server, workstation;
OpenVMS;DEC (now VSI);1977;RSX-11M;8.4-2L2;2017, July 10;Commercial, free non-commercial use;Proprietary;Server, workstation;
OS/360;IBM;1966;None;Operating System/360 R21.8;1972, August;Bundled with hardware;Proprietary;IBM mainframe;
OS/390;IBM;1995;MVS;OS/390 Version 2 R10;2000, September 29;Bundled with hardware;Proprietary;IBM mainframe;
OS 2200;Unisys;1967 as Exec 8e;Exec 8, OS 1100;CP OS 16 (Exec 49.2);2015, February 27;Bundled with hardware;Proprietary;Server;
OS/2;IBM and Microsoft;1987;Windows 3.x;4.52;2001;Discontinued (see eComStation successor); Was US$300 (equivalent to $415.30 in 2017);Proprietary;Personal computer, server;
Plan 9;Bell Labs;1993;Unix;Fourth Edition;2003 (except for minor later updates);Free;LPL;Workstation, server, embedded, HPC;
QNX;QNX Software Systems;1982;Unix, POSIX;7.0.0;2017, March;Bundled with BlackBerry 10 and PlayBook devices. Commercial; an academic version exists that needs authorization code before installing;Proprietary;Automotive, medical, smartphones, consumer, industrial, embedded, safety;
Solaris;Sun, Oracle Corporation;1992;SunOS;11.4;2018, August 28;Commercial; (but free/no-cost perpetual license when used "for the purpose of developing, testing, prototyping and demonstrating your applications"[4]);CDDL;Server, workstation;
Symbian;Symbian Ltd.;1998;EPOC32;9.5;2009;Discontinued; Commercial;Proprietary;Phones;
Symbian platform;Symbian Foundation;2010 (initially 1998 as Symbian);Symbian;3.0.4;2010;Free;EPL;embedded;
Windows Server (NT family);Microsoft;1993;OS/2, Windows 3.x and MS-DOS;Windows Server 2019 (Version 10.0.17763);2018, October 2;US$1050 5 CALs server; other editions dependent on number of CALs purchased;Proprietary; Source-available;Server, NAS, embedded;
Windows (NT family);Microsoft;1993;OS/2, Windows 9x and MS-DOS;Windows 10 (Version 1809);2018, October 9;Windows 10 Home US$119, Windows 10 Pro US$199[5];Proprietary; Source-available;Workstation, personal computer, media center, Tablet PC, embedded;
Windows (classic 9x family);Microsoft;1995;MS-DOS, Windows NT 3.5;Windows Me (Win 4.90.3000);2000;Discontinued;Proprietary;Personal computer, media center;
RISC iX;Acorn Computers;1988;BSD 4.3;1.21c;1993;Discontinued; Was bundled with hardware;Proprietary;Workstation;
RISC OS;Acorn Computers;1987;Arthur, also the BBC Master OS;3.71;1997;Discontinued; Was bundled with hardware;Proprietary;Education, personal computer;
RISC OS 4;RISCOS Ltd, Pace plc;1999;RISC OS;4.39;2004;Bundled with hardware, then sold separately at £70 (US$127);Proprietary;Education, personal computer;
RISC OS 5;Castle Technology, RISC OS Open;2002;RISC OS 4;5.24[6];2015;Free for non-commercial use (recent releases); formerly bundled with hardware;Source-available;Education, personal computer;
RISC OS 6;RISCOS Ltd;2006;RISC OS 4;6.20;2009;Bundled with hardware, then sold separately at £70 (US$127);Proprietary;Education, personal computer;
ZETA;yellowTAB;2005;BeOS R5;1.5;2007;Discontinued;Proprietary;Personal computer, media center, workstation;
STOP 6, XTS-400;BAE Systems;2003;STOP 5, XTS-300;6.5;2008, August;US$60,000 (equivalent to $68,309 in 2017)+; bundled with XTS hardware and OEM licensed;Proprietary;Server, workstation;
ReactOS;ReactOS development team;1996;Windows NT;0.4.8;2018, April 14;Free;GNU GPL, GNU LGPL;Workstation, personal computer;
TrueOS;PC-BSD Software;2006;FreeBSD[g 5];10.1[7];2014, November 16;Free;BSD;Personal computer, workstation, server;
VxWorks;Wind River Systems;1987;VRTX;7;2014 March;Paid;Proprietary;Embedded Real-time systems;
z/OS;IBM;2000;OS/390;Version 2.3 (V2R3);2017, September 29;Monthly license fee, about US$130 and up;Proprietary;IBM mainframe;
z/VSE;IBM;2007;VSE/ESA;6.2;2017, December 1;Monthly license fee;Proprietary;IBM mainframe;
z/VM;IBM;2000;VM;6.4;2016, November 11;Monthly license fee;Proprietary;IBM mainframe;
HP NonStop;HP;1974;Guardian;H06.24/J06.13;2012;Non-free;Proprietary;HP Nonstop Servers;
Name;Creator;Initial public release;Predecessor;Current stable version;Release date;Cost, availability;Preferred license[g 1];Target system type;
