;Creator;Development started;First public release;Latest stable version;Stable release date;Cost (USD);License;Notes;
ADMB;David Fournier, ADMB Project;1989;1990;12.0;21 December 2017;Free;BSD 3-clause (aka new) License;Automatic differentiation makes it well suited to complex minimization problems;
Analytica;Lumina Decision Systems;1982 (Demos);;4.6;May 2015;Free (Analytica Free 101), $995 (Professional), $2795 (Enterprise);Proprietary;A numerical modeling environment with a declarative and visual programming language based on influence diagrams.;
Ch;SoftIntegration;;1 October 2001;7.5.1;2 December 2015;$399 (commercial) / $199 (academic) / Free (student);Proprietary;C/C++ based numerical computing and graphical plotting[1];
DADiSP;DSP Development;1984;1987;6.7 B02;17 January 2017;$1995 (commercial) / $129 (academic) / Free (student);Proprietary;Numeric computations for science and engineering featuring a spreadsheet like interface.;
Dyalog APL;Dyalog Ltd.;1981;1983;17.0;23 July 2018;£850/year or 2% royalty (free for non-commercial use);Proprietary;A modern dialect of APL, enhanced with features for functional and object-oriented programming.;
Euler Math Toolbox;René Grothmann;1987;1988;2018-11-16;16 November 2018;Free;GPL;Also a computer algebra system through interface with Maxima;
Fityk;Marcin Wojdyr;;2002;1.3.1;19 December 2016;$115 (1.x binaries) / Free (source code and 0.x binaries);GPL;interactive graphics, scriptable, specialized in curve fitting and peak fitting, 2D only;
FlexPro;Weisang GmbH;n/a;1991;2017;2017;Not free (commercial) / Free (academic);Proprietary;Dynamic, interactive 2D/3D diagrams, programmable, VBA, high performances, multicore compatible, large data sets.;
FreeMat;Samit Basu;;2004;4.2;30 June 2013;Free;GPL;Codeless interface to external C, C++, and Fortran code. Mostly compatible with MATLAB.;
GAUSS;Aptech Systems;;1984;17;22 December 2016;Not free;Proprietary;;
GNU Data Language;Marc Schellens;;2004;0.9.7;21 January 2017;Free;GPL;Aimed as a drop-in replacement for IDL/PV-WAVE;
GNU MCSim;Frederic Y. Bois & Don Maszle;1991;1993;6.0.0;24 February 2018;Free;GPL;General simulation and Monte Carlo sampling software;
GNU Octave;John W. Eaton;1988;1993;4.4.0;1 May 2018;Free;GPL;General numerical computing package with lots of extension modules. Syntax mostly compatible with MATLAB;
IGOR Pro;WaveMetrics;1986;1988;7.00;26 July 2016;$995 (commercial) $225 upgrade / $499 (academic) $175 upgrade / $85 (student);Proprietary;interactive graphics, programmable, 2D/3D, used for science and engineering, large data sets.;
J;Jsoftware;1989;1990;J806;12 November 2017;Free;GPL;online access to: J Application Library (JAL);
Julia;Jeff Bezanson, Stefan Karpinski, Viral B. Shah, and other[2] contributors;2009;2012;1.0.2;8 November 2018;Free;MIT License;Direct calls of C functions (no wrappers needed). Designed for cloud parallel computing with LLVM JIT as a backend. Lightweight "green" threading (coroutines). Efficient support for Unicode. Shell-like capabilities for managing other processes. Lisp-like macros and other metaprogramming facilities.;
LabVIEW;National Instruments;1985;1986;2016;August 2016;$1249 (commercial) / $79.95 (student);Proprietary;Graphical, and textual through formula nodes, mathscript and .m file scripts[3];
Maple;Maplesoft;1980;1982;2018;21 March 2018;$2275 (commercial) / $99 (student);Proprietary;Mainly a computer algebra system;
Mathcad;Parametric Technology Corporation;1985;1986;15.0 ; Prime 4.0[4];2 March 2015;$1195 (commercial) / $99 (student);Proprietary;;
Mathematica;Wolfram Research;1986;1988;11.3.0 (March 8, 2018; 9 months ago (2018-03-08)) [±][5];8 March 2018;Free (Raspberry Pi[6]), Free Cloud Access, $2495 (commercial) / $145 (student) / $295 (personal)[7];Proprietary;Also computer algebra system;
MATLAB;MathWorks;late 1970s;1984;9.5 (R2018b);12 September 2018;$2150 (standard) / $500 (education) / $149 (home) / $49 (student);Proprietary;Numerical computation and simulation with extended 2D/3D visualization.;
Maxima;MIT Project MAC and Bill Schelter et al.;1967;1982;5.41.0;3 October 2017;Free;GPL;Mainly a computer algebra system;
MLAB;Civilized Software, Inc.;1970 (in SAIL), 1985 (in C);1972 (on DEC-10), 1988 (on PCs), 1993 (on MACs);2015;2015;$2250 (standard) / $50 (student);Proprietary;Numerical and Statistical computation for Scientific Applications, e.g. Chemical Kinetics. ODE Solving and Curve-Fitting. Symbolic Differentiation, Survival Analysis, Cluster Analysis, 2D/3D Graphics.;
Origin;OriginLab;;1991;2016;22 May 2017;$1095 (std.)/$1800 (Pro) $550 (std., academic) $850 (Pro, academic) $69/yr. (Pro, student);Proprietary;Integrated data analysis graphing software for science and engineering. Flexible multi-layer graphing framework. 2D, 3D and statistical graph types. Built-in digitizing tool. Analysis with auto recalculation and report generation. Built-in scripting and programming languages.;
Perl Data Language;Karl Glazebrook;1996;c. 1997;2.019;5 May 2018;Free;Artistic License;Used for astrophysics, solar physics, oceanography, biophysics, and simulation. 2D plotting via PGPLOT, PLPlot bindings; 3D via GL.;
