IRC daemon;Creator/network;Basis;Programming language;First public release;Latest version (numeric 351);Software license;
Asuka[1];QuakeNet Dev Team;ircu;C;Unknown;1.2.1 (now replaced by snircd);GPL;
Bahamut[2];DALnet;DreamForge, IRCD-Hybrid;C;1999[3];bahamut-2.0.7;GPL;
bIRCd[4];DAMnet;DreamForge;C;1999;bIRCd-2.1.0rc4;GPL;
beware ircd[5];beware;from scratch;Delphi;Unknown;beware1.6;GPL;
Charybdis[6];atheme.org (nenolod, jilles, dwr, gxti);ircd-ratbox, IRCD-Hybrid, ircu, ShadowIRCd;C;2005;charybdis-3.4.2;GPL/BSD;
dancer-ircd;freenode;Hybrid 6;C;1999;? (replaced by hyperion);GPL;
Elemental-IRCd[7];[8];ShadowIRCD;C;2007;6.6.2;GPL2;
DreamForge;DALnet;irc2.8.mu3;C;1994 (dal), 1997? (df);? (replaced by bahamut);GPL;
Faerion IRC Server[9];vhex;DreamForge;C, C++;2003;1.17.7.1[10];GPL;
FoxEye (ircd module);Andriy Grytsenko;from scratch;C;2011(draft), 2016(working);0.11.0;GPL2;
hyperion[11];freenode;dancer-ircd 1.0.35+pre2;C;2005;? (replaced by ircd-seven);GPL;
IgniteIRCd[12];Lloyd Dilley;ircd-hybrid 6.3.1;C;2004;0.9.41 (now unmaintained);GPL;
InspIRCd [13];InspIRCd Development Team;from scratch;C++;2002;2.0.25[14];GPL;
ignitionServer[15];The Ignition Project;Pure-IRCD (VB6 version);Visual Basic;2004;ignitionServer-0.3.6-P1[16];GPL[17];
IRCd[18];Jarkko Oikarinen, IRCnet[19];from scratch;C[20];1988;2.11.2[21];GPL v1;
ircd-hybrid[22];ircd-hybrid Development Team,[23] Rizon, OFTC, EFnet;irc2.8[24];C[24];1997[24];8.2.21[25];GPL[26];
ircd-ratbox;Aaron Sethman, Lee Hardy, EFnet;Hybrid 7-rc1;C;2002;ircd-ratbox-3.0.10;GPL;
ircd-seven;freenode;charybdis 3.1.x/trunk;C;—;stable;GPL;
ircu[27];Undernet Coder Committee;irc2.7[28];C[29];1991;u2.10.12.14[27];GPL;
ithildin[30];Chip Norkus;from scratch;C;2006;1.1[31];BSD[32];
kike[33];P?emysl Janouch;from scratch;C;2015;0.9[34];ISC;
miniircd[35];Joel Rosdahl;from scratch;Python;2003;1.1[36];GPL;
Nefarious IRCu;Evilnet Development, AfterNET;ircu2.10.12.14;C;2004;u2.10.12.14+Nefarious(2.0.0);GPL;
ngIRCd[37];Alex Barton;from scratch;C;2001[38];ngircd-24[39];GPL;
OfficeIRC Server;Office IRC Inc, Paul Heinlein;from scratch;VB.NET;2006;2.2;Proprietary;
Oragono;Daniel Oaks, Oragono Contributors;Ergonomadic;Go;2016;0.12.0;MIT;
PleXusIRCd;Rizon, thaprince, static;Hybrid 7.2.3;C;2005;hybrid-7.2.3+plexus-3.0.1(20090612_0-523);GPL;
ProvisionIRCd[40];Sirius, Y4kuzi;from scratch;mSL;2006;2.2;GPL;
pureIRCd;Dennis Fisch aka Diligent;from scratch;C;2002;Unknown;GPL;
RockIRCd[41];Mike Chambers;from scratch;QuickBASIC[42];2009;1.0.0-testing;GPL;
RubIRCd[43];Lloyd Dilley;from scratch;Ruby;2013;0.1a-maiden voyage;GPL;
ShadowIRCd[44];Taros, jdhore, jilles, nenolod;Charybdis[44];C;2003;6.3.3;GPL;
snircd;QuakeNet;ircu2.10.12[45];C[45];Unknown;1.3.4a[1];GPL[45];
solid-ircd;Toshi Morita, Juan Baez,Gabriel Baez;Bahamut;C;2004[46];solid-ircd 3.4.8;GPL;
Synchronet IRCd[47];Randy E. Sommerfeld;from scratch;JavaScript;2003;SynchronetIRCd-1.3a(1.151);GPL;
TR-IRCd [48];Yusuf Iskenderoglu, Ekim Engin, Dimitris Ginosatiris, Maksut Cagil, Burak Cifter;Hybrid 7 and Bahamut;C;1999;5.6.1;GPL;
UltimateIRCd;ShadowRealm Creations;DreamForge 2.8;C;2001;3.0.2 [49] (now unmaintained);GPL;
UnrealIRCd[50];UnrealIRCd Team;EliteIRCd (potvin)[51];C;1999;Unreal4.0.5[52];GPL;
Viagra IRCd[53];Chris Schiffner;Titan;C;2003;1.3.3 (now unmaintained);GPL;
WeIRCd;Eloxoph IRC Network[54];from scratch;C;2007;0.8.2 (now unmaintained);GPL;
Pocosi[55];Chris Williams, Hinrik Örn Sigurðsson;POE::Component::Server::IRC[56];Perl;2003;0.02 (1.53 of POE::Component::Server::IRC);Artistic;
