BitTorrent client;Windows;macOS;Linux;BSD;iOS;Android;Other;
ABC;Yes;No;Yes;No;No;No;No;
Acquisition;No;Yes;No;No;No;No;No;
BitComet;Yes;No;No;No;No;No;No;
BitLet;Web;Web;Web;No;No;No;No;
BitLord;Yes;Yes;No;No;No;No;No;
BitTornado;Yes;Yes;Yes;Yes;No;No;No;
BitTorrent;Yes;Yes;No;No;No;Yes[40];No;
BitTyrant;Yes;Yes;Yes;Yes;No;No;No;
Blog Torrent;Yes;Yes;No;No;No;No;No;
Deluge;Yes;Yes;Yes;Yes;No;No;Solaris;
FlashGet;Yes;No;No;No;No;No;No;
Folx;No;Yes;No;No;No;No;No;
Free Download Manager;Yes;Yes;No;No;No;No;No;
Frostwire;Yes[41];Yes[41];Yes[41];Yes[41];No[41];Yes[41];Unix-like,[41] z/OS,[42] Solaris, OS/2, eComStation[43];
KGet;No;No;Yes;Yes;No;No;No;
KTorrent;No;Yes;Yes;Yes;No;No;No;
LimeWire;Yes;Yes;Yes;Yes;No;No;Yes[specify];
Meerkat Bittorrent Client;Yes;No;No;No;No;No;No;
Miro;Yes;Yes;Yes;Yes;No;No;No;
MLDonkey;Yes;Yes;Yes;Yes;No;No;Solaris, MorphOS;
µTorrent;Yes;Yes;Web;No;No;Yes[44];No;
OneSwarm;Yes;Yes;Yes;No;No;No;No;
Opera 12;Yes[Note 1];Yes;Yes[Note 1];Yes[Note 1];No;Yes[citation needed];Solaris;
qBittorrent;Yes[45];Yes[45];Yes[45];Yes[45];Yes[45];No[46];eComStation[45];
rTorrent;Yes, through Cygwin[47];Yes;Yes;Yes;No;No;Solaris;
Shareaza;Yes;No;No;No;No;No;No;
SymTorrent;No;No;No;No;No;No;Symbian;
Tixati;Yes;No;Yes;No;No;No;No;
Tomato Torrent;No;Yes;No;No;No;No;No;
Tonido;Yes;Yes;Yes;Yes;No;No;No;
TorrentFlux;Yes;Yes;Yes;Yes;No;No;No;
Transmission;Yes [Note 1];Yes;Yes;Yes;Yes, through Cydia;No;Solaris, OpenWrt;
Tribler;Yes;Yes;Yes;Yes;No;No;No;
Vuze;Yes;Yes;Yes;Yes;No;Yes[48];No;
Xunlei;Yes;Yes;No;No;Yes;Yes[citation needed];No;
Name;Windows;Mac OS X;Linux;BSD;iOS;Android;Other;
