Framework;Version compared;Size;License;Source language;
AngularJS;1.5.0 5 Feb 2016;144 kB (minified & compressed);MIT;JavaScript;
Backbone.js;1.2.1 June 2015;7.3 kB (Packed and gzipped);MIT;JavaScript;
Dojo;1.10.4 18 Jan 2015;Variable. Base size: 41 kB (minified & gzipped), 155 kB (minified), 598 kB (uncompressed)[1];BSD & AFL;JavaScript + HTML;
Ember.js;1.7.0 19 Aug 2014;95 kB (minified & gzipped), 340 kB (minified), 1.5 MB (uncompressed);MIT;JavaScript;
Enyo;2.0.1 30 Aug 2012;<25 kB (core gzipped);Apache 2 [2];JavaScript;
Ext JS;4.2 13 Mar 2013;84–502 kB;GPL & Commercial [3];JavaScript;
Google Web Toolkit;2.7.0 November 2014;Variable;Apache;Java;
jQuery (library);1.9.1 4 Feb 2013;32 KiB (minified & gzipped), 93 KiB (minified), 252 KiB (uncompressed);MIT;JavaScript;
jQWidgets;3.9.1 29 Oct 2015;3102 KB (minified), 7486 KB (uncompressed);Creative Commons Attribution-NonCommercial 3.0 and Commercial[4];JavaScript, HTML, CSS;
Knockout;3.4.0 17 November 2015;58 KB minified / 280 KB (development mode);MIT;JavaScript;
MooTools;1.6.0 14 Jan 2016;Variable; 7.3–65 KiB (YUI Compressor),[5] Variable; 7.3–65 KiB (YUI Compressor),[6] 101 KiB (uncompressed)[7];MIT;JavaScript;
React (JavaScript library);16.1.1 November 28, 2017;react.production.min.js 6.41KB react-dom.production.min.js 92.4KB redux v3.7.2 2KB Total: 100.81KB;MIT;JavaScript;
SAP OpenUI5;1.44.9 28 Mar 2017;20.8MB (1.34.7 runtime, minified, zipped) 6.8MB(1.34.7 runtime mobile, minified, zipped) 52.1MB (1.34.7 SDK, zipped);Apache 2[8];JavaScript;
Prototype & script. aculo.us[9];Prototype: 1.7.3 22 Sep 2015 script.aculo.us: 1.9.0 23 Dec 2010;46–278 kB;MIT;JavaScript;
qooxdoo;5.0.1 15 Sep 2015;Variable, starting at 6 kB (gzipped);LGPL & EPL;JavaScript;
SmartClient & SmartGWT;SmartClient: 11.1 June 2017 SmartGWT: 6.1 June 2017;100–500 kb (gzipped).;LGPL & Commercial;Server: Java Client: Java (Smart GWT) or Javascript (SmartClient) or XML (both);
SproutCore;1.11.2 2 May 2016;250–700 kb (gzipped).;MIT;JavaScript;
Vue.js;2.1.10 17 Jan 2017;26 kB (minified & gzipped) 71 kB (minified) [10] 219 kB (uncompressed) [11];MIT;JavaScript;
Wakanda;9 14 Nov 2014;Variable;GPL3 (framework), AGPL (server) & Commercial;JavaScript + HTML + CSS;
Webix;4.1 November 2016;188 kB (gzipped);GPL & Commercial;JavaScript;
ZK;8.0.1 19 Jan 2016;Variable;LGPL & GPL & ZOL;XML + Java (JavaScript optional);
