Rank;State;GDP (in millions $USD);
1; California;2,935,332;
2; Texas;1,755,634;
3; New York;1,675,685;
4; Florida;1,029,154;
5; Illinois;857,067;
6; Pennsylvania;788,842;
7; Ohio;672,055;
8; New Jersey;626,684;
9; Georgia;587,325;
10; Massachusetts;569,290;
11; North Carolina;565,300;
12; Washington;559,011;
13; Virginia;532,896;
14; Michigan;532,039;
15; Maryland;414,373;
16; Indiana;369,209;
17; Tennessee;365,129;
18; Colorado;363,845;
19; Minnesota;362,904;
20; Arizona;344,636;
21; Wisconsin;335,560;
22; Missouri;316,735;
23; Connecticut;272,745;
24; Louisiana;249,726;
25; Oregon;238,687;
26; South Carolina;230,213;
27; Alabama;221,026;
28; Kentucky;209,562;
29; Oklahoma;199,572;
30; Iowa;189,299;
31; Utah;175,601;
32; Nevada;167,708;
33; Kansas;164,018;
—; District of Columbia;140,686;
34; Arkansas;127,951;
35; Nebraska;123,363;
36; Mississippi;113,334;
37; New Mexico;98,390;
38; Hawaii;91,048;
39; New Hampshire;85,548;
40; West Virginia;77,748;
41; Idaho;76,187;
42; Delaware;74,717;
43; Maine;64,203;
44; Rhode Island;61,168;
45;  North Dakota;55,180;
46; Alaska;53,944;
47; South Dakota;51,721;
48; Montana;49,514;
49; Wyoming;40,384;
50; Vermont;33,522;
Total; United States;20,411,924;
