Audio player;ReplayGain;Tag mass;Tag flexible[featurenotes 5];Time stretch;Pitch shift;A-B repeat;Bookmark;Auto resume;Shutdown on play complete;Archive ability;
AIMP;Yes;Yes[featurenotes 6];Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;
Amarok;Yes;Yes;Yes;No;No;Yes[featurenotes 7];Yes;Yes;No;No;
Audacious;Yes;No;No;Yes;Yes;Yes;No;Yes;No;No;
Audion;?;?;?;?;?;?;?;?;?;?;
cmus;Yes;No;No;No;No;No;No;Yes;No;No;
Cog;?;?;?;?;?;?;?;?;?;?;
Clementine;Yes;Yes;No;No;No;?;No;No;No;No;
Exaile;Yes;Yes;Yes[20];No;No;Yes[19];Yes[19];Yes;Yes[19];No;
foobar2000;Yes;Yes;Yes;Yes[19];Yes[19];Yes[19];Partial[19];Yes;Partial[19];Yes;
iTunes;Yes;Yes;No;No;No;No;Yes;Yes;No;No;
JRiver Media Center;Yes;Yes;Yes;Yes;Yes;Yes[featurenotes 8];Yes;Yes;Yes;No;
JuK;?;?;?;?;?;?;?;?;?;?;
MediaMonkey;Yes;Yes;Yes;Partial[19];Partial[19];Partial[19];Partial[19];Yes;Yes;?;
MPXPLAY;?;?;?;?;?;?;?;?;?;?;
MusicBee;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;
Musicmatch Jukebox;?;Partial[featurenotes 9];?;No;No;?;?;?;?;?;
musikCube;?;?;?;?;?;?;?;?;?;?;
Quod Libet;Yes;Yes;Yes;Partial[featurenotes 10];Partial[featurenotes 10];No;Yes;Yes;No;No;
Rhapsody;?;?;?;?;?;?;?;?;?;?;
Rhythmbox;Yes;Yes;No;No;No;No;No;Yes;No;No;
Sonique;No;No;?;Yes;Yes;No;No;No;No;?;
Spotify;No;No;No;No;No;No;No;Yes;No;No;
Winamp;Yes;Yes;?;No;Yes;?;Yes;?;No;?;
XMMS;Partial;Yes;?;No;No;No;No;Yes;No;No;
XMPlay;Yes;No;No;No;No;No;Yes;Yes;No;Yes;
Zinf;?;?;?;?;?;?;?;?;No;?;
Audio player;ReplayGain;Tag mass;Tag flexible;Time stretch;Pitch shift;A-B repeat;Bookmark;Auto resume;Shutdown on play complete;Archive ability;
