Client;Written in;License;Access API;
Ceph;C++;LGPL;librados (C, C++, Python, Ruby), S3, Swift, FUSE;
BeeGFS;C / C++;FRAUNHOFER FS (FhGFS) EULA,[1] GPLv2 client;POSIX;
GlusterFS;C;GPLv3;libglusterfs, FUSE, NFS, SMB, Swift, libgfapi;
Infinit[2];C++;Proprietary (to be open sourced)[3];FUSE, Installable File System, NFS/SMB, POSIX, CLI, SDK (libinfinit);
Isilon OneFS;C/C++;Proprietary;POSIX, NFS, SMB/CIFS, HDFS, HTTP, FTP, SWIFT Object, CLI, Rest API;
ObjectiveFS[4];C;Proprietary;POSIX, FUSE;
MooseFS;C;GPLv2;POSIX, FUSE;
Quantcast File System;C;Apache License 2.0;C++ client, FUSE (C++ server: MetaServer and ChunkServer are both in C++);
Spectrum Scale (GPFS);C, C++;Proprietary;POSIX, NFS, SMB, Swift;
Lustre;C;GPLv2;POSIX, liblustre, FUSE;
MapR-FS;C, C++;Proprietary;POSIX, NFS, FUSE, S3;
OpenAFS;C;IBM Public License;Virtual file system, Installable File System;
OpenIO[5];C;AGPLv3 / LGPLv3;Native (Python, C, Java), HTTP/REST, S3, Swift, FUSE (POSIX, NFS, SMB, FTP);
PanFS;C, C++;Proprietary;DirectFlow, POSIX, NFS, SMB/CIFS, HTTP, CLI;
scality;C;Proprietary;fuse, NFS file system, rest, AWS S3;
Tahoe-LAFS;Python;GNU GPL 2+ and other[6];HTTP (browser or CLI), SFTP, FTP, FUSE via SSHFS, pyfilesystem;
HDFS;Java;Apache License 2.0;Java and C client, HTTP;
XtreemFS;Java, C++;BSD License;libxtreemfs (Java, C++), FUSE;
Ori[7];C, C++;MIT;libori, FUSE;
