Name;Developer(s);License;Platforms;
AllMyNotes Organizer;Vladonai Software;Proprietary, Freemium;Microsoft Windows;
BasKet Note Pads;KDE;Open source (GPL);Unix-like (KDE);
CintaNotes;Cinta Software;Proprietary, Freemium;Microsoft Windows;
ConnectedText;Eduardo Mauro;Proprietary, Commercial;Microsoft Windows;
Day One;Bloom Built;Proprietary, Commercial;macOS, iOS;
Dropbox Paper;Dropbox;Proprietary, Freemium;Android, IOS, web-based;
Evernote;Evernote Corporation;Proprietary, Freemium for personal use, per-seat licensing for business;Android, iOS, macOS, Microsoft Windows 7/8/10, Microsoft Windows Phone, and web-based;
Gnote;Aurimas ?ernius;Open source (GPL v3);Linux;
Google Keep;Google;Proprietary, no-cost;Android, iOS, Chrome OS, browser based;
KeyNote NF;Marek Jedli?ski, Tranglos Software;Open source (MPL);Microsoft Windows;
Memonic;Nektoon AG;Proprietary, Freemium[Notes 1];Android (not released yet), iOS, macOS, Microsoft Windows XP/Vista/7/Mobile web-based;
Microsoft OneNote;Microsoft;Proprietary, Shareware/Freeware/Freemium[Notes 2];Android, macOS, iOS (iPad, iPhone), Microsoft Windows 7/8/10, Microsoft Windows Server 2008R2/2012R2/2016, Microsoft Windows Phone 8/8.1/10, web-based, mobile web;
MyInfo;Milenix Software;Proprietary, Shareware;Microsoft Windows XP/Vista/7;
MyNotex;Massimo Nardello;Open source (GPL);Linux;
Notational Velocity;Zachary Schneirov;Open source (GPL v3);macOS;
Notes;Apple;Proprietary;macOS, iOS, web-based;
Notizen .NET;?;No-cost, unknown license;Microsoft Windows XP/Vista/7;
Okular;Okular Team (KDE);Open source (GPL);KDE-enabled Linux, Unix, Microsoft Windows, macOS, *BSD[1];
Open-Sankoré;Sankoré;Open source (GPL);Linux, macOS, Unix, Microsoft Windows;
Org-mode (Emacs);Carsten Dominik, et al.;Open source (GPL);Linux, macOS, Unix, Microsoft Windows (Emacs mode);
Outline;Gorillized Corporation;Proprietary, Commercial;macOS, iOS;
PDF Studio;Qoppa Software;Proprietary, Shareware;Linux, macOS, Microsoft Windows, web-based;
Personal Knowbase;Bitsmith Software;Proprietary, Commercial;Microsoft Windows;
QOwnNotes;Patrizio Bekerle;Open source (GPL);GNU/Linux, macOS, Microsoft Windows;
Qiqqa;Quantisle Ltd.;Proprietary, Freemium;Microsoft Windows XP/Vista/7/8, Web-based, Android;
Simplenote;Automattic inc.;Open source;Cross-platform;
TagSpaces;TagSpaces UG;Open source (AGPL);Cross-platform (browser, web-based);
TiddlyWiki;Jeremy Ruston;Open source (BSD);Cross-platform (single html file, runs in browser, on a nodeJS server, on Android and IOS);
Tomboy;Alex Graveley;Open source (LGPL);Cross-platform (Mono/GTK+);
TreeDBNotes;?;Proprietary, Freemium;Microsoft Windows;
Ulysses;The Soulmen;SaaS;macOS, iOS;
Whizfolders;AvniTech Solutions;Proprietary, Commercial;Microsoft Windows;
WikidPad;Michael Butscher;Open source (BSD);Cross-platform (Python);
Microsoft Windows Journal;Microsoft;Proprietary, Commercial;Microsoft Windows XP Tablet PC edition, Microsoft Windows Vista, Microsoft Windows 7/8/10 (included with OS);
Zim;Jaap Karssenberg;Open source (GPL);Cross-platform (Python, GTK+);
ZOHO Notebook;ZOHO Corporation;Proprietary, Commercial, Freemium;Self-hosted. SaaS.;
