Software;License;Other platforms;DRM formats supported;
Aldiko;Proprietary;None;Adobe DRM;
AlReader[1];Proprietary;None;?;
Bluefire Reader;Proprietary;iOS;Adobe DRM;
Bookari;Proprietary;iOS;Adobe DRM;
BookBox;?;Windows, Mac OS X, iOS;?;
Ebook Reader[2];Proprietary;iOS, BlackBerry 10+, Kindle Fire (side loaded);Adobe DRM;
eReader Prestigio;Proprietary;None;Adobe DRM;
FBReader;Proprietary;Windows, Linux, PDAs, Mac OS X;None;
Google Play Books;Proprietary;Web application, iOS;Adobe DRM;
Kindle;Proprietary;Web application, iOS, BlackBerry, Mac OS X, Windows;Amazon DRM;
Kobo;Proprietary;Windows, Mac OS X, iOS;Adobe DRM;
Lektz;Proprietary;Web application, Mac OS X, iOS, Windows;Lektz DRM;
Librera;GPL;None;None;
MReader;Proprietary;None;None;
OverDrive Media Console[3];Proprietary;Chromebook, iOS, Mac OS X, Windows;Adobe DRM, OverDrive;
Snapplify;Proprietary;Web application, iOS;Adobe DRM, Snapplify SnappSafe DRM;
