Client;Desktop;Mobile;Other;
Windows;macOS;Unix-like;Haiku;Amiga;Windows Phone;Android;BlackBerry OS;iOS;Symbian;MeeGo;Java ME;WebOS;Web;VGCs;
Instantbird;Yes;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;No;
Jitsi;Yes;Yes;Yes;No;No;No;Unstable;Unstable;No;No;No;No;No;No;No;
KakaoTalk;Yes;Yes;No;No;No;Yes;Yes;Yes;Yes;No;No;No;No;No;No;
Kadu;Yes;Yes;Yes;Yes;No;No;No;No;No;No;Yes;No;No;No;No;
Kik;No;No;No;No;No;Yes;Yes;No;Yes;No;No;No;No;No;No;
Kopete;Yes[c][62];Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;No;
Line;Yes;Yes;No;No;No;Yes;Yes;Yes;Yes;No;No;No;No;No;No;
Messages;No;Included;No;No;No;No;No;No;Included;No;No;No;No;No;No;
MCabber;No;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;No;
Skype for Business;Yes;Yes;No;No;No;Yes;Yes;No;Yes;Yes;No;No;No;No;No;
Miranda IM;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;
MySpaceIM;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;
naim;Yes;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;No;
Nimbuzz;Yes;Yes;No;No;No;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;No;
Palringo;Yes;Yes;No;No;No;No;Yes;Yes;Yes;Yes;No;No;No;No;No;
Paltalk;Yes;No;No;No;No;No;Yes;Yes;Yes;No;No;No;No;Yes;No;
Pidgin;Yes;Yes;Yes;No;Yes;No;No;No;No;No;Yes;No;No;No;No;
Psi;Yes;Yes;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;
QIP;Yes;No;No;No;No;Yes;No;No;Yes;Yes;No;No;No;No;No;
QuteCom;Yes;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;No;
Ring;Yes;Yes;Yes;No;No;No;Yes;No;No;No;No;No;No;No;No;
RingID;Yes[63];No;No;No;No;Yes;Yes;No;Yes;No;No;No;Yes;Yes;No;
Riot.im;Yes;Yes;Yes;No;No;No;Yes;No;Yes;No;No;No;No;Yes;No;
Signal;Yes[64];Yes[64];Partial[d][65];No;No;No;Yes;No;Yes;No;No;No;No;Dropped[65];No;
Snapchat;No;No;No;No;No;No;Yes;No;Yes;No;No;No;No;No;No;
Surespot;No;No;No;No;No;No;Yes;No;Yes;No;No;No;No;No;No;
Skype;Yes;Yes;Partial[a];No;No;Yes;Yes;Yes;Yes;No;Yes;No;No;Yes;PSP PSV XB1;
SOMA;No;No;No;No;No;No;Yes;No;Yes;No;No;No;No;No;No;
Spark (XMPP client);Yes;Yes[e];Yes;No;No;No;No;No;No;No;No;No;No;No;No;
Telegram (standard messages);Yes;Yes;Yes;No;No;Yes;Yes;No[66];Yes;No;No;No;No;Yes;No;
Telegram (secret chats);Yes;Yes/No[f];Yes/No[g];No;No;Yes;Yes;No;Yes;No;No;No;No;No;No;
Tencent QQ;Yes;Yes;Yes;No;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;
Threema;No;No;No;No;No;Yes;Yes;No;Yes;No;No;No;No;Yes;No;
Tkabber;Yes;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;No;
Tox;Yes;Yes;Yes;No;No;Yes;Yes;No;Yes;No;No;No;No;No;No;
Trillian;Yes;Yes;Partial[h][a];No;No;No;Yes;Yes;Yes;No;No;No;No;Yes;No;
Tuenti;No;No;No;No;No;Yes;Yes;No;Yes;No;No;No;No;Yes;No;
Viber;Yes;Yes;Yes;No;No;Yes;Yes;Yes;Yes;Yes;No;No;No;No;No;
WeChat;Yes;Yes[67];No;No;No;Yes;Yes;Yes;Yes;Yes;No;No;No;Yes;No;
WhatsApp;8+[68];Yes[68];No;No;No;8.1+[69];Yes;To be discontinued in 2017[70];Yes;To be discontinued in 2017[70];No;No;No;Yes;No;
Wickr;Yes;Yes;Yes;No;No;No;Yes;No;Yes;No;No;No;No;No;No;
Windows Live Messenger;Yes;Yes;No;No;No;Yes;No;Yes;Yes;Yes;No;No;No;Yes;Xbox;
Wire;Yes;Yes;Yes;No;No;No;Yes;No;Yes;No;No;No;No;Yes;No;
Xabber;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;
Xfire;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;
Yahoo! Messenger;Yes;Yes;No;No;No;No;Yes;Yes;Yes;Yes;No;No;No;Yes;No;
Yuilop;No;No;No;No;No;Yes;Yes;Yes;Yes;No;No;No;No;No;No;
Zephyr;Yes;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;No;
Client;Windows;OS X;Unix-like;Haiku;Amiga;Windows Phone;Android;BlackBerry OS;iOS;Symbian;MeeGo;Java ME;WebOS;Web;VGCs;
Desktop;Mobile;Other;
