Family;Country;Manufac.;Payload (kg);Cost (US$, millions);Launches reaching…;Status;Date of flight;Refs;Notes;
LEO;GTO;TLI;Total;Space;Any orbit;Target orbit;First;Last;
Angara 1.2; Russia;Khrunichev;7003380000000000000?3,800;--;--;7001250000000000000?25;7000100000000000000?1;1;--;--;Active;2014;--;[1][2][3];As of 2017, only launch was suborbital[4];
Angara A5; Russia;Khrunichev;7004146000000000000?14,600 to 35,000;7003360000000000000?3,600 to 12,500;--;--;7000100000000000000?1;1;1;1;Active;2014;--;[1][5];;
Antares; USA;Orbital ATK;7003650000000000000?6,500;--;--;7001800000000000000?80;7000700000000000000?7;7000600000000000000?6;7000600000000000000?6;7000600000000000000?6;Active;2013;--;[6][7][8];Cygnus launcher;
Ariane 1-2-3; Europe;Aérospatiale;--;7003265000000000000?2,650;--;--;7001280000000000000?28;;;;Retired;1979;1989;[9][10];;
Ariane 4; Europe;Aérospatiale;7003700000000000000?7,000;7003472000000000000?4,720;--;--;7002116000000000000?116;;--;--;Retired;1988;2003;[10];Var: 40, 42P. 42L, 44P, 44L, 44LP;
Ariane 5; Europe;Airbus;7004210000000000000?21,000;7004107350000000000?10,735[11];--;7002165000000000000?165-220;7001760000000000000?76;7001740000000000000?74;7001740000000000000?74;7001720000000000000?72;Active;1996;--;[12][13][14];Var: G,G+,GS, ECA, ES.;
Ariane 6; Europe;Airbus Safran;--;7004105000000000000?10,500;--;7002115000000000000?115;--;--;--;--;Devel.;2020;--;;Var: Ariane 62 & Ariane 64.;
ASLV; India;ISRO;7002150000000000000?150;--;--;--;7000400000000000000?4;;--;--;Retired;1987;1994;[15];;
Athena I & II; USA;Lockheed ATK;7003206500000000000?2,065;--;7002295000000000000?295;--;7000700000000000000?7;;--;--;Retired;1995;2001;[16];Launch Lunar Prospector.[17];
Atlas A-B-C-D-E-F-G Atlas I; USA;Lockheed;7003590000000000000?5,900;7003234000000000000?2,340;--;--;7002514000000000000?514;;--;--;Retired;1957;1997;[18][19][20][21];Launch Mercury. Atlas or Centaur upper stage.;
Atlas II; USA;Lockheed;7003861800000000000?8,618;7003383300000000000?3,833;--;--;7001630000000000000?63;7001630000000000000?63;7001630000000000000?63;;Retired;1991;2004;[22][23][24];;
Atlas III; USA;Lockheed;7004107590000000000?10,759;7003460900000000000?4,609;--;--;7000600000000000000?6;7000600000000000000?6;7000600000000000000?6;;Retired;2003;2005;[25][26];variants: IIIA, IIIB;
Atlas V; USA;ULA;7004188500000000000?18,850;7003890000000000000?8,900;7003280700000000000?2,807;7002109000000000000?109-153;7001740000000000000?74;7001740000000000000?74;7001740000000000000?74;7001730000000000000?73;Active;2002;;[27][28];Launched Juno & New Horizons;
