Version;Shell;Visual styles;Browser;Web server;Windows Media Player;Command-line interpreter;
Windows 1.0;MS-DOS executive;(Unnamed);N/A;N/A;N/A;N/A;
Windows 2.0;MS-DOS executive;(Unnamed);N/A;N/A;N/A;N/A;
Windows 3.0;Program Manager;(Unnamed);N/A;N/A;3.0 (Multimedia Extension edition only);N/A;
Windows 3.1x;Program Manager;(Unnamed);N/A;N/A;3.1;N/A;
Windows 95;Windows shell;Classic;Internet Explorer 1 in OEM RTM Internet Explorer 2 in OSR1 Internet Explorer 3 in OSR2 and OSR2.1 Internet Explorer 4 in OSR2.5;N/A;4.0;COMMAND.COM;
Windows NT 4.0;Windows shell;Classic;Internet Explorer 2 Internet Explorer 3 (in some localized editions);PWS;4.0;COMMAND.COM, CMD.EXE;
Windows 98;Windows shell;Classic;Internet Explorer 4.01;PWS;4.0;COMMAND.COM;
Windows 98 SE;Windows shell;Classic;Internet Explorer 5;PWS;4.0;COMMAND.COM;
Windows 2000;Windows shell;Classic;Internet Explorer 5.01;IIS 5.0;5.0 and 6.4 (side by side);COMMAND.COM, CMD.EXE;
Windows Me;Windows shell;Classic;Internet Explorer 5.5;N/A;6.4 and 7.0 (side by side);COMMAND.COM;
Windows XP;Windows shell;Luna (default), Classic;Internet Explorer 6;IIS 5.1;5.1, 6.4 and 8 (in RTM) 5.1, 6.4 and 9 (in SP2);COMMAND.COM, CMD.EXE, PowerShell (optional);
Windows Server 2003;Windows shell;Classic (default), Luna;6.0;IIS 6.0;9 (in RTM), 10 (in SP1);COMMAND.COM, CMD.EXE, PowerShell (optional);
Windows Vista;Windows shell;Aero (default), Classic;Internet Explorer 7;IIS 7;11;COMMAND.COM, CMD.EXE, PowerShell (optional);
Windows Server 2008;Windows shell, Server Core;Classic (default), Aero (via "Desktop Experience");Internet Explorer 7;IIS 7;11 (enabled by installing "Desktop Experience");COMMAND.COM, CMD.EXE, PowerShell (optional);
Windows 7;Windows shell;Aero (default), Classic;Internet Explorer 8;IIS 7.5;12;COMMAND.COM, CMD.EXE, PowerShell v2.0;
Windows Server 2008 R2;Windows shell, Server Core;Classic (default), Aero (via "Desktop Experience");Internet Explorer 8;IIS 7.5;12 (via "Desktop Experience");CMD.EXE, PowerShell v2.0;
Windows Server 2012;Windows shell, Server Core;Metro;Internet Explorer 10;IIS 8;12 (via "Desktop Experience");CMD.EXE, PowerShell v3.0;
Windows 8;Windows shell;Metro;Internet Explorer 10;IIS 8;12;COMMAND.COM, CMD.EXE, PowerShell v3.0;
Windows Server 2012 R2;Windows shell, Windows server core;Metro;Internet Explorer 11;IIS 8.5;12 (via "Desktop Experience");CMD.EXE, PowerShell v4.0;
Windows 8.1;Windows shell;Metro;Internet Explorer 11;IIS 8.5;12;COMMAND.COM, CMD.EXE, PowerShell v4.0;
Windows 10;Windows shell;Metro;Internet Explorer 11 Microsoft Edge 12-13;IIS 10.0;12;COMMAND.COM, CMD.EXE, PowerShell v5.0;
Windows Server 2016;Windows shell, Windows server core;Metro;Internet Explorer 11 Microsoft Edge 13;IIS 10.0;12 (via "Desktop Experience");CMD.EXE, PowerShell v5.0;
Windows Server 2019;Windows shell, Windows server core;Metro;Internet Explorer 11 Microsoft Edge 13;IIS 10.0;12 (via "Desktop Experience");CMD.EXE, PowerShell v5.0;
