Latin;Spanish;Portuguese;Examples;Meaning;
cl-, fl-, pl-;ll- or pl;ch-;cl?m?re ? S. llamar, P. chamar plumbum ? S. plomo, P. chumbo flammam ? S. llama, P. chama pl?num ? S. lleno, P. cheio (also pleno);'to call' 'lead' (metal) 'flame' 'full';
- lt-, - ct-;-ch-;-it-;multum ? S. mucho, P. muito noctem ? S. noche, P. noite pectum ? S. pecho, P. peito;'much' 'night' 'chest';
f-;h- (later silent) or f-;f-;f?bul?re ? S. hablar, P. falar f?lium ? S. hijo, P. filho focum ? S. fuego, P. fogo;'to speak' 'son' 'fire';
j(a)-;ya-;ja-;iam ? S. ya, P. já iacere ? S. yacer, P. jazer (both archaic);'already' 'to lie, as in a grave';
- l-;-l-;(elided);caelum ? S. cielo, P. céu (arch. ceo) vol?re ? S. volar, P. voar;'sky' 'to fly';
- c(u)l-, - li-;-j-;-lh-;oculum ? S. ojo, P. olho f?lium ? S. hijo, P. filho;'eye' 'son';
- ll-;-ll-;-l-;castellum ? S. castillo, P. castelo;'castle';
- n-;-n-;(elided);gener?lem ? S. general, P. geral ten?re ? S. tener, P. ter;'general' (adj.) 'to have';
- ni-;-ni-;-nh-;i?nius ? S. junio, P. Junho;
- nn-;-ñ-;-n-;annum ? S. año, P. ano cannam ? S. caña, P. cana;'year' 'reed';
