Feature;Android;iOS;Windows 10 Mobile;BlackBerry 10;Tizen;Sailfish OS;Ubuntu Touch;
While-in-use permissions;No;11+: Location only[34];No;No;No;No;Yes;
Per-app Internet access;No,[35] 3rd party software[36];7+: Cellular only;[37] 3rd party software on jailbroken devices[38];No;Yes[39];No;No;No;
Per-app identity access;8+[40];6+[41][42];No;Yes;No;No;Yes;
Per-app user data access;6+[43];6+[44];8.1update2+[45];Yes[39];No;No;Yes;
Per-app background execution;No,[46] 3rd party apps available[47];7+[48];Yes[49];10.2.1+[50];No;No;Background execution not allowed;
Per-app notifications;4.1+[51];5+[52][53];8.1+[54];10+;No;No;Yes;
Per-app location access;6+[43];4+[55];10+[56];Yes[39];No;No;Yes;
Per-app camera access;6+[43];8+[57];8.1update2+[45];Yes[39];No;No;Yes;
Per-app microphone access;6+[43];7+[58];8.1update2+[45];Yes[39];No;No;Yes;
Per-app shared files access;6+[43];8+[59];No;Yes[39];No;No;Yes;
Per-app network data usage auditing;4+[60];Yes[61];8 GDR2+ Data Sense[62] or Nokia Counters in 7.5+[63];Yes[64];?;No[65];No;
Fine grained storage usage;Yes[66];5+[67];8 GDR3+[68];10.2.1+;?;No;Yes;
Parental controls;4.3+ or 3rd party software[69];Yes[70];8+[71];7.1+[72];?;No;No;
Screen orientation lock;Yes[73];Yes[74];8 GDR3+[75];10+[76];?;1.0.4.1+[77];Yes;
File manager;6.0+[78];11+[79];8.1+[80];10+[81];3rd party software[82];Yes[83];Yes;
File manager write access to external storage;6+[84] Or 3rd party software like LineageOS;3rd party software and external storage[85];Yes;Yes;Yes;Yes;Yes;
Multi-user;4.2+, including phones 5+[86][87];9.3+: Education use only on iPad[88];No;No;No;No;No;
Guest mode;5+[89];6+[90];8+[71];No;No;No;No;
Do not disturb mode;5+[91];6+[92];8.1+[93];Yes;No;No;No;
App groups;Yes;4+[94];8.1 Update+;Yes[95];?;1.0.7.16+[96];Yes;
