System;Git;Mercurial;Bazaar;Monotone;Darcs;CVS;Subversion;Perforce;AccuRev;ClearCase;Others;
Apache Bloodhound;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Optional[62];Yes;No;No;
Assembla Tickets;Yes;Yes;No;No;No;No;Yes;Yes;No;No;No;
Axosoft;Yes;Yes[63];No;No;No;No;Yes;Yes;No;No;Yes VSS, Vault Sourcegear;
Bugzilla;Yes[64];Yes[65];Yes;No;No;Yes;Yes;Yes;Yes;No;No;
Debbugs;No;No;No;No;No;No;No;No;No;No;No;
Faveo Helpdesk;No;No;No;No;No;No;No;No;No;No;No;
FogBugz;Yes;Yes;No;No;No;Yes;Yes;Yes;No;No;2[66];
Fossil;No;No;No;No;No;No;No;No;Yes;No;1[67];
FusionForge;Yes;Yes;Yes;No;No;Yes;Yes;No;No;No;No;
GNATS;No;No;No;No;No;Yes;No;No;No;No;No;
HP Application Lifecycle Management;No;No;No;No;No;Yes;Yes;Yes[68];Yes;No;No;
IBM Rational ClearQuest;No;No;No;No;No;No;No;Yes[69];Yes;Yes;No;
Jira;Yes;Yes;No;No;No;Yes;Yes;Yes;Yes[70];No[71];Yes[72];
Liberum Help Desk;No;No;No;No;No;No;No;No;No;No;No;
MantisBT;Yes;Yes[73];No;No;No;Yes;Yes;No;No;No;No;
Microsoft Dynamics CRM;No;No;No;No;No;No;No;No;No;No;No;
org-mode;No;No;No;No;No;No;No;No;No;No;No;
OTRS;No;No;No;No;No;No;No;No;No;No;No;
Phabricator;Yes;Yes;No;No;No;No;Yes;No;No;No;No;
Pivotal Tracker;Yes;No;No;No;No;Yes;Yes;No;No;No;No;
Redmine;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes[68];No;No;No;
Request Tracker;No;No;No;No;No;Yes;Yes;No;No;No;No;
Roundup;No;No;No;No;Yes;No;Yes;No;No;No;No;
StarTeam;No;No;No;No;No;No;No;No;No;No;Yes - StarTeam includes revision control;
Supportworks;No;No;No;No;No;No;No;No;No;No;No;
SysAid;No;No;No;No;No;No;Yes;No;No;No;No;
Team Foundation Server;Yes[74];No;Yes[75];No;No;No;Yes[76];No;No;No;Yes - TFS includes revision control;
TestTrack;Yes;No;No;No;No;Yes;Yes;Yes;No;No;Yes - Surround SCM, VSS;
The Bug Genie;Yes;Yes;Yes;No;No;Yes;Yes;Yes;No;No;No;
Trac;Yes;Yes;Yes;Yes;Yes;No;Yes;Optional[62];Yes;No;No;
TrackerSuite.Net;No;No;No;No;No;No;No;No;No;No;No;
Tuleap;Yes;No;No;No;No;Yes;Yes;No;No;No;No;
Twproject;No;No;No;No;No;No;Yes;No;No;No;No;
Usersnap;No;No;No;No;No;No;No;No;No;No;No;
Wrike;No;No;No;No;No;No;Yes;No;No;No;No;
YouTrack;Yes[77];Yes[77];No;No;No;Yes[77];Yes[77];Yes[77];No;Yes[77];3[77][78];
System;Git;Mercurial;Bazaar;Monotone;Darcs;CVS;Subversion;Perforce;AccuRev;ClearCase;Others;
