;Imports;Exports;
3ds Max;BMP, Cineon, TGA, JPG, PNG, OpenEXR, Cineon, Radiance HDR, SGI, RLA, RPF, AVI, MPEG and QuickTime, GIF, TIFF, PSD, MOV, YUV, DDS;?;
Art of Illusion;GIF, JPG, PNG, BMP, HDR, SVG;JPG, PNG, BMP, TIFF, HDR, QuickTime;
AC3D;GIF, JPG, PNG, BMP, DDS, PPM, Targa, TIFF;GIF, JPG, PNG, BMP, DDS, PPM, Targa, TIFF;
Blender;TGA, JPG, PNG, OpenEXR, DPX, Cineon, Radiance HDR, Iris, SGI Movie, IFF, AVI and QuickTime, GIF, TIFF, PSD, MOV;TGA, JPG, PNG, OpenEXR, DPX, Cineon, Radiance HDR, Iris, SGI Movie, IFF, AVI and QuickTime, GIF, TIFF, PSD, MOV;
Electric Image Animation System;TGA, JPG, PNG, BMP, Radiance HDR, AVI and QuickTime, TIFF, PSD, MOV;PNG, BMP, AVI and QuickTime GIF, TIFF, MOV;
Cinema 4D;?;?;
Clara.io;PNG, JPG;?;
Cobalt;BMP, GIF, JPEG, PICT, PNG, PPM, XBM, XPM;BMP, GIF, JPEG, PICT, PNG, PPM, XBM, XPM;
Houdini;?;?;
IClone;JPG, BMP, GIF, TGA, PNG, AVI, WMV, MP3, WAV, popVideo;JPG, BMP, GIF, TGA, PNG, WMV, AVI, MP4, popVideo, FLV, iWidget;
Lightwave 3D;TGA, JPG, PNG, AI, EPS, BMP, IFF, Radiance HDR, AVI and QuickTime, GIF, TIFF, PSD, MOV;TGA, JPG, PNG, BMP, Radiance HDR, IFF, AVI and QuickTime, GIF, TIFF, PSD, MOV;
MakeHuman;?;?;
Maya;Ai, Aiff, Pix, AVI, Cineon, EPS, GIF, Jpeg, Swf, Maya IFF, Maya16 IFF, MacPaint, PSD, PNG, Quantel, Quickdraw, MOV, RLA, SVG, SGI, SGI16, SGI Movie, TGA, TIF, BMP, HDR;Maya IFF, AVI, QT, GIF, Softimage, RLA, BMP, TIF, SGI RGB, Alias PIX, Jpeg, EPS, Cineon, Quantel, TGA, Macpaint, PSD, PNG, Quickdraw, DDS;
Metasequoia;?;?;
Modo;TGA, BMP, FLX, GIF, HDR, HDR, JP2, JPG, JPEG, PNG, SGI, openEXR, EPS, AI, PSD;TGA, BMP, FLX, GIF, HDR, JP2, JPG, JPEG, PNG, TIF, openEXR, MOV, MWV, PSD;
Remo 3D;BMP, DDS, GIF, JPG, PNG, PNM, SGI (RGB), TGA, TIF;JPG, PNG, SGI (RGB), TIF, XPM;
Shade;?;QuickTime VR, Piranesi EPix;
Softimage;?;?;
Solid Edge;?;?;
SketchUp Make;JPG, PNG, TIF, TGA, BMP;JPG, PNG, TIF, BMP;
SketchUp Pro;JPG, PNG, TIF, TGA, BMP;JPG, PNG, TIF, BMP, MOV(on Mac), AVI (on Windows)[9];
Wings3D;?;?;
