Model;Code name;Fab (nm);Bus interface;Core clock (MHz);Shader clock (MHz);Memory clock (MHz);Core config1;Fillrate;Memory;Processing power[155][156] (GFLOPS);Supported API version;TDP (Watts);Notes;
Pixel (GP/s);Texture (GT/s);Size (MB);Bandwidth (GB/s);Bus type;Bus width (bit);Single precision;Double precision;Direct3D;OpenGL;
Quadro;NV10GL;220;AGP 4×;135;135;166;0:4:4:4;0.54;0.54;64;2.66;SDR;128;;;7;1.2;;;
Quadro DDR;NV10GL;220;AGP 4×;135;135;333;0:4:4:4;0.54;0.54;64;5.312;DDR;128;;;7;1.2;;;
Quadro2 MXR;NV11GL;180;AGP 4×;200;175;183;0:2:4:2;0.4;0.4;64;2.93;SDR;128;;;7;1.2;;;
Quadro2 EX;NV11GL;180;AGP 4×;175;175;166;0:2:4:2;0.35;0.35;64;2.7;SDR;128;;;7;1.2;;;
Quadro2 PRO;NV15GL;150;AGP 4×;250;250;400;0:4:8:4;1;2;64;6.4;DDR;128;;;7;1.2;;;
Quadro DCC;NV20GL;180;AGP 4×;200;200;460;1:4:8:4;.8;1.6;128;7.4;DDR;128;;;8;1.4;;;
Quadro4 380XGL;NV18GL;150;AGP 8×;275;275;513;0:2:4:2;.55;1.1;128;8.2;DDR;128;;;7;1.4;;;
Quadro4 500XGL;NV17GL;150;AGP 4×;250;250;166;0:2:4:2;.5;1;128;2.7;SDR;128;;;7;1.4;;;
Quadro4 550XGL;NV17GL;150;AGP 4×;270;270;400;0:2:4:2;.59;1.08;64;6.4;DDR;128;;;7;1.4;;;
Quadro4 580XGL;NV18GL;150;AGP 8×;300;300;400;0:2:4:2;1.2;1.2;64;6.4;DDR;128;;;7;1.4;;;
Quadro4 700XGL;NV25;150;AGP 4×;275;275;550;2:4:8:4;1.1;2.2;64;8.8;DDR;128;;;8;1.4;;;
Quadro4 750XGL;NV25;150;AGP 4×;275;275;550;2:4:8:4;1.1;2.2;128;8.8;DDR;128;;;8;1.5;;Stereo display;
Quadro4 900XGL;NV25;150;AGP 4×;300;300;650;2:4:8:4;1.2;2.4;128;10.4;DDR;128;;;8;1.4;;Stereo display;
Quadro4 980XGL;NV28GL;150;AGP 8×;300;300;650;2:4:8:4;1.2;2.4;128;10.4;DDR;128;;;8;1.4;;Stereo display;
Model;Code name;Fab (nm);Bus interface;Core clock (MHz);Shader clock (MHz);Memory clock (MHz);Core config1;Pixel (GP/s);Texture (GT/s);Size (MB);Bandwidth (GB/s);Bus type;Bus width (bit);Single precision;Double precision;Direct3D;OpenGL;TDP (Watts);Features;
Fillrate;Memory;Processing power (GFLOPS)[155][156];Supported API version;
